epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.9526799917221069,0.49723052978515625,0.48975521326065063,0.015037594363093376,0.024390241131186485,0.9700708389282227,0.018604649230837822,0.0,0.015037594363093376,0.9815071821212769,2.0,131.0,4246.0,80.0,0.0
1,0.38977351784706116,0.5096708536148071,0.5376873016357422,0.01895734667778015,0.6341463327407837,0.3851953446865082,0.03681415691971779,0.0,0.01895734667778015,0.9825175404548645,52.0,2691.0,1686.0,30.0,1.0
2,0.03790087625384331,0.5039550065994263,0.6102603673934937,0.018535468727350235,0.9878048896789551,0.020105095580220222,0.03638814017176628,0.0,0.018535468727350235,0.9887641072273254,81.0,4289.0,88.0,1.0,2.0
3,0.1919712871313095,0.546533465385437,0.6397911310195923,0.02043040096759796,0.9146341681480408,0.17843271791934967,0.03996803238987923,0.0,0.02043040096759796,0.9911168217658997,75.0,3596.0,781.0,7.0,3.0
4,0.14106301963329315,0.5505191087722778,0.6361746788024902,0.02047082968056202,0.9756097793579102,0.12542837858200073,0.04010025039315224,0.0,0.02047082968056202,0.996370255947113,80.0,3828.0,549.0,2.0,4.0
5,0.6555281281471252,0.6270875930786133,0.6703053712844849,0.031572163105010986,0.5975610017776489,0.6566141247749329,0.059975516051054,0.0,0.031572163105010986,0.9886481165885925,49.0,1503.0,2874.0,33.0,5.0
6,0.5339762568473816,0.6190229654312134,0.6765994429588318,0.027462121099233627,0.707317054271698,0.530728816986084,0.0528714694082737,0.0,0.027462121099233627,0.9897741675376892,58.0,2054.0,2323.0,24.0,6.0
7,0.6461089849472046,0.6522064208984375,0.6985573172569275,0.03366583585739136,0.6585366129875183,0.6458762288093567,0.06405694037675858,0.0,0.03366583585739136,0.990192711353302,54.0,1550.0,2827.0,28.0,7.0
8,0.5245570540428162,0.6561084389686584,0.7202561497688293,0.029981549829244614,0.792682945728302,0.5195339322090149,0.057777781039476395,0.0,0.029981549829244614,0.9925796389579773,65.0,2103.0,2274.0,17.0,8.0
9,0.5422740578651428,0.6591495275497437,0.7307656407356262,0.03066602721810341,0.7804877161979675,0.537811279296875,0.05901336669921875,0.0,0.03066602721810341,0.9924114942550659,64.0,2023.0,2354.0,18.0,9.0
10,0.6104507446289062,0.6579765677452087,0.731381356716156,0.032749857753515244,0.707317054271698,0.6086360812187195,0.06260118633508682,0.0,0.032749857753515244,0.9910714030265808,58.0,1713.0,2664.0,24.0,10.0
11,0.7037452459335327,0.6695977449417114,0.73504239320755,0.038719285279512405,0.6341463327407837,0.7050490975379944,0.07298245280981064,0.0,0.038719285279512405,0.9903723001480103,52.0,1291.0,3086.0,30.0,11.0
12,0.8540031313896179,0.6623675227165222,0.7142295837402344,0.058914728462696075,0.46341463923454285,0.8613205552101135,0.10453920066356659,0.0,0.058914728462696075,0.9884635806083679,38.0,607.0,3770.0,44.0,12.0
13,0.780892550945282,0.6670107841491699,0.7174782752990723,0.04568528011441231,0.5487805008888245,0.7852410078048706,0.0843486413359642,0.0,0.04568528011441231,0.9893494248390198,45.0,940.0,3437.0,37.0,13.0
14,0.7284144163131714,0.682163417339325,0.7257741689682007,0.042173560708761215,0.6341463327407837,0.7301804423332214,0.07908745110034943,0.0,0.042173560708761215,0.9907005429267883,52.0,1181.0,3196.0,30.0,14.0
15,0.9262166619300842,0.6153841614723206,0.7221423387527466,0.08135592937469482,0.2926829159259796,0.9380854368209839,0.12732096016407013,0.0,0.08135592937469482,0.9860711097717285,24.0,271.0,4106.0,58.0,15.0
16,0.8746355772018433,0.6429604291915894,0.7253603935241699,0.06077348068356514,0.40243902802467346,0.8834818601608276,0.10559999942779541,0.0,0.06077348068356514,0.987487256526947,33.0,510.0,3867.0,49.0,16.0
17,0.9210585355758667,0.5828401446342468,0.6888502836227417,0.06168831139802933,0.23170731961727142,0.9339730143547058,0.09743589907884598,0.0,0.06168831139802933,0.9848229289054871,19.0,289.0,4088.0,63.0,17.0
18,0.8674589991569519,0.6512715220451355,0.71919184923172,0.06044904515147209,0.4268292784690857,0.8757139444351196,0.10590014606714249,0.0,0.06044904515147209,0.9878866076469421,35.0,544.0,3833.0,47.0,18.0
19,0.9033415913581848,0.6156991124153137,0.7224599719047546,0.06483790278434753,0.31707316637039185,0.9143248796463013,0.1076604500412941,0.0,0.06483790278434753,0.9862000346183777,26.0,375.0,4002.0,56.0,19.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: imbalance_fix
table_extra: Weighted Loss
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
batch_size: 12
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
run_name: BERT_20220217-1436
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\BERT
