epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.01838977262377739,0.5,0.5356241464614868,0.01838977262377739,1.0,0.0,0.036115389317274094,0.0,0.01838977262377739,0.0,82.0,4377.0,0.0,0.0,0.0
1,0.9816102385520935,0.5,0.5596270561218262,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,1.0
2,0.9816102385520935,0.5,0.6301954984664917,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,2.0
3,0.9816102385520935,0.5,0.6421259641647339,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,3.0
4,0.9793675541877747,0.5168076157569885,0.661177933216095,0.1875,0.03658536449074745,0.9970299005508423,0.06122449040412903,0.0,0.1875,0.9822192192077637,3.0,13.0,4364.0,79.0,4.0
5,0.9221798777580261,0.5893946886062622,0.6778253316879272,0.06557376682758331,0.24390244483947754,0.9348869323730469,0.1033591777086258,0.0,0.06557376682758331,0.9850746393203735,20.0,285.0,4092.0,62.0,5.0
6,0.767885148525238,0.6304686665534973,0.6911405324935913,0.038722168654203415,0.4878048896789551,0.7731322646141052,0.07174888998270035,0.0,0.038722168654203415,0.9877408146858215,40.0,993.0,3384.0,42.0,6.0
7,0.7037452459335327,0.6456645131111145,0.6947680711746216,0.03595505282282829,0.5853658318519592,0.7059630155563354,0.06774876266717911,0.0,0.03595505282282829,0.9891164898872375,48.0,1287.0,3090.0,34.0,7.0
8,0.7555505633354187,0.6241857409477234,0.696417510509491,0.036764707416296005,0.4878048896789551,0.7605665922164917,0.0683760717511177,0.0,0.036764707416296005,0.9875407814979553,40.0,1048.0,3329.0,42.0,8.0
9,0.5815204977989197,0.6193071603775024,0.6698373556137085,0.02854122593998909,0.6585366129875183,0.5800777077674866,0.054711245000362396,0.0,0.02854122593998909,0.9890923500061035,54.0,1838.0,2539.0,28.0,9.0
10,0.7667638659477234,0.6239140629768372,0.6784716844558716,0.03764478489756584,0.47560974955558777,0.7722184062004089,0.06976744532585144,0.0,0.03764478489756584,0.987437903881073,39.0,997.0,3380.0,43.0,10.0
11,0.7068849802017212,0.6352971196174622,0.6863008737564087,0.034927867352962494,0.5609756112098694,0.7096184492111206,0.0657612606883049,0.0,0.034927867352962494,0.9885422587394714,46.0,1271.0,3106.0,36.0,11.0
12,0.6200941801071167,0.6150220036506653,0.6760783791542053,0.029205607250332832,0.6097561120986938,0.6202878952026367,0.055741358548402786,0.0,0.029205607250332832,0.9883509278297424,50.0,1662.0,2715.0,32.0,12.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: imbalance_fix
table_extra: Undersampling
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
batch_size: 12
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
run_name: BERT_20220219-1139
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\BERT
