epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.0188383050262928,0.5002284646034241,0.5380495190620422,0.018398026004433632,1.0,0.0004569340089801699,0.03613130375742912,0.0,0.018398026004433632,1.0,82.0,4375.0,2.0,0.0,0.0
1,0.9816102385520935,0.5,0.5764222145080566,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,1.0
2,0.9816102385520935,0.5,0.6203547716140747,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,2.0
3,0.9816102385520935,0.5,0.6413682103157043,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,3.0
4,0.8896613717079163,0.6027474403381348,0.6757189631462097,0.054347824305295944,0.3048780560493469,0.9006169438362122,0.09225092828273773,0.0,0.054347824305295944,0.985746443271637,25.0,435.0,3942.0,57.0,4.0
5,0.8827091455459595,0.6470728516578674,0.7157982587814331,0.06508875638246536,0.40243902802467346,0.891706645488739,0.11205433309078217,0.0,0.06508875638246536,0.9876012206077576,33.0,474.0,3903.0,49.0,5.0
6,0.8318008780479431,0.6211418509483337,0.7013658285140991,0.04495912790298462,0.40243902802467346,0.8398446440696716,0.08088235557079315,0.0,0.04495912790298462,0.9868456125259399,33.0,701.0,3676.0,49.0,6.0
7,0.8145323991775513,0.6362791657447815,0.7014883756637573,0.045177046209573746,0.45121949911117554,0.8213388323783875,0.08213096857070923,0.0,0.045177046209573746,0.9876373410224915,37.0,782.0,3595.0,45.0,7.0
8,0.8232787847518921,0.6527009010314941,0.7267116904258728,0.049744896590709686,0.47560974955558777,0.8297920823097229,0.09006928652524948,0.0,0.049744896590709686,0.9882993102073669,39.0,745.0,3632.0,43.0,8.0
9,0.6938775777816772,0.6526047587394714,0.7055506706237793,0.036153290420770645,0.6097561120986938,0.6954535245895386,0.06825938820838928,0.0,0.036153290420770645,0.9895969033241272,50.0,1333.0,3044.0,32.0,9.0
10,0.864543616771698,0.6138865351676941,0.7042885422706604,0.05000000074505806,0.353658527135849,0.8741146922111511,0.0876132920384407,0.0,0.05000000074505806,0.9863367080688477,29.0,551.0,3826.0,53.0,10.0
11,0.7930029034614563,0.6671959757804871,0.7027420997619629,0.04736275598406792,0.5365853905677795,0.7978067398071289,0.08704253286123276,0.0,0.04736275598406792,0.9892351031303406,44.0,885.0,3492.0,38.0,11.0
12,0.7129400968551636,0.6144480109214783,0.671626091003418,0.032761309295892715,0.5121951103210449,0.7167009115219116,0.06158357486128807,0.0,0.032761309295892715,0.9874095320701599,42.0,1240.0,3137.0,40.0,12.0
13,0.7169768214225769,0.6583875417709351,0.7026850581169128,0.038341157138347626,0.5975610017776489,0.7192140817642212,0.07205881923437119,0.0,0.038341157138347626,0.9896259307861328,49.0,1229.0,3148.0,33.0,13.0
14,0.6647230386734009,0.64373779296875,0.6641591191291809,0.03366336598992348,0.6219512224197388,0.6655243039131165,0.06386975198984146,0.0,0.03366336598992348,0.9894701242446899,51.0,1464.0,2913.0,31.0,14.0
15,0.7799955010414124,0.6306538581848145,0.6825283765792847,0.039918117225170135,0.47560974955558777,0.7856979370117188,0.07365439832210541,0.0,0.039918117225170135,0.9876507520675659,39.0,938.0,3439.0,43.0,15.0
16,0.7864992022514343,0.6578999161720276,0.6782042384147644,0.04497907683253288,0.5243902206420898,0.7914096117019653,0.08285163342952728,0.0,0.04497907683253288,0.9888666868209839,43.0,913.0,3464.0,39.0,16.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: imbalance_fix
table_extra: Undersampling
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
batch_size: 12
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
run_name: BERT_20220219-1324
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\BERT
