epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.9816102385520935,0.5,0.44333600997924805,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,0.0
1,0.9816102385520935,0.5,0.4581988751888275,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,1.0
2,0.9816102385520935,0.5,0.4748728275299072,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,2.0
3,0.9816102385520935,0.5,0.5292103290557861,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,3.0
4,0.9816102385520935,0.5,0.56507408618927,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,4.0
5,0.9807131886482239,0.5055264234542847,0.6027043461799622,0.1666666716337204,0.012195120565593243,0.9988576769828796,0.022727271541953087,0.0,0.1666666716337204,0.9818100333213806,1.0,5.0,4372.0,81.0,5.0
6,0.8777753114700317,0.572759747505188,0.6107285618782043,0.041584160178899765,0.25609755516052246,0.8894219994544983,0.07155025750398636,0.0,0.041584160178899765,0.9845725893974304,21.0,484.0,3893.0,61.0,6.0
7,0.9659115672111511,0.5099536180496216,0.6173874735832214,0.03947368264198303,0.03658536449074745,0.9833218455314636,0.03797468543052673,0.0,0.03947368264198303,0.9819758534431458,3.0,73.0,4304.0,79.0,7.0
8,0.8802422285079956,0.574016273021698,0.6221405863761902,0.04251012206077576,0.25609755516052246,0.8919350504875183,0.0729166641831398,0.0,0.04251012206077576,0.9846153855323792,21.0,473.0,3904.0,61.0,8.0
9,0.7633997797966003,0.5743339657783508,0.6238737106323242,0.02995169162750244,0.37804874777793884,0.7706190943717957,0.055505819618701935,0.0,0.02995169162750244,0.9851051568984985,31.0,1004.0,3373.0,51.0,9.0
10,0.8169993162155151,0.5717191696166992,0.6155513525009155,0.0330788791179657,0.31707316637039185,0.8263651132583618,0.059907834976911545,0.0,0.0330788791179657,0.9847536087036133,26.0,760.0,3617.0,56.0,10.0
11,0.7672123908996582,0.5762759447097778,0.6137347221374512,0.03045186586678028,0.37804874777793884,0.7745031118392944,0.05636363476514816,0.0,0.03045186586678028,0.9851786494255066,31.0,987.0,3390.0,51.0,11.0
12,0.5523660182952881,0.5865067839622498,0.6027377247810364,0.02529762126505375,0.6219512224197388,0.5510623455047607,0.04861772805452347,0.0,0.02529762126505375,0.9873107075691223,51.0,1965.0,2412.0,31.0,12.0
13,0.7618300318717957,0.5675510168075562,0.6191734075546265,0.028846153989434242,0.3658536374568939,0.769248366355896,0.05347593501210213,0.0,0.028846153989434242,0.9847908616065979,30.0,1010.0,3367.0,52.0,13.0
14,0.632204532623291,0.5972572565078735,0.6376040577888489,0.027878787368535995,0.5609756112098694,0.6335389018058777,0.053117785602808,0.0,0.027878787368535995,0.9871840476989746,46.0,1604.0,2773.0,36.0,14.0
15,0.43799057602882385,0.5581643581390381,0.6098034977912903,0.022082019597291946,0.6829268336296082,0.433401882648468,0.04278074949979782,0.0,0.022082019597291946,0.9864794611930847,56.0,2480.0,1897.0,26.0,15.0
16,0.7163041234016418,0.5742782354354858,0.6243361830711365,0.02793296054005623,0.4268292784690857,0.721727192401886,0.05243445560336113,0.0,0.02793296054005623,0.9853399991989136,35.0,1218.0,3159.0,47.0,16.0
17,0.5649248957633972,0.5869205594062805,0.6156628727912903,0.02553625963628292,0.6097561120986938,0.5640850067138672,0.04901960864663124,0.0,0.02553625963628292,0.9872051477432251,50.0,1908.0,2469.0,32.0,17.0
18,0.6647230386734009,0.6138211488723755,0.6366037130355835,0.03056478314101696,0.5609756112098694,0.6666666865348816,0.057971011847257614,0.0,0.03056478314101696,0.9878131151199341,46.0,1459.0,2918.0,36.0,18.0
19,0.5236600041389465,0.6077848672866821,0.615838348865509,0.026437846943736076,0.6951219439506531,0.5204477906227112,0.05093833804130554,0.0,0.026437846943736076,0.9891446232795715,57.0,2099.0,2278.0,25.0,19.0
20,0.8118413090705872,0.5571250915527344,0.6375147700309753,0.02981366403400898,0.2926829159259796,0.8215672373771667,0.054114993661642075,0.0,0.02981366403400898,0.9841269850730896,24.0,781.0,3596.0,58.0,20.0
21,0.6420722007751465,0.6262168884277344,0.6318978667259216,0.030978934839367867,0.6097561120986938,0.6426776051521301,0.05896226689219475,0.0,0.030978934839367867,0.9887521862983704,50.0,1564.0,2813.0,32.0,21.0
22,0.429019957780838,0.5894950032234192,0.6290169954299927,0.023956725373864174,0.7560974955558777,0.42289239168167114,0.046441949903964996,0.0,0.023956725373864174,0.9893105626106262,62.0,2526.0,1851.0,20.0,22.0
23,0.7228078246116638,0.5955410003662109,0.6393579244613647,0.030894309282302856,0.46341463923454285,0.7276673316955566,0.057926829904317856,0.0,0.030894309282302856,0.9863734841346741,38.0,1192.0,3185.0,44.0,23.0
24,0.73088139295578,0.5757201313972473,0.6201207041740417,0.028667790815234184,0.4146341383457184,0.7368060350418091,0.05362776294350624,0.0,0.028667790815234184,0.985334575176239,34.0,1152.0,3225.0,48.0,24.0
25,0.6703296899795532,0.5807770490646362,0.6309324502944946,0.0272479560226202,0.4878048896789551,0.6737491488456726,0.05161289498209953,0.0,0.0272479560226202,0.9859578013420105,40.0,1428.0,2949.0,42.0,25.0
26,0.6795245409011841,0.5495606064796448,0.6024061441421509,0.024028267711400986,0.4146341383457184,0.6844870448112488,0.04542418196797371,0.0,0.024028267711400986,0.9842312932014465,34.0,1381.0,2996.0,48.0,26.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: compare_token_len
table_extra: 512
dataset: SCAR
debug: False
max_tokens: 512
lr: 1e-05
weight_decay: 0
batch_size: 12
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
run_name: BERT_20220224-1234
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\BERT
