epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.7295357584953308,0.5989680290222168,0.6562129259109497,0.03166666626930237,0.46341463923454285,0.7345213890075684,0.059282369911670685,1.3658536672592163,0.03166666666666667,0.9864989260509359,38.0,1162.0,3215.0,44.0
1,0.7263960242271423,0.6213020086288452,0.6669355034828186,0.03436988592147827,0.5121951103210449,0.7304089665412903,0.06441718339920044,1.3558108806610107,0.03436988543371522,0.9876428792091443,42.0,1180.0,3197.0,40.0
2,0.6766090989112854,0.6198755502700806,0.6675750017166138,0.03168044239282608,0.5609756112098694,0.678775429725647,0.05997392535209656,1.3463729619979858,0.03168044077134986,0.9880279348187563,46.0,1406.0,2971.0,36.0
3,0.6795245409011841,0.6273438930511475,0.6695894002914429,0.03261623904109001,0.5731707215309143,0.6815170049667358,0.061720285564661026,1.3375887870788574,0.03261623872310895,0.9884029158383035,47.0,1394.0,2983.0,35.0
4,0.7342453598976135,0.6372668743133545,0.6723337173461914,0.036943744868040085,0.5365853905677795,0.7379483580589294,0.06912804394960403,1.3305902481079102,0.036943744752308987,0.9883720930232558,44.0,1147.0,3230.0,38.0
5,0.7037452459335327,0.6456644535064697,0.67535400390625,0.03595505654811859,0.5853658318519592,0.7059630155563354,0.06774876266717911,1.3212907314300537,0.035955056179775284,0.9891165172855314,48.0,1287.0,3090.0,34.0
6,0.7443373203277588,0.6424074172973633,0.6788506507873535,0.03839441388845444,0.5365853905677795,0.7482293844223022,0.07166124135255814,1.3155732154846191,0.038394415357766144,0.9885300332025355,44.0,1102.0,3275.0,38.0
7,0.7380578517913818,0.6451921463012695,0.6821885108947754,0.03826530650258064,0.5487805008888245,0.7416038513183594,0.07154213637113571,1.3078252077102661,0.03826530612244898,0.9887298202863235,45.0,1131.0,3246.0,37.0
8,0.7418704032897949,0.6591007709503174,0.6864708662033081,0.040412724018096924,0.5731707215309143,0.7450308203697205,0.07550200074911118,1.300751805305481,0.040412725709372314,0.9893810679611651,47.0,1116.0,3261.0,35.0
9,0.7613814473152161,0.6510891318321228,0.6901875734329224,0.04112149402499199,0.5365853905677795,0.7655928730964661,0.0763888880610466,1.295825481414795,0.041121495327102804,0.9887872528769549,44.0,1026.0,3351.0,38.0
10,0.7667638659477234,0.6538307666778564,0.6954535245895386,0.042065009474754333,0.5365853905677795,0.7710760831832886,0.07801418006420135,1.288741111755371,0.04206500956022945,0.9888661002050981,44.0,1002.0,3375.0,38.0
11,0.7824624180793762,0.6558437347412109,0.6996884942054749,0.04414784535765648,0.5243902206420898,0.787297248840332,0.08143939822912216,1.28382408618927,0.044147843942505136,0.9888091822094691,43.0,931.0,3446.0,39.0
12,0.7853778600692749,0.651345431804657,0.7035766243934631,0.043795619159936905,0.5121951103210449,0.790495753288269,0.0806916356086731,1.2776837348937988,0.043795620437956206,0.9885714285714285,42.0,917.0,3460.0,40.0
13,0.787396252155304,0.6523735523223877,0.7079620361328125,0.0442105270922184,0.5121951103210449,0.7925519943237305,0.08139534294605255,1.2712481021881104,0.04421052631578947,0.9886007409518381,42.0,908.0,3469.0,40.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 16
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: see_psych
table_extra: 
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220211-1309
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\CNN
