epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.64543616771698,0.5800637006759644,0.6449595093727112,0.026531901210546494,0.5121951103210449,0.6479323506355286,0.05045045167207718,1.354263424873352,0.026531901452937462,0.9860917941585535,42.0,1541.0,2836.0,40.0
1,0.6649472713470459,0.6079520583152771,0.6576171517372131,0.02996005304157734,0.5487805008888245,0.6671236157417297,0.05681817978620529,1.343815803527832,0.02996005326231691,0.9874873182279337,45.0,1457.0,2920.0,37.0
2,0.6900650262832642,0.6207461953163147,0.6621140837669373,0.032374098896980286,0.5487805008888245,0.6927118897438049,0.061141304671764374,1.3341524600982666,0.03237410071942446,0.9879439556858912,45.0,1345.0,3032.0,37.0
3,0.7387306690216064,0.6395515203475952,0.6666332483291626,0.03757472336292267,0.5365853905677795,0.7425177097320557,0.07023145258426666,1.3256504535675049,0.037574722459436376,0.9884428223844283,44.0,1127.0,3250.0,38.0
4,0.7145099639892578,0.6272143125534058,0.6696813106536865,0.034401874989271164,0.5365853905677795,0.7178432941436768,0.06465833634138107,1.3170000314712524,0.03440187646598905,0.9880503144654088,44.0,1235.0,3142.0,38.0
5,0.7286387085914612,0.6344110369682312,0.6721387505531311,0.03618421033024788,0.5365853905677795,0.7322366833686829,0.06779661029577255,1.3096718788146973,0.03618421052631579,0.9882824545174221,44.0,1172.0,3205.0,38.0
6,0.7481498122215271,0.6443493366241455,0.6758638620376587,0.03897254168987274,0.5365853905677795,0.7521133422851562,0.0726672112941742,1.3030083179473877,0.03897254207263064,0.9885885885885886,44.0,1085.0,3292.0,38.0
7,0.7535321712493896,0.6411076188087463,0.6794831156730652,0.03898458927869797,0.5243902206420898,0.7578250169754028,0.07257384061813354,1.2965943813323975,0.038984587488667274,0.9883790226460072,43.0,1060.0,3317.0,39.0
8,0.7669880986213684,0.6419782638549805,0.6833726167678833,0.040345821529626846,0.5121951103210449,0.7717614769935608,0.07479964196681976,1.2912083864212036,0.040345821325648415,0.9882972498537156,42.0,999.0,3378.0,40.0
9,0.7645211815834045,0.6526883840560913,0.6874126195907593,0.0416666679084301,0.5365853905677795,0.7687914371490479,0.0773286446928978,1.2845638990402222,0.041666666666666664,0.9888333823097267,44.0,1012.0,3365.0,38.0
10,0.8010764718055725,0.6653251051902771,0.6920042037963867,0.04826038330793381,0.5243902206420898,0.8062599897384644,0.08838643878698349,1.2818281650543213,0.04826038159371493,0.9890695067264574,43.0,848.0,3529.0,39.0
11,0.802422046661377,0.6660104990005493,0.6953782439231873,0.04858757182955742,0.5243902206420898,0.8076307773590088,0.08893485367298126,1.2761313915252686,0.04858757062146893,0.9890878567431449,43.0,842.0,3535.0,39.0
12,0.7932271957397461,0.6613269448280334,0.6997776627540588,0.046436283737421036,0.5243902206420898,0.798263669013977,0.0853174552321434,1.2690893411636353,0.04643628509719223,0.9889612227568638,43.0,883.0,3494.0,39.0
13,0.8087015151977539,0.6632257103919983,0.7044528722763062,0.04912280663847923,0.5121951103210449,0.8142563104629517,0.0896478146314621,1.2648839950561523,0.04912280701754386,0.9889012208657048,42.0,813.0,3564.0,40.0
14,0.8297824859619141,0.6739636659622192,0.7088160514831543,0.05519053712487221,0.5121951103210449,0.8357322216033936,0.09964411705732346,1.262446403503418,0.05519053876478318,0.9891833423472147,42.0,719.0,3658.0,40.0
15,0.8304552435874939,0.6743063926696777,0.7131123542785645,0.05540896952152252,0.5121951103210449,0.8364176154136658,0.10000000149011612,1.2571039199829102,0.055408970976253295,0.9891921102404756,42.0,716.0,3661.0,40.0
16,0.8326979279518127,0.6754487156867981,0.7167288064956665,0.05614973232150078,0.5121951103210449,0.8387023210525513,0.10120481997728348,1.2520595788955688,0.05614973262032086,0.9892212341686877,42.0,706.0,3671.0,40.0
17,0.8418927788734436,0.6561989784240723,0.7210808396339417,0.05436337739229202,0.46341463923454285,0.8489833474159241,0.09731113165616989,1.249570608139038,0.05436337625178827,0.9882978723404255,38.0,661.0,3716.0,44.0
18,0.8396501541137695,0.6550566554069519,0.7254272699356079,0.0535966157913208,0.46341463923454285,0.8466986417770386,0.09608090668916702,1.2424931526184082,0.0535966149506347,0.9882666666666666,38.0,671.0,3706.0,44.0
19,0.8517605066299438,0.6612252593040466,0.729539692401886,0.05801526829600334,0.46341463923454285,0.859035849571228,0.10312075912952423,1.2401878833770752,0.05801526717557252,0.9884332281808622,38.0,617.0,3760.0,44.0
20,0.8605068325996399,0.6596970558166504,0.7333177328109741,0.0602605864405632,0.45121949911117554,0.8681745529174805,0.10632184147834778,1.237781286239624,0.06026058631921824,0.988296488946684,37.0,577.0,3800.0,45.0
21,0.8685804009437561,0.6638094186782837,0.7368979454040527,0.06401383876800537,0.45121949911117554,0.8763993382453918,0.11212120950222015,1.2351197004318237,0.06401384083044982,0.9884050502447823,37.0,541.0,3836.0,45.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: compare_n
table_extra: 30953
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220215-2059
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\CNN
