epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.36308589577674866,0.567876935005188,0.676532506942749,0.022176021710038185,0.7804877758026123,0.35526615381240845,0.04312668368220329,1.3027352094650269,0.022176022176022176,0.9885568976478067,64.0,2822.0,1555.0,18.0
1,0.5496748089790344,0.6210359334945679,0.722468376159668,0.027941176667809486,0.6951219439506531,0.5469499826431274,0.05372290685772896,1.2220128774642944,0.027941176470588237,0.989665150888797,57.0,1983.0,2394.0,25.0
2,0.6250280141830444,0.6773684024810791,0.7708364725112915,0.035087719559669495,0.7317073345184326,0.6230294704437256,0.066964291036129,1.138994812965393,0.03508771929824561,0.9919970898508549,60.0,1650.0,2727.0,22.0
3,0.825969934463501,0.7079216241836548,0.7914403080940247,0.060759492218494415,0.5853658318519592,0.8304774761199951,0.11009174585342407,1.1042299270629883,0.060759493670886074,0.9907331698010357,48.0,742.0,3635.0,34.0
4,0.8275398015975952,0.7326545715332031,0.800659716129303,0.06573957204818726,0.6341463327407837,0.8311628699302673,0.11912944167852402,1.087976336479187,0.06573957016434892,0.9918211559432933,52.0,739.0,3638.0,30.0
5,0.886073112487793,0.7205862998962402,0.8067726492881775,0.0872092992067337,0.5487805008888245,0.8923920392990112,0.15050166845321655,1.1512119770050049,0.0872093023255814,0.9906162820187674,45.0,471.0,3906.0,37.0
6,0.8952680230140686,0.6953532099723816,0.7982720136642456,0.08602150529623032,0.4878048896789551,0.9029015302658081,0.14625228941440582,1.237481713294983,0.08602150537634409,0.9894842263395093,40.0,425.0,3952.0,42.0
7,0.8950437307357788,0.7072056531906128,0.79928058385849,0.08936170488595963,0.5121951103210449,0.9022161364555359,0.15217390656471252,1.2676060199737549,0.08936170212765958,0.9899724241664578,42.0,428.0,3949.0,40.0
8,0.9298048615455627,0.6471285820007324,0.7983249425888062,0.10034602135419846,0.353658527135849,0.9405986070632935,0.15633422136306763,1.5135583877563477,0.10034602076124567,0.9872901678657074,29.0,260.0,4117.0,53.0
9,0.9434850811958313,0.6301634907722473,0.790055513381958,0.11363636702299118,0.3048780560493469,0.9554489254951477,0.16556291282176971,1.7819983959197998,0.11363636363636363,0.9865534324133051,25.0,195.0,4182.0,57.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: imbalance_fix
table_extra: Weighted Loss
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220217-1207
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\CNN
