epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9450549483299255,0.5651465058326721,0.6471773386001587,0.07329843193292618,0.17073170840740204,0.9595613479614258,0.10256410390138626,0.6390861868858337,0.07329842931937172,0.9840674789128397,14.0,177.0,4200.0,68.0
1,0.8753083944320679,0.5894531607627869,0.6555720567703247,0.04597701132297516,0.2926829159259796,0.8862234354019165,0.079470194876194,0.6182287335395813,0.04597701149425287,0.9852679705359411,24.0,498.0,3879.0,58.0
2,0.8252971768379211,0.6058623790740967,0.6621168255805969,0.040843214839696884,0.37804877758026123,0.8336760401725769,0.0737217590212822,0.6099603176116943,0.04084321475625823,0.9862162162162162,31.0,728.0,3649.0,51.0
3,0.7947970628738403,0.6381932497024536,0.6699376106262207,0.042810097336769104,0.47560974955558777,0.8007767796516418,0.07854984700679779,0.608454704284668,0.042810098792535674,0.987880496054115,39.0,872.0,3505.0,43.0
4,0.8006279468536377,0.6411633491516113,0.6782488226890564,0.04406779631972313,0.47560974955558777,0.8067169189453125,0.0806618481874466,0.5934005379676819,0.04406779661016949,0.9879686625629547,39.0,846.0,3531.0,43.0
5,0.8066831231117249,0.6322809457778931,0.6840357184410095,0.043325528502464294,0.45121949911117554,0.8133424520492554,0.07905983179807663,0.5778795480728149,0.04332552693208431,0.9875173370319001,37.0,817.0,3560.0,45.0
6,0.8010764718055725,0.6413918137550354,0.6921713352203369,0.04416761174798012,0.47560974955558777,0.8071738481521606,0.08082901686429977,0.5714367628097534,0.044167610419026046,0.9879753914988815,39.0,844.0,3533.0,43.0
7,0.8015249967575073,0.6356369256973267,0.6982982158660889,0.043230943381786346,0.46341463923454285,0.8078592419624329,0.07908428460359573,0.5607712864875793,0.04323094425483504,0.9877094972067039,38.0,841.0,3536.0,44.0
8,0.8008521795272827,0.6352942585945129,0.7064951658248901,0.04308389872312546,0.46341463923454285,0.8071738481521606,0.07883817702531815,0.5516102313995361,0.04308390022675737,0.987699189264747,38.0,844.0,3533.0,44.0
9,0.8318008780479431,0.6450751423835754,0.7146279811859131,0.0498652309179306,0.45121949911117554,0.8389307856559753,0.08980582654476166,0.5237988829612732,0.04986522911051213,0.9878934624697336,37.0,705.0,3672.0,45.0
10,0.8069073557853699,0.656328558921814,0.7210752367973328,0.0476190485060215,0.5,0.8126570582389832,0.08695652335882187,0.5316624641418457,0.047619047619047616,0.9886047804335742,41.0,820.0,3557.0,41.0
11,0.8152052164077759,0.6665384769439697,0.729417085647583,0.050847455859184265,0.5121951103210449,0.8208819031715393,0.09251100569963455,0.5182306170463562,0.05084745762711865,0.9889898155794109,42.0,784.0,3593.0,40.0
12,0.8230544924736023,0.6645533442497253,0.7355912923812866,0.05196451023221016,0.5,0.8291066884994507,0.09414465725421906,0.5075100660324097,0.051964512040557666,0.9888283378746594,41.0,748.0,3629.0,41.0
13,0.8335949778556824,0.6699223518371582,0.7413169145584106,0.05525606498122215,0.5,0.8398446440696716,0.09951456636190414,0.4894941747188568,0.05525606469002695,0.9889695991390907,41.0,701.0,3676.0,41.0
14,0.8143081665039062,0.7019815444946289,0.7466078400611877,0.05700712651014328,0.5853658318519592,0.8185971975326538,0.1038961112499237,0.5000938773155212,0.057007125890736345,0.9905999447055571,48.0,794.0,3583.0,34.0
15,0.8295581936836243,0.6977827548980713,0.7489482164382935,0.05974026024341583,0.5609756112098694,0.8345898985862732,0.10798122733831406,0.47994720935821533,0.05974025974025974,0.99024125779344,46.0,724.0,3653.0,36.0
16,0.849517822265625,0.6899995803833008,0.7536011338233948,0.06370370090007782,0.5243902206420898,0.8556088805198669,0.11360633373260498,0.4484337866306305,0.0637037037037037,0.989693446088795,43.0,632.0,3745.0,39.0
17,0.8309037685394287,0.6924848556518555,0.756273090839386,0.05905511975288391,0.5487805008888245,0.8361891508102417,0.10663506388664246,0.46539589762687683,0.05905511811023622,0.9899918853124154,45.0,717.0,3660.0,37.0
18,0.8537788987159729,0.7041366100311279,0.7578556537628174,0.06818182021379471,0.5487805008888245,0.8594927787780762,0.121293805539608,0.43128761649131775,0.06818181818181818,0.990260594893393,45.0,615.0,3762.0,37.0
19,0.812738299369812,0.7011818885803223,0.7610235214233398,0.05653710290789604,0.5853658318519592,0.8169979453086853,0.10311492532491684,0.4721929132938385,0.05653710247349823,0.9905817174515236,48.0,801.0,3576.0,34.0
20,0.8531060814857483,0.7097772359848022,0.7630714178085327,0.0691729336977005,0.5609756112098694,0.8585789203643799,0.12315931171178818,0.4231875240802765,0.06917293233082707,0.9905113336847654,46.0,619.0,3758.0,36.0
21,0.8479479551315308,0.707149863243103,0.7655231952667236,0.06686046719551086,0.5609756112098694,0.8533241748809814,0.11948051303625107,0.4224536418914795,0.06686046511627906,0.9904534606205251,46.0,642.0,3735.0,36.0
22,0.8676833510398865,0.7052358388900757,0.7666683197021484,0.07382550090551376,0.5365853905677795,0.873886227607727,0.12979350984096527,0.388514906167984,0.0738255033557047,0.990163085684701,44.0,552.0,3825.0,38.0
23,0.8705987930297852,0.7067208290100098,0.7685685157775879,0.07547169923782349,0.5365853905677795,0.87685626745224,0.13233083486557007,0.38011401891708374,0.07547169811320754,0.9901960784313726,44.0,539.0,3838.0,38.0
24,0.8692532181739807,0.7060354351997375,0.7686270475387573,0.07470288872718811,0.5365853905677795,0.8754854798316956,0.13114753365516663,0.37690576910972595,0.07470288624787776,0.9901808785529715,44.0,545.0,3832.0,38.0
25,0.8647679090499878,0.7097340822219849,0.7692288160324097,0.07364975661039352,0.5487805008888245,0.8706876635551453,0.12987013161182404,0.3778405487537384,0.07364975450081833,0.9903846153846154,45.0,566.0,3811.0,37.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: imbalance_fix
table_extra: Undersampling
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 6350
run_name: CNN_20220219-1129
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\CNN
