epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9813859462738037,0.49988576769828796,0.6399359703063965,0.0,0.0,0.9997715353965759,0.0,0.5933262705802917,0.0,0.9816061013907582,0.0,1.0,4376.0,82.0
1,0.926665186882019,0.5557793974876404,0.6473221778869629,0.05128205195069313,0.17073170840740204,0.9408270716667175,0.07887323945760727,0.5783264636993408,0.05128205128205128,0.9837553750597229,14.0,259.0,4118.0,68.0
2,0.8885400295257568,0.5602930188179016,0.657004177570343,0.03991130739450455,0.2195121943950653,0.9010738134384155,0.06754221022129059,0.5655938982963562,0.03991130820399113,0.9840319361277445,18.0,433.0,3944.0,64.0
3,0.8771024942398071,0.5664337873458862,0.6657946109771729,0.03952569141983986,0.24390244483947754,0.8889650702476501,0.06802720576524734,0.5511245727539062,0.039525691699604744,0.9843157095876549,20.0,486.0,3891.0,62.0
4,0.87104731798172,0.5872827172279358,0.6732378602027893,0.04436229169368744,0.2926829159259796,0.8818825483322144,0.07704655081033707,0.5394994616508484,0.04436229205175601,0.9851965288412455,24.0,517.0,3860.0,58.0
5,0.8596097826957703,0.6053901314735413,0.6820575594902039,0.046666666865348816,0.3414634168148041,0.8693168759346008,0.08211144059896469,0.5370749235153198,0.04666666666666667,0.9860067374967608,28.0,572.0,3805.0,54.0
6,0.8654406666755676,0.608360230922699,0.6902683973312378,0.04878048598766327,0.3414634168148041,0.8752570152282715,0.08536585420370102,0.5178231596946716,0.04878048780487805,0.9861003861003861,28.0,546.0,3831.0,54.0
7,0.8607311248779297,0.6119446158409119,0.6993569135665894,0.04857621341943741,0.353658527135849,0.8702307343482971,0.08541973680257797,0.5103428363800049,0.048576214405360134,0.9862765406525117,29.0,568.0,3809.0,53.0
8,0.8506391644477844,0.6068041324615479,0.7075232267379761,0.0451713390648365,0.353658527135849,0.8599497079849243,0.08011049777269363,0.5052736401557922,0.045171339563862926,0.9861147498035107,29.0,613.0,3764.0,53.0
9,0.8602825999259949,0.6117161512374878,0.7181887626647949,0.048414021730422974,0.353658527135849,0.869773805141449,0.08516886830329895,0.4904605746269226,0.048414023372287146,0.9862694300518134,29.0,570.0,3807.0,53.0
10,0.8508633971214294,0.6248683333396912,0.7276756763458252,0.04945904016494751,0.39024388790130615,0.8594927787780762,0.08779149502515793,0.4875195026397705,0.04945904173106646,0.9868835257082896,32.0,615.0,3762.0,50.0
11,0.8779995441436768,0.6267239451408386,0.7355048656463623,0.05747126415371895,0.3658536672592163,0.8875942230224609,0.09933774918317795,0.45466020703315735,0.05747126436781609,0.9867919735839472,30.0,492.0,3885.0,52.0
12,0.866562008857727,0.6448313593864441,0.7444763779640198,0.058519791811704636,0.4146341383457184,0.8750285506248474,0.10256410390138626,0.4598524272441864,0.058519793459552494,0.9876224858174316,34.0,547.0,3830.0,48.0
13,0.8452568054199219,0.6579124927520752,0.7503050565719604,0.0555555559694767,0.46341463923454285,0.8524103164672852,0.09921671450138092,0.47027871012687683,0.05555555555555555,0.9883443708609272,38.0,646.0,3731.0,44.0
14,0.8582642078399658,0.6765046715736389,0.7571200728416443,0.0634920671582222,0.4878048896789551,0.8652044534683228,0.11235956102609634,0.45247429609298706,0.06349206349206349,0.9890310786106032,40.0,590.0,3787.0,42.0
15,0.8728414177894592,0.659996509552002,0.7623052000999451,0.06463195383548737,0.4390243887901306,0.8809686899185181,0.11267605423927307,0.42598772048950195,0.06463195691202872,0.9882111737570477,36.0,521.0,3856.0,46.0
16,0.8871944546699524,0.6673074960708618,0.7674791812896729,0.07302231341600418,0.4390243887901306,0.895590603351593,0.12521739304065704,0.4043196737766266,0.07302231237322515,0.9884014120020171,36.0,457.0,3920.0,46.0
17,0.8827091455459595,0.6769894957542419,0.7696690559387207,0.07350096851587296,0.46341463923454285,0.8905643224716187,0.12687812745571136,0.400044322013855,0.0735009671179884,0.9888381532217149,38.0,479.0,3898.0,44.0
18,0.8858488202095032,0.6785887479782104,0.7732325792312622,0.07554671913385391,0.46341463923454285,0.8937628269195557,0.1299145221710205,0.3886471688747406,0.07554671968190854,0.9888776541961577,38.0,465.0,3912.0,44.0
19,0.8941466808319092,0.6648653745651245,0.774533748626709,0.07608695328235626,0.4268292784690857,0.9029015302658081,0.12915128469467163,0.3656168282032013,0.07608695652173914,0.9882470617654414,35.0,425.0,3952.0,47.0
20,0.8919039964675903,0.6876563429832458,0.7768239974975586,0.0815899595618248,0.47560974955558777,0.8997029662132263,0.13928571343421936,0.36701881885528564,0.08158995815899582,0.9891986937955287,39.0,439.0,3938.0,43.0
21,0.8735142350196838,0.690255880355835,0.7785235643386841,0.07269503176212311,0.5,0.8805117607116699,0.1269349753856659,0.38457348942756653,0.0726950354609929,0.9894736842105263,41.0,523.0,3854.0,41.0
22,0.894819438457489,0.6891413927078247,0.7796463370323181,0.08387096971273422,0.47560974955558777,0.902673065662384,0.14259597659111023,0.3468630015850067,0.08387096774193549,0.9892338507761642,39.0,426.0,3951.0,43.0
23,0.9022202491760254,0.6749610900878906,0.7810143232345581,0.0845070406794548,0.4390243887901306,0.9108978509902954,0.14173227548599243,0.3263242542743683,0.08450704225352113,0.9885940986858418,36.0,390.0,3987.0,46.0
24,0.8936981558799744,0.6885702610015869,0.7819086909294128,0.08297872543334961,0.47560974955558777,0.9015307426452637,0.14130434393882751,0.3364315927028656,0.08297872340425531,0.9892203559789421,39.0,431.0,3946.0,43.0
25,0.8806907534599304,0.6879280209541321,0.7823600769042969,0.07547169923782349,0.4878048896789551,0.8880511522293091,0.13071896135807037,0.3494820296764374,0.07547169811320754,0.9893102570628659,40.0,490.0,3887.0,42.0
26,0.9055842161178589,0.6826579570770264,0.7831597924232483,0.08958838135004044,0.45121949911117554,0.9140964150428772,0.1494949460029602,0.30586597323417664,0.08958837772397095,0.9888779041028176,37.0,376.0,4001.0,45.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: imbalance_fix
table_extra: Undersampling
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 6350
run_name: CNN_20220219-1451
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\CNN
