epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.5507961511611938,0.5797238349914551,0.6408568620681763,0.024740228429436684,0.6097561120986938,0.5496915578842163,0.04755111783742905,1.3551467657089233,0.024740227610094014,0.9868744872846595,50.0,1971.0,2406.0,32.0
1,0.6288405656814575,0.6015270948410034,0.6580281257629395,0.028194360435009003,0.5731707215309143,0.6298834681510925,0.05374499782919884,1.3455407619476318,0.028194361127774445,0.9874641833810889,47.0,1620.0,2757.0,35.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 2
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: 
table_extra: 
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220401-1300
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\CNN
