epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9670329689979553,0.5045414566993713,0.5962263345718384,0.028985507786273956,0.024390242993831635,0.9846926927566528,0.026490066200494766,1.3612691164016724,0.028985507246376812,0.9817767653758542,2.0,67.0,4310.0,80.0
1,0.9199371933937073,0.5583356618881226,0.6306120753288269,0.04918032884597778,0.18292683362960815,0.9337445497512817,0.07751937955617905,1.3553600311279297,0.04918032786885246,0.9838709677419355,15.0,290.0,4087.0,67.0
2,0.8961650729179382,0.5761436223983765,0.6399917602539062,0.0475059375166893,0.24390244483947754,0.9083847403526306,0.07952285557985306,1.349945068359375,0.047505938242280284,0.9846458642892522,20.0,401.0,3976.0,62.0
3,0.8555729985237122,0.5853840112686157,0.6458594799041748,0.04084967449307442,0.3048780560493469,0.8658899068832397,0.07204610854387283,1.344244122505188,0.04084967320261438,0.9851832596828698,25.0,587.0,3790.0,57.0
4,0.8477237224578857,0.605319082736969,0.6513468623161316,0.04427481070160866,0.353658527135849,0.8569796681404114,0.07869742810726166,1.3390012979507446,0.044274809160305344,0.9860672975814931,29.0,626.0,3751.0,53.0
5,0.8400986790657043,0.6134018301963806,0.6539783477783203,0.044733043760061264,0.37804877758026123,0.8487548828125,0.07999999821186066,1.3346270322799683,0.044733044733044736,0.9864577801380775,31.0,662.0,3715.0,51.0
6,0.8228302597999573,0.6225557923316956,0.6558952331542969,0.04381443187594414,0.4146341383457184,0.8304774761199951,0.07925407588481903,1.3302335739135742,0.04381443298969072,0.9869671463480858,34.0,742.0,3635.0,48.0
7,0.8053375482559204,0.6435622572898865,0.6578316688537598,0.0451388880610466,0.47560974955558777,0.8115147352218628,0.0824524387717247,1.3254365921020508,0.04513888888888889,0.9880389429763561,39.0,825.0,3552.0,43.0
8,0.8199147582054138,0.6390208005905151,0.6598098874092102,0.04654087871313095,0.45121949911117554,0.82682204246521,0.08437856286764145,1.322721242904663,0.04654088050314465,0.9877183406113537,37.0,758.0,3619.0,45.0
9,0.8116169571876526,0.6467607617378235,0.6613534092903137,0.0466507188975811,0.47560974955558777,0.8179118037223816,0.08496731519699097,1.318789005279541,0.04665071770334928,0.9881313828319073,39.0,797.0,3580.0,43.0
10,0.8230544924736023,0.6466033458709717,0.6640421152114868,0.048531290143728256,0.46341463923454285,0.8297920823097229,0.08786127716302872,1.3164221048355103,0.04853128991060025,0.9880304678998912,38.0,745.0,3632.0,44.0
11,0.8288853764533997,0.6376067399978638,0.6653223037719727,0.04780876636505127,0.4390243887901306,0.8361891508102417,0.08622755110263824,1.3142048120498657,0.04780876494023904,0.9875876956287102,36.0,717.0,3660.0,46.0
12,0.8244000673294067,0.6472887396812439,0.6673353314399719,0.048906050622463226,0.46341463923454285,0.8311628699302673,0.08847497403621674,1.3105199337005615,0.0489060489060489,0.9880499728408474,38.0,739.0,3638.0,44.0
13,0.8398743867874146,0.6372208595275879,0.6688008308410645,0.049857549369335175,0.4268292784690857,0.8476125001907349,0.089285708963871,1.3102682828903198,0.04985754985754986,0.9874900186318871,35.0,667.0,3710.0,47.0
14,0.8315765857696533,0.6329942941665649,0.6704251766204834,0.04736129939556122,0.4268292784690857,0.8391592502593994,0.08526187390089035,1.3063076734542847,0.04736129905277402,0.9873655913978494,35.0,704.0,3673.0,47.0
15,0.8479479551315308,0.6233832836151123,0.6722362041473389,0.04848484694957733,0.39024388790130615,0.8565227389335632,0.08625336736440659,1.3061292171478271,0.048484848484848485,0.9868386417478284,32.0,628.0,3749.0,50.0
16,0.8441354632377625,0.6334080100059509,0.6743816137313843,0.049926578998565674,0.4146341383457184,0.8521818518638611,0.08912189304828644,1.3024247884750366,0.049926578560939794,0.9872948650079407,34.0,647.0,3730.0,48.0
17,0.8425655961036682,0.6326083540916443,0.6763124465942383,0.049418605864048004,0.4146341383457184,0.8505825996398926,0.08831168711185455,1.2994613647460938,0.04941860465116279,0.9872712808273667,34.0,654.0,3723.0,48.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: 
table_extra: 
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220401-1502
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\CNN
