epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9802646040916443,0.4993146061897278,0.6074797511100769,0.0,0.0,0.9986292123794556,0.0,1.3617806434631348,0.0,0.9815854480125757,0.0,6.0,4371.0,82.0
1,0.9540255665779114,0.527832567691803,0.6397354602813721,0.051094889640808105,0.08536585420370102,0.9702993035316467,0.06392693519592285,1.3558017015457153,0.051094890510948905,0.9826469227209625,7.0,130.0,4247.0,75.0
2,0.9421395063400269,0.5516948103904724,0.6484158039093018,0.05999999865889549,0.1463414579629898,0.9570481777191162,0.08510637283325195,1.3511598110198975,0.06,0.9835642169523362,12.0,188.0,4189.0,70.0
3,0.924871027469635,0.5787988305091858,0.6538028717041016,0.06228373572230339,0.2195121943950653,0.9380854368209839,0.09703504294157028,1.3460735082626343,0.06228373702422145,0.984652278177458,18.0,271.0,4106.0,64.0
4,0.8988562226295471,0.6134143471717834,0.6574750542640686,0.06175772100687027,0.31707316637039185,0.909755527973175,0.10337972640991211,1.3405920267105103,0.06175771971496437,0.9861317483902923,26.0,395.0,3982.0,56.0
5,0.873065710067749,0.6242108345031738,0.660447895526886,0.05514705926179886,0.3658536672592163,0.8825679421424866,0.09584664553403854,1.3352947235107422,0.05514705882352941,0.9867177522349936,30.0,514.0,3863.0,52.0
6,0.8652164340019226,0.6261959671974182,0.6648612022399902,0.05335628241300583,0.37804877758026123,0.8743431568145752,0.0935143232345581,1.330336093902588,0.05335628227194492,0.9868488911810211,31.0,550.0,3827.0,51.0
7,0.8488450050354004,0.6298235654830933,0.6673018932342529,0.050151973962783813,0.40243902802467346,0.8572081327438354,0.08918918669223785,1.3257651329040527,0.05015197568389058,0.9871086556169429,33.0,625.0,3752.0,49.0
8,0.8670105338096619,0.6271098256111145,0.6705172061920166,0.05410122126340866,0.37804877758026123,0.8761708736419678,0.09465648233890533,1.3229553699493408,0.05410122164048865,0.9868759650025734,31.0,542.0,3835.0,51.0
9,0.8551244735717773,0.6270387768745422,0.6727963089942932,0.05095541477203369,0.39024388790130615,0.8638336658477783,0.09014084190130234,1.3182213306427002,0.050955414012738856,0.986948577394936,32.0,596.0,3781.0,50.0
10,0.8614038825035095,0.6242539882659912,0.6756242513656616,0.05183946341276169,0.37804877758026123,0.8704591989517212,0.09117646515369415,1.3154221773147583,0.051839464882943144,0.9867909867909868,31.0,567.0,3810.0,51.0
11,0.855797290802002,0.6333647966384888,0.6776859760284424,0.05263157933950424,0.40243902802467346,0.8642905950546265,0.09308885782957077,1.3113237619400024,0.05263157894736842,0.9872129436325678,33.0,594.0,3783.0,49.0
12,0.8555729985237122,0.6332505941390991,0.6799511909484863,0.052547771483659744,0.40243902802467346,0.8640621304512024,0.0929577425122261,1.3081281185150146,0.052547770700636945,0.9872096058470373,33.0,595.0,3782.0,49.0
13,0.8699259757995605,0.6285948753356934,0.6818262338638306,0.05535714328289032,0.37804877758026123,0.8791409730911255,0.09657321125268936,1.307308554649353,0.055357142857142855,0.9869197230058989,31.0,529.0,3848.0,51.0
14,0.857815682888031,0.6284096240997314,0.6845525503158569,0.051948051899671555,0.39024388790130615,0.866575300693512,0.0916905477643013,1.3017836809158325,0.05194805194805195,0.9869893312516264,32.0,584.0,3793.0,50.0
15,0.8674590587615967,0.6333216428756714,0.6868525743484497,0.05584642291069031,0.39024388790130615,0.8763993382453918,0.09770992398262024,1.3003637790679932,0.055846422338568937,0.9871332990221308,32.0,541.0,3836.0,50.0
16,0.8829333782196045,0.6232537627220154,0.6891846656799316,0.05823293328285217,0.353658527135849,0.8928489685058594,0.10000000149011612,1.301042914390564,0.05823293172690763,0.9866195405200707,29.0,469.0,3908.0,53.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: 
table_extra: 
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220401-1645
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\CNN
