epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9816102385520935,0.5,0.4783443808555603,0.0,0.0,1.0,0.0,1.3793535232543945,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
1,0.9816102385520935,0.5,0.4828566312789917,0.0,0.0,1.0,0.0,1.3789777755737305,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
2,0.9813859462738037,0.49988576769828796,0.49362385272979736,0.0,0.0,0.9997715353965759,0.0,1.378633975982666,0.0,0.9816061013907582,0.0,1.0,4376.0,82.0
3,0.5375644564628601,0.5011841058731079,0.5036582946777344,0.01848248951137066,0.46341463923454285,0.5389536023139954,0.03554723784327507,1.3783656358718872,0.01848249027237354,0.9816895547232626,38.0,2018.0,2359.0,44.0
4,0.39246466755867004,0.4990749955177307,0.5081998109817505,0.018335167318582535,0.6097561120986938,0.3883938789367676,0.035599857568740845,1.3781511783599854,0.018335166850018333,0.9815242494226328,50.0,2677.0,1700.0,32.0
5,0.3532181978225708,0.49703410267829895,0.5127718448638916,0.01822558417916298,0.6463414430618286,0.3477267622947693,0.0354515016078949,1.3779773712158203,0.018225584594222834,0.9813023855577047,53.0,2855.0,1522.0,29.0
6,0.3191298544406891,0.5036039352416992,0.5148628950119019,0.01857887953519821,0.6951219439506531,0.312085896730423,0.03619047626852989,1.3778679370880127,0.018578878748370272,0.9820273184759166,57.0,3011.0,1366.0,25.0
7,0.31329894065856934,0.5006338357925415,0.5180335640907288,0.018422754481434822,0.6951219439506531,0.3061457574367523,0.035894207656383514,1.3777557611465454,0.018422753716871364,0.9816849816849816,57.0,3037.0,1340.0,25.0
8,0.32944607734680176,0.5088586807250977,0.5196119546890259,0.01886168122291565,0.6951219439506531,0.32259538769721985,0.036726802587509155,1.3776826858520508,0.01886168100595632,0.9826026443980515,57.0,2965.0,1412.0,25.0
9,0.3276519477367401,0.5079448223114014,0.5205466747283936,0.01881188154220581,0.6951219439506531,0.3207676410675049,0.036632388830184937,1.377608060836792,0.01881188118811881,0.9825052484254724,57.0,2973.0,1404.0,25.0
10,0.3341556489467621,0.50527423620224,0.5207905173301697,0.018672890961170197,0.6829268336296082,0.3276216685771942,0.03635183349251747,1.3775726556777954,0.018672890963654553,0.9821917808219178,56.0,2943.0,1434.0,26.0
11,0.35456380248069763,0.49771949648857117,0.522244930267334,0.01826326735317707,0.6463414430618286,0.3490975499153137,0.035522788763046265,1.3775149583816528,0.01826326671261199,0.9813744380218369,53.0,2849.0,1528.0,29.0
12,0.35546085238456726,0.4981764554977417,0.5239054560661316,0.018288474529981613,0.6463414430618286,0.3500114381313324,0.03557046875357628,1.3774044513702393,0.01828847481021394,0.9814221652786675,53.0,2845.0,1532.0,29.0
13,0.36196455359458923,0.4895225763320923,0.5247970223426819,0.01780104637145996,0.6219512224197388,0.3570939004421234,0.03461146727204323,1.3772956132888794,0.01780104712041885,0.9805520702634881,51.0,2814.0,1563.0,31.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: see_psych
table_extra: 
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 1e-05
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: LSTM_20220211-1329
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\LSTM
