epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.8681318759918213,0.5319477319717407,0.5906010866165161,0.02798507548868656,0.18292683362960815,0.8809686899185181,0.048543691635131836,1.3738477230072021,0.027985074626865673,0.9829212337496813,15.0,521.0,3856.0,67.0
1,0.3870823085308075,0.5561666488647461,0.6267434358596802,0.021652832627296448,0.7317073345184326,0.38062599301338196,0.04206098988652229,1.3728034496307373,0.021652832912306026,0.9869668246445498,60.0,2711.0,1666.0,22.0
2,0.331240177154541,0.5516558289527893,0.6283915042877197,0.02113606408238411,0.7804877758026123,0.3228238523006439,0.0411575585603714,1.3707106113433838,0.021136063408190225,0.9874213836477987,64.0,2964.0,1413.0,18.0
3,0.41556403040885925,0.5646910071372986,0.6365619897842407,0.022331567481160164,0.7195122241973877,0.4098697602748871,0.043318651616573334,1.368203043937683,0.022331566994700985,0.9873417721518988,59.0,2583.0,1794.0,23.0
4,0.5014577507972717,0.5725424289703369,0.6478822231292725,0.023587005212903023,0.6463414430618286,0.4987434446811676,0.0455130971968174,1.3629701137542725,0.02358700489541611,0.9868896925858951,53.0,2194.0,2183.0,29.0
5,0.5198475122451782,0.5998595952987671,0.6585115194320679,0.025794563814997673,0.6829268336296082,0.5167922973632812,0.04971149191260338,1.3480573892593384,0.025794564716720404,0.9886363636363636,56.0,2115.0,2262.0,26.0
6,0.9499887824058533,0.5377430319786072,0.63874351978302,0.056603774428367615,0.10975609719753265,0.9657299518585205,0.07468879967927933,1.3673902750015259,0.05660377358490566,0.9830232558139534,9.0,150.0,4227.0,73.0
7,0.37429916858673096,0.6094886064529419,0.7068712711334229,0.024578651413321495,0.8536585569381714,0.3653187155723572,0.0477815680205822,1.2862378358840942,0.02457865168539326,0.9925512104283054,70.0,2778.0,1599.0,12.0
8,0.5754653215408325,0.634172797203064,0.714544415473938,0.029610389843583107,0.6951219439506531,0.5732236504554749,0.056801196187734604,1.232000708580017,0.02961038961038961,0.9901341752170482,57.0,1868.0,2509.0,25.0
9,0.6559766530990601,0.6332993507385254,0.7111703157424927,0.03221649304032326,0.6097561120986938,0.6568425893783569,0.061199504882097244,1.2848950624465942,0.03221649484536082,0.9889920880632955,50.0,1502.0,2875.0,32.0
10,0.761157214641571,0.6270415782928467,0.699217677116394,0.037629351019859314,0.4878048896789551,0.7662782669067383,0.06986899673938751,1.4048748016357422,0.03762935089369708,0.9876325088339223,40.0,1023.0,3354.0,42.0
11,0.8028705716133118,0.61837238073349,0.6803106069564819,0.04036908969283104,0.4268292784690857,0.8099154829978943,0.07376185804605484,1.6919363737106323,0.040369088811995385,0.9869153674832962,35.0,832.0,3545.0,47.0
12,0.7681094408035278,0.6245994567871094,0.6820018291473389,0.0378640778362751,0.47560974955558777,0.7735891938209534,0.07014388591051102,1.6038966178894043,0.037864077669902914,0.9874599008457277,39.0,991.0,3386.0,43.0
13,0.819466233253479,0.5909256935119629,0.6856322288513184,0.03713188320398331,0.353658527135849,0.8281928300857544,0.06720741838216782,1.9303793907165527,0.03713188220230474,0.9855899945622622,29.0,752.0,3625.0,53.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: imbalance_fix
table_extra: Weighted Loss
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
batch_size: 64
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: LSTM_20220217-1221
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\LSTM
