epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9816102385520935,0.5,0.4210869371891022,0.0,0.0,1.0,0.0,0.6705995202064514,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
1,0.9816102385520935,0.5,0.4227321743965149,0.0,0.0,1.0,0.0,0.6163241863250732,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
2,0.9816102385520935,0.5,0.4280078411102295,0.0,0.0,1.0,0.0,0.551923930644989,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
3,0.9816102385520935,0.5,0.4267122149467468,0.0,0.0,1.0,0.0,0.5147408246994019,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
4,0.9816102385520935,0.5,0.4293493628501892,0.0,0.0,1.0,0.0,0.5046358704566956,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
5,0.9816102385520935,0.5,0.43274015188217163,0.0,0.0,1.0,0.0,0.4980446994304657,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: imbalance_fix
table_extra: Undersampling
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
batch_size: 64
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 6350
run_name: LSTM_20220219-1134
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\LSTM
