epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9771249294281006,0.4977153241634369,0.4341248869895935,0.0,0.0,0.9954306483268738,0.0,0.6714102625846863,0.0,0.9815273710295112,0.0,20.0,4357.0,82.0
1,0.9816102385520935,0.5,0.42711204290390015,0.0,0.0,1.0,0.0,0.5959941148757935,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
2,0.9816102385520935,0.5,0.42908328771591187,0.0,0.0,1.0,0.0,0.5298606753349304,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
3,0.9816102385520935,0.5,0.42952629923820496,0.0,0.0,1.0,0.0,0.5123745799064636,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
4,0.9816102385520935,0.5,0.43114787340164185,0.0,0.0,1.0,0.0,0.5065304636955261,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
5,0.9816102385520935,0.5,0.43320125341415405,0.0,0.0,1.0,0.0,0.5006967782974243,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
6,0.9816102385520935,0.5,0.43613511323928833,0.0,0.0,1.0,0.0,0.4959440529346466,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: imbalance_fix
table_extra: Undersampling
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
batch_size: 64
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 6350
run_name: LSTM_20220219-1319
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\LSTM
