epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.690513551235199,0.45344147086143494,0.42211365699768066,0.012762762606143951,0.2073170691728592,0.6995658874511719,0.02404525876045227,0.0,0.012762762606143951,0.979213297367096,17.0,1315.0,3062.0,65.0,0.0
1,0.9816102385520935,0.5,0.5753662586212158,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,1.0
2,0.9816102385520935,0.5,0.5775338411331177,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,2.0
3,0.9816102385520935,0.5,0.6065965890884399,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,3.0
4,0.9816102385520935,0.5,0.6130716800689697,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,4.0
5,0.7537564635276794,0.5873718857765198,0.6230795979499817,0.03136531263589859,0.4146341383457184,0.7601096630096436,0.05831903591752052,0.0,0.03136531263589859,0.9857777953147888,34.0,1050.0,3327.0,48.0,5.0
6,0.7665395736694336,0.5819165706634521,0.6332687139511108,0.03128054738044739,0.39024388790130615,0.7735891938209534,0.05791855230927467,0.0,0.03128054738044739,0.9854481816291809,32.0,991.0,3386.0,50.0,6.0
7,0.698811411857605,0.6132346391677856,0.6488350629806519,0.03192279115319252,0.5243902206420898,0.7020790576934814,0.06018194183707237,0.0,0.03192279115319252,0.987467885017395,43.0,1304.0,3073.0,39.0,7.0
8,0.8999775648117065,0.5421856045722961,0.6541985273361206,0.0357142873108387,0.17073170840740204,0.913639485836029,0.05907173082232475,0.0,0.0357142873108387,0.9832800626754761,14.0,378.0,3999.0,68.0,8.0
9,0.7380578517913818,0.615275502204895,0.647979736328125,0.03430531546473503,0.4878048896789551,0.7427461743354797,0.06410256028175354,0.0,0.03430531546473503,0.9872456789016724,40.0,1126.0,3251.0,42.0,9.0
10,0.834267795085907,0.5446151494979858,0.6392199993133545,0.028694404289126396,0.24390244483947754,0.8453278541564941,0.05134788528084755,0.0,0.028694404289126396,0.9835193753242493,20.0,677.0,3700.0,62.0,10.0
11,0.7151827812194824,0.6096070408821106,0.6459235548973083,0.032283466309309006,0.5,0.7192140817642212,0.060650888830423355,0.0,0.032283466309309006,0.9871432781219482,41.0,1229.0,3148.0,41.0,11.0
12,0.6997084617614746,0.5777915716171265,0.6564106941223145,0.027798647060990334,0.45121949911117554,0.7043637037277222,0.052370842546224594,0.0,0.027798647060990334,0.9856138229370117,37.0,1294.0,3083.0,45.0,12.0
13,0.7620542645454407,0.5616819262504578,0.6133168339729309,0.027965284883975983,0.353658527135849,0.7697052955627441,0.05183199420571327,0.0,0.027965284883975983,0.9845119714736938,29.0,1008.0,3369.0,53.0,13.0
14,0.7954698204994202,0.5547693967819214,0.6245200634002686,0.028409091755747795,0.3048780560493469,0.8046607375144958,0.051975052803754807,0.0,0.028409091755747795,0.9840737581253052,25.0,855.0,3522.0,57.0,14.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: compare_token_len
table_extra: 256
dataset: SCAR
debug: False
load_ckpt: 
lr: 0.0001
weight_decay: 0
max_tokens: 256
batch_size: 1
attention_window: 512
pretrained_dir: 
pretrained_file: allenai/longformer-base-4096
device: cuda:0
run_name: Longformer_20220224-1348
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\Longformer
