epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.01838977262377739,0.5,0.4926598072052002,0.01838977262377739,1.0,0.0,0.036115389317274094,0.0,0.01838977262377739,0.0,82.0,4377.0,0.0,0.0,0.0
1,0.9816102385520935,0.5,0.540249228477478,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,1.0
2,0.9816102385520935,0.5,0.5999320149421692,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,2.0
3,0.9816102385520935,0.5,0.6167522072792053,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,3.0
4,0.705539345741272,0.5448617339134216,0.5915191173553467,0.023975251242518425,0.37804877758026123,0.711674690246582,0.04509091004729271,0.0,0.023975251242518425,0.9838913679122925,31.0,1262.0,3115.0,51.0,4.0
5,0.9791433215141296,0.4987434446811676,0.6239489316940308,0.0,0.0,0.9974868893623352,0.0,0.0,0.0,0.9815647602081299,0.0,11.0,4366.0,82.0,5.0
6,0.8555729985237122,0.5794006586074829,0.6394595503807068,0.03934426233172417,0.2926829159259796,0.8661183714866638,0.06936416774988174,0.0,0.03934426233172417,0.9849311709403992,24.0,586.0,3791.0,58.0,6.0
7,0.6070867776870728,0.6024131178855896,0.6497628688812256,0.027714932337403297,0.5975610017776489,0.6072652339935303,0.05297297611832619,0.0,0.027714932337403297,0.9877368807792664,49.0,1719.0,2658.0,33.0,7.0
8,0.722583532333374,0.619360089302063,0.6582050323486328,0.033898305147886276,0.5121951103210449,0.7265250086784363,0.06358819454908371,0.0,0.033898305147886276,0.9875776171684265,42.0,1197.0,3180.0,40.0,8.0
9,0.7046422958374023,0.6162047386169434,0.6600216627120972,0.03255109861493111,0.5243902206420898,0.7080191969871521,0.0612972192466259,0.0,0.03255109861493111,0.9875717163085938,43.0,1278.0,3099.0,39.0,9.0
10,0.698811411857605,0.5773346424102783,0.6486595869064331,0.027715355157852173,0.45121949911117554,0.7034498453140259,0.05222300440073013,0.0,0.027715355157852173,0.9855954051017761,37.0,1298.0,3079.0,45.0,10.0
11,0.6638259887695312,0.5954142212867737,0.6479156613349915,0.028609447181224823,0.5243902206420898,0.6664382219314575,0.05425867438316345,0.0,0.028609447181224823,0.9868065118789673,43.0,1460.0,2917.0,39.0,11.0
12,0.8670105338096619,0.6031765341758728,0.6541873216629028,0.047787610441446304,0.32926830649375916,0.8770847320556641,0.08346214145421982,0.0,0.047787610441446304,0.9858757257461548,27.0,538.0,3839.0,55.0,12.0
13,0.5972191095352173,0.5914034843444824,0.6217561960220337,0.02651933766901493,0.5853658318519592,0.5974411964416504,0.05073995515704155,0.0,0.02651933766901493,0.9871649742126465,48.0,1762.0,2615.0,34.0,13.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: compare_token_len
table_extra: 512
dataset: SCAR
debug: False
load_ckpt: 
lr: 0.0001
weight_decay: 0
max_tokens: 512
batch_size: 1
attention_window: 512
pretrained_dir: 
pretrained_file: allenai/longformer-base-4096
device: cuda:0
run_name: Longformer_20220224-1805
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\Longformer
