epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.9816102385520935,0.5,0.5229748487472534,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,0.0
1,0.9816102385520935,0.5,0.547203540802002,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,1.0
2,0.9816102385520935,0.5,0.6073362827301025,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,2.0
3,0.9816102385520935,0.5,0.6225446462631226,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,3.0
4,0.9816102385520935,0.5,0.644692063331604,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,4.0
5,0.6822157502174377,0.6227313280105591,0.6521450877189636,0.03223545849323273,0.5609756112098694,0.6844871044158936,0.06096752732992172,0.0,0.03223545849323273,0.9881266355514526,46.0,1381.0,2996.0,36.0,5.0
6,0.6949988603591919,0.6292426586151123,0.6650813817977905,0.033576641231775284,0.5609756112098694,0.6975097060203552,0.06336087733507156,0.0,0.033576641231775284,0.988345742225647,46.0,1324.0,3053.0,36.0,6.0
7,0.6936532855033875,0.6405239105224609,0.6745014190673828,0.03478260710835457,0.5853658318519592,0.6956819891929626,0.06566347181797028,0.0,0.03478260710835457,0.9889574646949768,48.0,1332.0,3045.0,34.0,7.0
8,0.6961202025413513,0.617847204208374,0.6704753637313843,0.032329168170690536,0.5365853905677795,0.6991089582443237,0.060984063893556595,0.0,0.032329168170690536,0.9877340197563171,44.0,1317.0,3060.0,38.0,8.0
9,0.6992599368095398,0.6373964548110962,0.6990867257118225,0.03473762050271034,0.5731707215309143,0.7016221284866333,0.06550522148609161,0.0,0.03473762050271034,0.9887315034866333,47.0,1306.0,3071.0,35.0,9.0
10,0.6920834183692932,0.6397242546081543,0.6904132962226868,0.034607063978910446,0.5853658318519592,0.6940826773643494,0.06535057723522186,0.0,0.034607063978910446,0.9889323115348816,48.0,1339.0,3038.0,34.0,10.0
11,0.6344471573829651,0.6462662220001221,0.6922048330307007,0.032608695328235626,0.6585366129875183,0.6339958906173706,0.06214039400219917,0.0,0.032608695328235626,0.990010678768158,54.0,1602.0,2775.0,28.0,11.0
12,0.7035209536552429,0.6335835456848145,0.7065759897232056,0.03453453630208969,0.5609756112098694,0.7061914801597595,0.06506365537643433,0.0,0.03453453630208969,0.9884873628616333,46.0,1286.0,3091.0,36.0,12.0
13,0.5476564168930054,0.62599116563797,0.6908034086227417,0.028278889134526253,0.707317054271698,0.5446652770042419,0.054383497685194016,0.0,0.028278889134526253,0.9900332093238831,58.0,1993.0,2384.0,24.0,13.0
14,0.7916573286056519,0.6246273517608643,0.6897279024124146,0.0401737242937088,0.45121949911117554,0.798035204410553,0.0737786665558815,0.0,0.0401737242937088,0.9872809648513794,37.0,884.0,3493.0,45.0,14.0
15,0.5772594809532166,0.6410700082778931,0.7052831649780273,0.03022407554090023,0.707317054271698,0.5748229622840881,0.05797101557254791,0.0,0.03022407554090023,0.9905511736869812,58.0,1861.0,2516.0,24.0,15.0
16,0.7304328083992004,0.6413081884384155,0.7121567130088806,0.03719008341431618,0.5487805008888245,0.7338359355926514,0.06965944916009903,0.0,0.03719008341431618,0.9886118769645691,45.0,1165.0,3212.0,37.0,16.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: compare_token_len
table_extra: 1024
dataset: SCAR
debug: False
load_ckpt: 
lr: 0.0001
weight_decay: 0
max_tokens: 1024
batch_size: 1
attention_window: 512
pretrained_dir: 
pretrained_file: allenai/longformer-base-4096
device: cuda:0
run_name: Longformer_20220224-2207
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\Longformer
