epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.01838977262377739,0.5,0.43954402208328247,0.01838977262377739,1.0,0.0,0.036115389317274094,0.0,0.01838977262377739,0.0,82.0,4377.0,0.0,0.0,0.0
1,0.9816102385520935,0.5,0.5748201608657837,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,1.0
2,0.9816102385520935,0.5,0.5838975310325623,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,2.0
3,0.9816102385520935,0.5,0.597867488861084,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,3.0
4,0.9558196663856506,0.5227631330490112,0.6082655191421509,0.04724409431219101,0.0731707289814949,0.9723554849624634,0.057416267693042755,0.0,0.04724409431219101,0.9824561476707458,6.0,121.0,4256.0,76.0,4.0
5,0.8589369654655457,0.5930807590484619,0.6150693893432617,0.043405674397945404,0.31707316637039185,0.8690884113311768,0.07635829597711563,0.0,0.043405674397945404,0.9854922294616699,26.0,573.0,3804.0,56.0,5.0
6,0.7479255199432373,0.6023517847061157,0.6535632610321045,0.03315412253141403,0.45121949911117554,0.7534841299057007,0.06176961958408356,0.0,0.03315412253141403,0.9865390658378601,37.0,1079.0,3298.0,45.0,6.0
7,0.7782014012336731,0.6117900013923645,0.6382225155830383,0.036772217601537704,0.4390243887901306,0.7845556139945984,0.06786051392555237,0.0,0.036772217601537704,0.9867815971374512,36.0,943.0,3434.0,46.0,7.0
8,0.5727741718292236,0.5909187197685242,0.6294878721237183,0.026001039892435074,0.6097561120986938,0.5720813274383545,0.04987531155347824,0.0,0.026001039892435074,0.9873816967010498,50.0,1873.0,2504.0,32.0,8.0
9,0.7201166152954102,0.6001535058021545,0.6200092434883118,0.03135048225522041,0.47560974955558777,0.7246972918510437,0.05882352963089943,0.0,0.03135048225522041,0.9866251945495605,39.0,1205.0,3172.0,43.0,9.0
10,0.7423189282417297,0.6114626526832581,0.6554856896400452,0.03406113386154175,0.47560974955558777,0.747315526008606,0.06356967985630035,0.0,0.03406113386154175,0.98702472448349,39.0,1106.0,3271.0,43.0,10.0
11,0.8075801730155945,0.5848712921142578,0.6602779626846313,0.03477218374609947,0.353658527135849,0.816084086894989,0.06331878155469894,0.0,0.03477218374609947,0.9853793382644653,29.0,805.0,3572.0,53.0,11.0
12,0.5593182444572449,0.6139813661575317,0.6563466191291809,0.02759658731520176,0.6707317233085632,0.5572310090065002,0.05301204323768616,0.0,0.02759658731520176,0.989051103591919,55.0,1938.0,2439.0,27.0,12.0
13,0.5137923359870911,0.6027585864067078,0.6400585770606995,0.025909090414643288,0.6951219439506531,0.5103952288627625,0.04995618015527725,0.0,0.025909090414643288,0.9889331459999084,57.0,2143.0,2234.0,25.0,13.0
14,0.4444942772388458,0.591393768787384,0.6578149795532227,0.024235200136899948,0.7439024448394775,0.4388850927352905,0.046941131353378296,0.0,0.024235200136899948,0.9891864061355591,61.0,2456.0,1921.0,21.0,14.0
15,0.6158331632614136,0.5949015617370605,0.6251386404037476,0.027246376499533653,0.5731707215309143,0.6166324019432068,0.05201992392539978,0.0,0.027246376499533653,0.9871982336044312,47.0,1678.0,2699.0,35.0,15.0
16,0.36196455359458923,0.5613224506378174,0.6258643865585327,0.021806852892041206,0.7682926654815674,0.35435229539871216,0.04240996018052101,0.0,0.021806852892041206,0.9878981113433838,63.0,2826.0,1551.0,19.0,16.0
17,0.6586678624153137,0.6047534942626953,0.6334609985351562,0.029411764815449715,0.5487805008888245,0.6607265472412109,0.05583126097917557,0.0,0.029411764815449715,0.9873676896095276,45.0,1485.0,2892.0,37.0,17.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: compare_token_len
table_extra: 4096
dataset: SCAR
debug: False
load_ckpt: 
lr: 0.0001
weight_decay: 0
max_tokens: 4096
batch_size: 1
attention_window: 512
pretrained_dir: 
pretrained_file: allenai/longformer-base-4096
device: cuda:0
run_name: Longformer_20220225-0509
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\Longformer
