epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.01838977262377739,0.5,0.5458327531814575,0.01838977262377739,1.0,0.0,0.036115389317274094,0.0,0.01838977262377739,0.0,82.0,4377.0,0.0,0.0,0.0
1,0.01838977262377739,0.5,0.5526630282402039,0.01838977262377739,1.0,0.0,0.036115389317274094,0.0,0.01838977262377739,0.0,82.0,4377.0,0.0,0.0,1.0
2,0.8802422285079956,0.5081997513771057,0.5451068878173828,0.02118644118309021,0.12195122241973877,0.8944482803344727,0.036101084202528,0.0,0.02118644118309021,0.981941282749176,10.0,462.0,3915.0,72.0,2.0
3,0.9816102385520935,0.5,0.5684607028961182,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,3.0
4,0.9816102385520935,0.5,0.5644680857658386,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,4.0
5,0.9816102385520935,0.5,0.6001130938529968,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,5.0
6,0.9816102385520935,0.5,0.5985333323478699,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,6.0
7,0.9816102385520935,0.5,0.6056185960769653,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,7.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: compare_token_len
table_extra: 1024
dataset: SCAR
debug: False
load_ckpt: 
lr: 1e-05
weight_decay: 0
max_tokens: 1024
batch_size: 1
attention_window: 512
pretrained_dir: 
pretrained_file: allenai/longformer-base-4096
device: cuda:0
run_name: Longformer_20220226-0328
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\Longformer
