epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.01838977262377739,0.5,0.4337640702724457,0.01838977262377739,1.0,0.0,0.036115389317274094,0.0,0.01838977262377739,0.0,82.0,4377.0,0.0,0.0,0.0
1,0.7790984511375427,0.5703636407852173,0.5866864919662476,0.03017689846456051,0.353658527135849,0.787068784236908,0.05560882017016411,0.0,0.03017689846456051,0.9848484992980957,29.0,932.0,3445.0,53.0,1.0
2,0.6994841694831848,0.6075940132141113,0.6309310793876648,0.03129657357931137,0.5121951103210449,0.7029929161071777,0.058988768607378006,0.0,0.03129657357931137,0.9871671199798584,42.0,1300.0,3077.0,40.0,2.0
3,0.8504148721694946,0.5947232842445374,0.62462317943573,0.0422535203397274,0.32926830649375916,0.8601782321929932,0.07489597797393799,0.0,0.0422535203397274,0.985602080821991,27.0,612.0,3765.0,55.0,3.0
4,0.864543616771698,0.5779866576194763,0.6516658663749695,0.0404929593205452,0.2804878056049347,0.8754854798316956,0.07076923549175262,0.0,0.0404929593205452,0.9848368167877197,23.0,545.0,3832.0,59.0,4.0
5,0.7708006501197815,0.6140036582946777,0.6558172702789307,0.036489151418209076,0.45121949911117554,0.7767877578735352,0.06751824915409088,0.0,0.036489151418209076,0.9869375824928284,37.0,977.0,3400.0,45.0,5.0
6,0.7725947499275208,0.5969675183296204,0.6602919101715088,0.03400000184774399,0.4146341383457184,0.7793008685112,0.0628465786576271,0.0,0.03400000184774399,0.9861231446266174,34.0,966.0,3411.0,48.0,6.0
7,0.4615384638309479,0.5881088972091675,0.6250801086425781,0.024210093542933464,0.7195122241973877,0.4567055106163025,0.046843983232975006,0.0,0.024210093542933464,0.9886251091957092,59.0,2378.0,1999.0,23.0,7.0
8,0.481722354888916,0.6043732166290283,0.6274901628494263,0.025542784482240677,0.7317073345184326,0.47703906893730164,0.04936240240931511,0.0,0.025542784482240677,0.9895734786987305,60.0,2289.0,2088.0,22.0,8.0
9,0.7068849802017212,0.5874304175376892,0.6295268535614014,0.02920830063521862,0.46341463923454285,0.711446225643158,0.05495300143957138,0.0,0.02920830063521862,0.9860671162605286,38.0,1263.0,3114.0,44.0,9.0
10,0.8526575565338135,0.577915608882904,0.6250995993614197,0.03852327540516853,0.2926829159259796,0.8631482720375061,0.06808510422706604,0.0,0.03852327540516853,0.9848800897598267,24.0,599.0,3778.0,58.0,10.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: compare_token_len
table_extra: 512
dataset: SCAR
debug: False
load_ckpt: 
lr: 0.001
weight_decay: 0
max_tokens: 512
batch_size: 1
attention_window: 512
pretrained_dir: 
pretrained_file: allenai/longformer-base-4096
device: cuda:0
run_name: Longformer_20220227-0306
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\Longformer
