epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.01838977262377739,0.5,0.45185476541519165,0.01838977262377739,1.0,0.0,0.036115389317274094,0.0,0.01838977262377739,0.0,82.0,4377.0,0.0,0.0,0.0
1,0.9816102385520935,0.5,0.6140022277832031,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,1.0
2,0.9813859462738037,0.49988576769828796,0.6178833246231079,0.0,0.0,0.9997715353965759,0.0,0.0,0.0,0.981606125831604,0.0,1.0,4376.0,82.0,2.0
3,0.9804888963699341,0.5054121613502502,0.6183681488037109,0.1428571492433548,0.012195121496915817,0.9986292123794556,0.02247190847992897,0.0,0.1428571492433548,0.9818059206008911,1.0,6.0,4371.0,81.0,3.0
4,0.8663377165794373,0.5729172229766846,0.6483169198036194,0.0394265241920948,0.26829269528388977,0.877541720867157,0.06874999403953552,0.0,0.0394265241920948,0.9846193194389343,22.0,536.0,3841.0,60.0,4.0
5,0.9017717242240906,0.5550661087036133,0.6710354089736938,0.04123711213469505,0.19512194395065308,0.9150102734565735,0.06808510422706604,0.0,0.04123711213469505,0.9837877750396729,16.0,372.0,4005.0,66.0,5.0
6,0.6674142479896545,0.6331419348716736,0.6295881271362305,0.032688457518815994,0.5975610017776489,0.6687228679656982,0.061986085027456284,0.0,0.032688457518815994,0.9888513684272766,49.0,1450.0,2927.0,33.0,6.0
7,0.918367326259613,0.5515527129173279,0.6669564247131348,0.04516129195690155,0.17073170840740204,0.9323737621307373,0.0714285746216774,0.0,0.04516129195690155,0.9836105108261108,14.0,296.0,4081.0,68.0,7.0
8,0.9376541972160339,0.5374435186386108,0.6510891318321228,0.046296294778585434,0.12195122241973877,0.9529358148574829,0.06711409240961075,0.0,0.046296294778585434,0.9830308556556702,10.0,206.0,4171.0,72.0,8.0
9,0.9816102385520935,0.5,0.5054163336753845,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,9.0
10,0.9816102385520935,0.5,0.5358456373214722,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,10.0
11,0.9816102385520935,0.5,0.4908181428909302,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,11.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: compare_token_len
table_extra: 1024
dataset: SCAR
debug: False
load_ckpt: 
lr: 0.001
weight_decay: 0
max_tokens: 1024
batch_size: 1
attention_window: 512
pretrained_dir: 
pretrained_file: allenai/longformer-base-4096
device: cuda:0
run_name: Longformer_20220227-0613
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\Longformer
