epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.23166629672050476,0.5308527946472168,0.5519386529922485,0.019816197454929352,0.8414633870124817,0.22024217247962952,0.03872053697705269,0.0,0.019816197454929352,0.9866939783096313,69.0,3413.0,964.0,13.0,0.0
1,0.9816102385520935,0.5,0.6318477392196655,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,1.0
2,0.9816102385520935,0.5,0.6304796934127808,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,2.0
3,0.9816102385520935,0.5,0.6936591863632202,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,3.0
4,0.9816102385520935,0.5,0.6928150057792664,0.0,0.0,1.0,0.0,0.0,0.0,0.9816102385520935,0.0,0.0,4377.0,82.0,4.0
5,0.7234805822372437,0.6437503099441528,0.6944448947906494,0.03700723871588707,0.5609756112098694,0.7265250086784363,0.06943396478891373,0.0,0.03700723871588707,0.9888059496879578,46.0,1197.0,3180.0,36.0,5.0
6,0.9304776787757874,0.5696879625320435,0.7181748151779175,0.0615384615957737,0.19512194395065308,0.9442540407180786,0.09356725215911865,0.0,0.0615384615957737,0.9842819571495056,16.0,244.0,4133.0,66.0,6.0
7,0.9307019710540771,0.5877522230148315,0.6593362092971802,0.07169811427593231,0.23170731961727142,0.9437971115112305,0.10951009392738342,0.0,0.07169811427593231,0.9849785566329956,19.0,246.0,4131.0,63.0,7.0
8,0.7645211815834045,0.6287550926208496,0.6924945712089539,0.038167938590049744,0.4878048896789551,0.7697052955627441,0.07079645991325378,0.0,0.038167938590049744,0.9876868724822998,40.0,1008.0,3369.0,42.0,8.0
9,0.7999551296234131,0.6109039783477783,0.6930574178695679,0.038724374026060104,0.4146341383457184,0.8071738481521606,0.07083334028720856,0.0,0.038724374026060104,0.9865959286689758,34.0,844.0,3533.0,48.0,9.0
10,0.9185916185379028,0.5935502648353577,0.6860836148262024,0.06501547992229462,0.25609755516052246,0.9310029745101929,0.10370370000600815,0.0,0.06501547992229462,0.9852514266967773,21.0,302.0,4075.0,61.0,10.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60
table: compare_token_len
table_extra: 4096
dataset: SCAR
debug: False
load_ckpt: 
lr: 0.001
weight_decay: 0
max_tokens: 4096
batch_size: 1
attention_window: 512
pretrained_dir: 
pretrained_file: allenai/longformer-base-4096
device: cuda:0
run_name: Longformer_20220227-1257
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60\Longformer
