Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,BoW Classifier,BoW LR C,CNN Output Channels,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,BoW_20220205-1614,20220205-1615,bow_hyperparams,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,0.1,,,,,1000.0,0,1,,10,loss_weight,0.701726854,0.710452914,0.710452914,0.081491716,0.719512224,0.043191802,0.701393664,0.043191801,0.992563854,59.0,3070.0,1307.0,23.0,BoW & 0.71 & 0.71 & 0.08 & 0.72 & 0.7 \\,
,BoW_20220205-1615,20220205-1617,bow_hyperparams,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,1.0,,,,,1000.0,FALSE,1,,10,loss_weight,0.781116843,0.697041631,0.697041631,0.092936806,0.609756112,0.050301813,0.784327149,0.050301811,0.990764791,50.0,3433.0,944.0,32.0,BoW & 0.7 & 0.7 & 0.09 & 0.61 & 0.78 \\,
,BoW_20220205-1617,20220205-1618,bow_hyperparams,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,2.0,,,,,1000.0,FALSE,1,,10,loss_weight,0.795694113,0.680533528,0.680533469,0.091724828,0.560975611,0.049945712,0.800091386,0.049945711,0.98982476,46.0,3502.0,875.0,36.0,BoW & 0.68 & 0.68 & 0.09 & 0.56 & 0.8 \\,
,BoW_20220205-1630,20220205-1638,bow_hyperparams,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,0.1,,,,,5000.0,FALSE,1,,10,loss_weight,0.767436624,0.719990015,0.719990134,0.095902361,0.670731723,0.051643193,0.769248366,0.051643192,0.992044785,55.0,3367.0,1010.0,27.0,BoW & 0.72 & 0.72 & 0.1 & 0.67 & 0.77 \\,
,BoW_20220205-1640,20220205-1647,bow_hyperparams,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,FALSE,1,,10,loss_weight,0.803767681,0.732512534,0.732512593,0.109867752,0.658536613,0.059933409,0.806488454,0.059933407,0.99213041,54.0,3530.0,847.0,28.0,BoW & 0.73 & 0.73 & 0.11 & 0.66 & 0.81 \\,
,BoW_20220205-1647,20220205-1654,bow_hyperparams,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,0.3,,,,,5000.0,FALSE,1,,10,loss_weight,0.820363283,0.711049199,0.711049199,0.109010018,0.597561002,0.05997552,0.824537337,0.05997552,0.990939044,49.0,3609.0,768.0,33.0,BoW & 0.71 & 0.71 & 0.11 & 0.6 & 0.82 \\,
,BoW_20220205-1655,20220205-1702,bow_hyperparams,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,0.5,,,,,5000.0,FALSE,1,,10,loss_weight,0.846153855,0.682302713,0.682302713,0.109090917,0.51219511,0.061046511,0.852410316,0.061046512,0.989392734,42.0,3731.0,646.0,40.0,BoW & 0.68 & 0.68 & 0.11 & 0.51 & 0.85 \\,
,BoW_20220205-1703,20220205-1710,bow_hyperparams,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,1.0,,,,,5000.0,FALSE,1,,10,loss_weight,0.87306571,0.672077417,0.672077477,0.118380062,0.463414639,0.067857146,0.880740225,0.067857143,0.988715055,38.0,3855.0,522.0,44.0,BoW & 0.67 & 0.67 & 0.12 & 0.46 & 0.88 \\,
,BoW_20220205-1958,20220205-2005,,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,FALSE,1,,10,loss_weight,0.803767681,0.732512534,0.732512593,0.109867752,0.658536613,0.059933409,0.806488454,0.059933407,0.99213041,54.0,3530.0,847.0,28.0,BoW & 0.73 & 0.73 & 0.11 & 0.66 & 0.81 \\,
,CNN_20220205-2005,20220205-2057,,SCAR_NLP,CNN,dsplnic_PSYCHIATRY_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,FALSE,100,1e-05,10,loss_weight,0.820363283,0.705065846,0.770429671,0.107023418,0.585365832,0.058895707,0.824765801,0.058895706,0.990669594,48.0,3610.0,767.0,34.0,CNN & 0.71 & 0.77 & 0.11 & 0.59 & 0.82 \\,
,BoW_20220206-1229,20220206-1252,bow_hyperparams,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,0.1,,,,,10000.0,FALSE,1,,10,loss_weight,0.781116843,0.726958275,0.726958334,0.101289131,0.670731723,0.054780878,0.783184826,0.054780876,0.992185239,55.0,3428.0,949.0,27.0,BoW & 0.78 & 0.73 & 0.73 & 0.1 & 0.67 & 0.78 \\,
,BoW_20220206-1253,20220206-1316,bow_hyperparams,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,0.5,,,,,10000.0,FALSE,1,,10,loss_weight,0.870374501,0.694639921,0.694639921,0.126888216,0.51219511,0.072413795,0.877084732,0.072413793,0.989688064,42.0,3839.0,538.0,40.0,BoW & 0.87 & 0.69 & 0.69 & 0.13 & 0.51 & 0.88 \\,
,BoW_20220206-1318,20220206-1341,bow_hyperparams,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,0.01,,,,,10000.0,FALSE,1,,10,loss_weight,0.610899329,0.616321743,0.616321743,0.05552531,0.621951222,0.029059829,0.610692263,0.029059829,0.988535503,51.0,2673.0,1704.0,31.0,BoW & 0.61 & 0.62 & 0.62 & 0.06 & 0.62 & 0.61 \\,
,BoW_20220211-1302,20220211-1309,,SCAR_NLP,BoW,dsplnic_PSYCHIATRY_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,FALSE,1,,5,loss_weight,0.803767681,0.732512534,0.732512593,0.109867752,0.658536613,0.059933409,0.806488454,0.059933407,0.99213041,54.0,3530.0,847.0,28.0,BoW & 0.8 & 0.73 & 0.73 & 0.11 & 0.06 & 0.66 \\,
,CNN_20220211-1309,20220211-1329,,SCAR_NLP,CNN,dsplnic_PSYCHIATRY_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,FALSE,100,1e-05,5,loss_weight,0.741870403,0.659100771,0.686470866,0.075502001,0.573170722,0.040412724,0.74503082,0.040412726,0.989381068,47.0,3261.0,1116.0,35.0,CNN & 0.74 & 0.66 & 0.69 & 0.08 & 0.04 & 0.57 \\,
,LSTM_20220211-1329,20220211-1733,,SCAR_NLP,LSTM,dsplnic_PSYCHIATRY_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,2.0,128.0,False,,FALSE,100,1e-05,5,loss_weight,0.329446077,0.508858681,0.519611955,0.036726803,0.695121944,0.018861681,0.322595388,0.018861681,0.982602644,57.0,1412.0,2965.0,25.0,LSTM & 0.33 & 0.51 & 0.52 & 0.04 & 0.02 & 0.7 \\,
