epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.5597667694091797,0.602243185043335,0.6407133936882019,0.02667337656021118,0.6463414430618286,0.5581448674201965,0.0512324795126915,1.380109190940857,0.026673376950176145,0.9882686084142395,53.0,1934.0,2443.0,29.0
1,0.3581520617008209,0.577330470085144,0.6577675938606262,0.022664835676550865,0.8048780560493469,0.34978294372558594,0.044088173657655716,1.3749935626983643,0.022664835164835164,0.9896574014221073,66.0,2846.0,1531.0,16.0
2,0.4765642583370209,0.5897791385650635,0.662534773349762,0.024493243545293808,0.707317054271698,0.47224125266075134,0.04734693840146065,1.370604395866394,0.024493243243243243,0.9885222381635581,58.0,2310.0,2067.0,24.0
3,0.5860058069229126,0.6036418080329895,0.6637049317359924,0.027331190183758736,0.6219512224197388,0.5853323936462402,0.05236139893531799,1.3664872646331787,0.027331189710610933,0.9880447358272272,51.0,1815.0,2562.0,31.0
4,0.6431935429573059,0.6208047270774841,0.6631421446800232,0.030491599813103676,0.5975610017776489,0.6440484523773193,0.058022499084472656,1.3624180555343628,0.030491599253266957,0.988429172510519,49.0,1558.0,2819.0,33.0
5,0.6503700613975525,0.6244602203369141,0.6643568873405457,0.031111111864447594,0.5975610017776489,0.6513593792915344,0.059143029153347015,1.3585668802261353,0.03111111111111111,0.9885575589459085,49.0,1526.0,2851.0,33.0
6,0.6869252920150757,0.6191469430923462,0.6660314202308655,0.03205128386616707,0.5487805008888245,0.6895133852958679,0.0605652816593647,1.3549107313156128,0.03205128205128205,0.9878887070376432,45.0,1359.0,3018.0,37.0
7,0.7136129140853882,0.6267573833465576,0.6664688587188721,0.03429462015628815,0.5365853905677795,0.7169293761253357,0.0644688606262207,1.3513755798339844,0.034294621979735,0.9880352644836272,44.0,1239.0,3138.0,38.0
8,0.69903564453125,0.6253155469894409,0.6661596298217773,0.03333333507180214,0.5487805008888245,0.7018505930900574,0.06284916400909424,1.3475453853607178,0.03333333333333333,0.9880990672241878,45.0,1305.0,3072.0,37.0
9,0.7147342562675476,0.6333118677139282,0.6677058935165405,0.03515625,0.5487805008888245,0.7178432941436768,0.06607929617166519,1.3441270589828491,0.03515625,0.9883611198490091,45.0,1235.0,3142.0,37.0
10,0.7494953870773315,0.621101438999176,0.6682074069976807,0.035874441266059875,0.4878048896789551,0.754397988319397,0.06683375686407089,1.3418322801589966,0.03587443946188341,0.9874401913875598,40.0,1075.0,3302.0,42.0
11,0.729087233543396,0.6226727962493896,0.6691964864730835,0.03471074253320694,0.5121951103210449,0.7331505417823792,0.06501547247171402,1.3378502130508423,0.03471074380165289,0.9876885195444752,42.0,1168.0,3209.0,40.0
12,0.7539806962013245,0.6233861446380615,0.6700073480606079,0.03652967885136604,0.4878048896789551,0.7589673399925232,0.067969411611557,1.3356839418411255,0.0365296803652968,0.9875148632580262,40.0,1055.0,3322.0,42.0
13,0.761157214641571,0.6270415782928467,0.6705143451690674,0.037629351019859314,0.4878048896789551,0.7662782669067383,0.06986899673938751,1.3331246376037598,0.03762935089369708,0.9876325088339223,40.0,1023.0,3354.0,42.0
14,0.7889661192893982,0.6292398571968079,0.6718823909759521,0.04064171016216278,0.46341463923454285,0.7950651049613953,0.07472959905862808,1.3319109678268433,0.040641711229946524,0.9875141884222475,38.0,897.0,3480.0,44.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_12000
table: compare_n
table_extra: 12000
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 14584
run_name: CNN_20220216-1243
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_12000
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_12000\CNN
