epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.2742767333984375,0.54657381772995,0.6244114637374878,0.020668692886829376,0.8292682766914368,0.26387935876846313,0.04033214598894119,1.3777379989624023,0.02066869300911854,0.9880239520958084,68.0,3222.0,1155.0,14.0
1,0.32137250900268555,0.5705628395080566,0.6440191864967346,0.02207792177796364,0.8292682766914368,0.3118574321269989,0.04301075264811516,1.3721332550048828,0.02207792207792208,0.9898477157360406,68.0,3012.0,1365.0,14.0
2,0.5122224688529968,0.5840089917182922,0.654190182685852,0.024534301832318306,0.6585366129875183,0.5094813704490662,0.04730617627501488,1.366408348083496,0.02453430258973194,0.9875996457041629,54.0,2147.0,2230.0,28.0
3,0.5357703566551208,0.5900201797485352,0.6599102020263672,0.02531041018664837,0.6463414430618286,0.5336988568305969,0.048713237047195435,1.3609545230865479,0.025310410697230182,0.9877378435517971,53.0,2041.0,2336.0,29.0
4,0.5862300992012024,0.5977727174758911,0.662345290184021,0.026838432997465134,0.6097561120986938,0.5857893824577332,0.0514138825237751,1.3560841083526611,0.026838432635534086,0.987673343605547,50.0,1813.0,2564.0,32.0
5,0.5978919267654419,0.5917462110519409,0.6641925573348999,0.026563365012407303,0.5853658318519592,0.5981265902519226,0.05082054063677788,1.3508867025375366,0.026563364692861097,0.9871794871794872,48.0,1759.0,2618.0,34.0
6,0.6046198606491089,0.589189887046814,0.664153516292572,0.026478873565793037,0.5731707215309143,0.6052090525627136,0.050619278103113174,1.3461359739303589,0.02647887323943662,0.9869597615499255,47.0,1728.0,2649.0,35.0
7,0.6573222875595093,0.6100513935089111,0.6671500205993652,0.02990897186100483,0.5609756112098694,0.6591272354125977,0.056790124624967575,1.3419517278671265,0.02990897269180754,0.9876754536117768,46.0,1492.0,2885.0,36.0
8,0.6779546737670898,0.620560884475708,0.6678953766822815,0.031811896711587906,0.5609756112098694,0.6801462173461914,0.060209427028894424,1.337893009185791,0.0318118948824343,0.9880517756388981,46.0,1400.0,2977.0,36.0
9,0.6918591856956482,0.6276434063911438,0.6692354679107666,0.033236995339393616,0.5609756112098694,0.6943112015724182,0.06275580078363419,1.3339146375656128,0.033236994219653176,0.9882926829268293,46.0,1338.0,3039.0,36.0
10,0.690289318561554,0.6268437504768372,0.6717013120651245,0.033069733530282974,0.5609756112098694,0.6927118897438049,0.06245756894350052,1.3294848203659058,0.03306973400431344,0.9882659713168188,46.0,1345.0,3032.0,36.0
11,0.7122673392295837,0.6320552825927734,0.6728882193565369,0.03485669940710068,0.5487805008888245,0.7153301239013672,0.06554988771677017,1.3267756700515747,0.034856700232378,0.9883207070707071,45.0,1246.0,3131.0,37.0
12,0.7254989743232727,0.6387951374053955,0.675002932548523,0.036525972187519073,0.5487805008888245,0.7288097143173218,0.06849315017461777,1.3235136270523071,0.036525974025974024,0.9885342423303378,45.0,1187.0,3190.0,37.0
13,0.7216864824295044,0.6428364515304565,0.6763096451759338,0.03677058219909668,0.5609756112098694,0.7246972918510437,0.06901725381612778,1.3198397159576416,0.03677058353317346,0.9887780548628429,46.0,1205.0,3172.0,36.0
14,0.7367122769355774,0.6445068120956421,0.6778197288513184,0.03807106614112854,0.5487805008888245,0.7402330636978149,0.07120253145694733,1.316866397857666,0.03807106598984772,0.9887091852303936,45.0,1137.0,3240.0,37.0
15,0.7669880986213684,0.6479616165161133,0.6793577671051025,0.041227228939533234,0.5243902206420898,0.7715330123901367,0.07644444704055786,1.3154691457748413,0.04122722914669223,0.9885831381733021,43.0,1000.0,3377.0,39.0
16,0.7768558263778687,0.6470046043395996,0.6814056038856506,0.042126379907131195,0.5121951103210449,0.7818140387535095,0.0778498649597168,1.3128697872161865,0.04212637913741224,0.9884459849797804,42.0,955.0,3422.0,40.0
17,0.7660910487174988,0.6475046873092651,0.6825687885284424,0.041069723665714264,0.5243902206420898,0.7706191539764404,0.07617360353469849,1.3087748289108276,0.041069723018147083,0.988569753810082,43.0,1004.0,3373.0,39.0
18,0.7790984511375427,0.6481468677520752,0.68406081199646,0.042553190141916275,0.5121951103210449,0.7840986847877502,0.07857810705900192,1.3072295188903809,0.0425531914893617,0.988479262672811,42.0,945.0,3432.0,40.0
19,0.7820138931274414,0.6496319770812988,0.686186671257019,0.04312115162611008,0.5121951103210449,0.787068784236908,0.07954546064138412,1.3044112920761108,0.043121149897330596,0.9885222381635581,42.0,932.0,3445.0,40.0
20,0.8008521795272827,0.6592275500297546,0.6883236169815063,0.047191012650728226,0.5121951103210449,0.8062599897384644,0.08641975373029709,1.303593635559082,0.04719101123595506,0.988792378817596,42.0,848.0,3529.0,40.0
21,0.8183448910713196,0.6501877903938293,0.6898114681243896,0.04838709533214569,0.47560974955558777,0.8247658014297485,0.0878378376364708,1.3034567832946777,0.04838709677419355,0.9882288529975363,39.0,767.0,3610.0,43.0
22,0.8244000673294067,0.6532720923423767,0.6917339563369751,0.05006418377161026,0.47560974955558777,0.8309344053268433,0.09059233218431473,1.3014894723892212,0.05006418485237484,0.9883152173913043,39.0,740.0,3637.0,43.0
23,0.8250728845596313,0.6536148190498352,0.693219006061554,0.05025773122906685,0.47560974955558777,0.8316198587417603,0.09090909361839294,1.299007773399353,0.05025773195876289,0.9883247352701602,39.0,737.0,3640.0,43.0
24,0.8396501541137695,0.6610399484634399,0.6954368352890015,0.05485232174396515,0.47560974955558777,0.8464701771736145,0.09836065769195557,1.2987842559814453,0.05485232067510549,0.9885272145144077,39.0,672.0,3705.0,43.0
25,0.8551244735717773,0.6449887752532959,0.6972087621688843,0.05520504713058472,0.4268292784690857,0.8631482720375061,0.09776536375284195,1.3006428480148315,0.055205047318611984,0.9877124183006536,35.0,599.0,3778.0,47.0
26,0.858039915561676,0.6464738249778748,0.6988164186477661,0.05636070668697357,0.4268292784690857,0.8661183714866638,0.09957324713468552,1.2992727756500244,0.05636070853462158,0.9877540385617509,35.0,586.0,3791.0,47.0
27,0.8607311248779297,0.6538279056549072,0.7002540826797485,0.05891980230808258,0.4390243887901306,0.8686314821243286,0.10389610379934311,1.2976986169815063,0.058919803600654665,0.988045738045738,36.0,575.0,3802.0,46.0
28,0.8582642078399658,0.6525713801383972,0.7024050354957581,0.057877812534570694,0.4390243887901306,0.8661183714866638,0.10227272659540176,1.2945891618728638,0.05787781350482315,0.9880114672921553,36.0,586.0,3791.0,46.0
29,0.8647679090499878,0.6558841466903687,0.7042856812477112,0.06070826202630997,0.4390243887901306,0.8727439045906067,0.10666666179895401,1.294311761856079,0.06070826306913996,0.9881013967925505,36.0,557.0,3820.0,46.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_15000
table: compare_n
table_extra: 15000
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 15996
run_name: CNN_20220215-2031
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_15000
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_15000\CNN
