epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.5041489005088806,0.5559632778167725,0.5990933775901794,0.02243158407509327,0.6097561120986938,0.5021704435348511,0.04327131062746048,1.3797879219055176,0.02243158366980709,0.9856502242152466,50.0,2179.0,2198.0,32.0
1,0.6225610971450806,0.5863618850708008,0.639413595199585,0.02661147341132164,0.5487805008888245,0.6239433288574219,0.050761427730321884,1.3752907514572144,0.026611472501478415,0.9866329479768786,45.0,1646.0,2731.0,37.0
2,0.729087233543396,0.6047228574752808,0.6528067588806152,0.032392024993896484,0.47560974955558777,0.7338359355926514,0.06065318360924721,1.3707395792007446,0.03239202657807309,0.98678955453149,39.0,1165.0,3212.0,43.0
3,0.7503924369812012,0.6215583682060242,0.6576310396194458,0.03600360080599785,0.4878048896789551,0.7553118467330933,0.06705784052610397,1.366030216217041,0.036003600360036005,0.9874551971326165,40.0,1071.0,3306.0,42.0
4,0.735366702079773,0.6318546533584595,0.659788966178894,0.03631756827235222,0.5243902206420898,0.7393191456794739,0.06793048977851868,1.3615622520446777,0.036317567567567564,0.9880916030534351,43.0,1141.0,3236.0,39.0
5,0.744113028049469,0.6243431568145752,0.6624400615692139,0.03593339025974274,0.5,0.7486863136291504,0.06704824417829514,1.3574905395507812,0.03593339176161262,0.9876431585292345,41.0,1100.0,3277.0,41.0
6,0.7665395736694336,0.6357665061950684,0.6629694104194641,0.03938520699739456,0.5,0.7715330123901367,0.07301869988441467,1.3541717529296875,0.0393852065321806,0.9880046811000586,41.0,1000.0,3377.0,41.0
7,0.7797712683677673,0.6365229487419128,0.6642705202102661,0.040816325694322586,0.4878048896789551,0.7852410078048706,0.07532956451177597,1.3505715131759644,0.04081632653061224,0.9879275653923542,40.0,940.0,3437.0,42.0
8,0.7799955010414124,0.6366372108459473,0.6658892631530762,0.04085801914334297,0.4878048896789551,0.7854694724082947,0.07540056109428406,1.3470749855041504,0.04085801838610827,0.9879310344827587,40.0,939.0,3438.0,42.0
9,0.7947970628738403,0.6441766023635864,0.6674384474754333,0.0438116118311882,0.4878048896789551,0.8005483150482178,0.08040201663970947,1.3442331552505493,0.04381161007667032,0.988155668358714,40.0,873.0,3504.0,42.0
10,0.8080286979675293,0.6449330449104309,0.6686114072799683,0.04577464610338211,0.47560974955558777,0.8142563104629517,0.08351176977157593,1.3416613340377808,0.045774647887323945,0.9880787357915165,39.0,813.0,3564.0,43.0
11,0.7932271957397461,0.6433769464492798,0.6709295511245728,0.043478261679410934,0.4878048896789551,0.7989490628242493,0.07984032481908798,1.3372957706451416,0.043478260869565216,0.9881322407459734,40.0,880.0,3497.0,42.0
12,0.8111684322357178,0.6405490040779114,0.672357439994812,0.04545454680919647,0.46341463923454285,0.8176833391189575,0.08278867602348328,1.3352482318878174,0.045454545454545456,0.9878553684791609,38.0,798.0,3579.0,44.0
13,0.8138595819473267,0.6419197916984558,0.6739163398742676,0.046116504818201065,0.46341463923454285,0.8204249739646912,0.08388520777225494,1.332503318786621,0.04611650485436893,0.9878954607977992,38.0,786.0,3591.0,44.0
14,0.81744784116745,0.6377642154693604,0.6750921010971069,0.0459057055413723,0.45121949911117554,0.8243088722229004,0.0833333283662796,1.3300920724868774,0.04590570719602978,0.9876813577881194,37.0,769.0,3608.0,45.0
15,0.8331464529037476,0.6337938904762268,0.676866888999939,0.04781420901417732,0.4268292784690857,0.8407585024833679,0.08599508553743362,1.3288301229476929,0.04781420765027322,0.9873893211698417,35.0,697.0,3680.0,47.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_15000
table: compare_n
table_extra: 15000
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 15996
run_name: CNN_20220216-1256
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_15000
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_15000\CNN
