epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.4503251910209656,0.5524805784225464,0.615398108959198,0.021800564602017403,0.6585366129875183,0.4464244842529297,0.042203985154628754,1.3947468996047974,0.021800565199838515,0.9858728557013118,54.0,2423.0,1954.0,28.0
1,0.5521417260169983,0.5863925218582153,0.6406576037406921,0.02528507634997368,0.6219512224197388,0.5508338809013367,0.04859456792473793,1.388145923614502,0.02528507684680218,0.9873054873054873,51.0,1966.0,2411.0,31.0
2,0.6272706985473633,0.5947441458702087,0.6505681276321411,0.02751196175813675,0.5609756112098694,0.6285126805305481,0.052451539784669876,1.3821760416030884,0.02751196172248804,0.9870828848223897,46.0,1626.0,2751.0,36.0
3,0.6777304410934448,0.6084800362586975,0.6557964086532593,0.030492030084133148,0.5365853905677795,0.6803746819496155,0.05770491808652878,1.375820517539978,0.030492030492030493,0.9874005305039788,44.0,1399.0,2978.0,38.0
4,0.7028481960296631,0.6212742328643799,0.6586034297943115,0.03305784985423088,0.5365853905677795,0.7059630155563354,0.062278833240270615,1.370134711265564,0.03305785123966942,0.9878516624040921,44.0,1287.0,3090.0,38.0
5,0.7187710404396057,0.6353681087493896,0.6616988778114319,0.03565768525004387,0.5487805008888245,0.7219556570053101,0.0669642835855484,1.3645198345184326,0.03565768621236133,0.9884266499843604,45.0,1217.0,3160.0,37.0
6,0.7086790800094604,0.6302275657653809,0.664432168006897,0.034429993480443954,0.5487805008888245,0.711674690246582,0.06479481607675552,1.3584134578704834,0.03442999234889059,0.988261421319797,45.0,1262.0,3115.0,37.0
7,0.7539806962013245,0.6413360834121704,0.6663880348205566,0.03905540332198143,0.5243902206420898,0.758281946182251,0.07269652932882309,1.3547263145446777,0.03905540417801998,0.9883859440142942,43.0,1058.0,3319.0,39.0
8,0.7450100779533386,0.642750084400177,0.6683216094970703,0.03849518671631813,0.5365853905677795,0.7489147782325745,0.07183673232793808,1.349238634109497,0.03849518810148731,0.98854041013269,44.0,1099.0,3278.0,38.0
9,0.7602601647377014,0.6445345878601074,0.6705338954925537,0.040074557065963745,0.5243902206420898,0.7646790146827698,0.07445886731147766,1.3449654579162598,0.04007455731593663,0.9884819846426461,43.0,1030.0,3347.0,39.0
10,0.7582417726516724,0.6435065269470215,0.6730637550354004,0.03974122181534767,0.5243902206420898,0.7626227736473083,0.07388316094875336,1.3398184776306152,0.03974121996303143,0.9884512881255553,43.0,1039.0,3338.0,39.0
11,0.7696793079376221,0.6493324041366577,0.6760951280593872,0.041707079857587814,0.5243902206420898,0.7742745876312256,0.07726863771677017,1.3355876207351685,0.041707080504364696,0.9886231038506418,43.0,988.0,3389.0,39.0
12,0.7932271957397461,0.6613269448280334,0.6780092716217041,0.046436283737421036,0.5243902206420898,0.798263669013977,0.0853174552321434,1.3336330652236938,0.04643628509719223,0.9889612227568638,43.0,883.0,3494.0,39.0
13,0.7986095547676086,0.6521018743515015,0.6806198954582214,0.04565701633691788,0.5,0.8042038083076477,0.08367346972227097,1.3297368288040161,0.045657015590200446,0.9884863802302724,41.0,857.0,3520.0,41.0
14,0.8013007640838623,0.6534726619720459,0.6833057403564453,0.04627539590001106,0.5,0.8069453835487366,0.0847107470035553,1.3252156972885132,0.046275395033860044,0.9885250489784495,41.0,845.0,3532.0,41.0
15,0.812738299369812,0.6533153057098389,0.6861699819564819,0.04801920801401138,0.4878048896789551,0.8188256621360779,0.08743169158697128,1.322920322418213,0.04801920768307323,0.9884169884169884,40.0,793.0,3584.0,42.0
16,0.810719907283783,0.6582704782485962,0.6886635422706604,0.04857819899916649,0.5,0.8165410161018372,0.08855291455984116,1.3180186748504639,0.0485781990521327,0.98865836791148,41.0,803.0,3574.0,41.0
17,0.8295581936836243,0.6558994650840759,0.6914441585540771,0.0515873022377491,0.47560974955558777,0.8361891508102417,0.09307875484228134,1.3182179927825928,0.051587301587301584,0.9883877936807993,39.0,717.0,3660.0,43.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_20000
table: compare_n
table_extra: 20000
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 17992
run_name: CNN_20220216-1321
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_20000
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_20000\CNN
