epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9816102385520935,0.5,0.5661050081253052,0.0,0.0,1.0,0.0,1.4730887413024902,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
1,0.9816102385520935,0.5,0.6097073554992676,0.0,0.0,1.0,0.0,1.4525059461593628,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
2,0.9816102385520935,0.5,0.6357553005218506,0.0,0.0,1.0,0.0,1.4426703453063965,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
3,0.9816102385520935,0.5,0.6499230861663818,0.0,0.0,1.0,0.0,1.4369666576385498,0.0,0.9816102265081857,0.0,0.0,4377.0,82.0
4,0.9791433215141296,0.4987434446811676,0.6563425064086914,0.0,0.0,0.9974868893623352,0.0,1.4356794357299805,0.0,0.9815647482014388,0.0,11.0,4366.0,82.0
5,0.9751065373420715,0.5146372318267822,0.6601721048355103,0.08571428805589676,0.03658536449074745,0.9926890730857849,0.05128204822540283,1.4343351125717163,0.08571428571428572,0.9821428571428571,3.0,32.0,4345.0,79.0
6,0.9793675541877747,0.5108243227005005,0.6633358001708984,0.1428571492433548,0.024390242993831635,0.9972584247589111,0.0416666679084301,1.4342478513717651,0.14285714285714285,0.9820022497187851,2.0,12.0,4365.0,80.0
7,0.9769006371498108,0.5215343832969666,0.6645045876502991,0.13793103396892548,0.04878048598766327,0.9942883253097534,0.07207206636667252,1.4332563877105713,0.13793103448275862,0.982392776523702,4.0,25.0,4352.0,78.0
8,0.9802646040916443,0.5112812519073486,0.6642928123474121,0.20000000298023224,0.024390242993831635,0.9981722831726074,0.043478261679410934,1.43399977684021,0.2,0.9820184311081142,2.0,8.0,4369.0,80.0
9,0.9802646040916443,0.5172646045684814,0.6653125882148743,0.25,0.03658536449074745,0.9979438185691833,0.06382978707551956,1.4335200786590576,0.25,0.9822352147515179,3.0,9.0,4368.0,79.0
10,0.9807131886482239,0.49954307079315186,0.6665217876434326,0.0,0.0,0.9990861415863037,0.0,1.4345613718032837,0.0,0.9815937149270483,0.0,4.0,4373.0,82.0
11,0.9811617136001587,0.4997715353965759,0.666832447052002,0.0,0.0,0.9995430707931519,0.0,1.4356681108474731,0.0,0.9816019744222572,0.0,2.0,4375.0,82.0
12,0.9811617136001587,0.4997715353965759,0.6680653095245361,0.0,0.0,0.9995430707931519,0.0,1.4361777305603027,0.0,0.9816019744222572,0.0,2.0,4375.0,82.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_4000
table: compare_n
table_extra: 4000
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 9217
run_name: CNN_20220216-1209
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_4000
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_4000\CNN
