epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.8537788987159729,0.5126701593399048,0.5538722276687622,0.021812081336975098,0.15853658318519592,0.866803765296936,0.038348082453012466,1.446732997894287,0.02181208053691275,0.9821382345327466,13.0,583.0,3794.0,69.0
1,0.6849069595336914,0.594185471534729,0.5937062501907349,0.029181495308876038,0.5,0.6883710026741028,0.05514458939433098,1.443842887878418,0.029181494661921707,0.9865749836280289,41.0,1364.0,3013.0,41.0
2,0.5128952860832214,0.5723850131034851,0.6210763454437256,0.023701002821326256,0.6341463327407837,0.5106236934661865,0.045694202184677124,1.4408438205718994,0.023701002734731084,0.9867549668874173,52.0,2142.0,2235.0,30.0
3,0.6721237897872925,0.5816909074783325,0.6332728862762451,0.027397260069847107,0.4878048896789551,0.6755768656730652,0.051880672574043274,1.439886450767517,0.0273972602739726,0.9859953317772591,40.0,1420.0,2957.0,42.0
4,0.7427674531936646,0.6116911172866821,0.6405211091041565,0.03412073478102684,0.47560974955558777,0.7477724552154541,0.0636734738945961,1.438934326171875,0.03412073490813648,0.9870325693606755,39.0,1104.0,3273.0,43.0
5,0.849517822265625,0.6181995868682861,0.6495636701583862,0.0476190485060215,0.37804877758026123,0.8583504557609558,0.08458390831947327,1.4385106563568115,0.047619047619047616,0.9866071428571429,31.0,620.0,3757.0,51.0
6,0.8757569193840027,0.6076316237449646,0.6535966396331787,0.051330797374248505,0.32926830649375916,0.8859949707984924,0.08881578594446182,1.4375702142715454,0.051330798479087454,0.9860157640478007,27.0,499.0,3878.0,55.0
7,0.9019959568977356,0.5791136622428894,0.6570919752120972,0.050632912665605545,0.24390244483947754,0.9143248796463013,0.08385743945837021,1.4368579387664795,0.05063291139240506,0.984744094488189,20.0,375.0,4002.0,62.0
8,0.8997533321380615,0.6078879833221436,0.6609856486320496,0.0602409653365612,0.3048780560493469,0.9108978509902954,0.1006036251783371,1.4352946281433105,0.060240963855421686,0.9859050445103857,25.0,390.0,3987.0,57.0
9,0.9452791810035706,0.5473107695579529,0.6635516881942749,0.05978260934352875,0.13414634764194489,0.9604752063751221,0.08270677179098129,1.4362664222717285,0.059782608695652176,0.983391812865497,11.0,173.0,4204.0,71.0
10,0.9571653008460999,0.5354151725769043,0.6663713455200195,0.06400000303983688,0.09756097197532654,0.9732693433761597,0.07729468494653702,1.4361085891723633,0.064,0.9829257037378865,8.0,117.0,4260.0,74.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_6000
table: compare_n
table_extra: 6000
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 10897
run_name: CNN_20220216-1218
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_6000
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_6000\CNN
