epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9708454608917236,0.5005001425743103,0.6467092633247375,0.019999999552965164,0.012195121496915817,0.9888051152229309,0.015151514671742916,1.4129607677459717,0.02,0.9816284871853028,1.0,49.0,4328.0,81.0
1,0.909621000289917,0.5889809131622314,0.6733089685440063,0.057851240038871765,0.25609755516052246,0.9218642711639404,0.09438201785087585,1.4086030721664429,0.05785123966942149,0.985107421875,21.0,342.0,4035.0,61.0
2,0.9302534461021423,0.5815404057502747,0.6774129867553711,0.06792452931404114,0.2195121943950653,0.9435686469078064,0.10374639928340912,1.406022310256958,0.06792452830188679,0.9847401049117788,18.0,247.0,4130.0,64.0
3,0.8791208863258362,0.6452450752258301,0.6781178712844849,0.0630975142121315,0.40243902802467346,0.8880511522293091,0.10909091681241989,1.4024385213851929,0.06309751434034416,0.9875508130081301,33.0,490.0,3887.0,49.0
4,0.926665186882019,0.573729395866394,0.6774283051490784,0.06093189865350723,0.2073170691728592,0.9401416778564453,0.0941828191280365,1.4010945558547974,0.06093189964157706,0.9844497607655502,17.0,262.0,4115.0,65.0
5,0.9486432075500488,0.5669742822647095,0.6778476238250732,0.07999999821186066,0.17073170840740204,0.9632168412208557,0.10894941538572311,1.3997100591659546,0.08,0.9841269841269841,14.0,161.0,4216.0,68.0
6,0.9479703903198242,0.566631555557251,0.678268313407898,0.07865168899297714,0.17073170840740204,0.9625313878059387,0.10769230872392654,1.3976792097091675,0.07865168539325842,0.9841158607801915,14.0,164.0,4213.0,68.0
7,0.9259923696517944,0.5913366079330444,0.6769922971725464,0.0694444477558136,0.24390244483947754,0.9387708306312561,0.10810811817646027,1.3948338031768799,0.06944444444444445,0.9851354591225125,20.0,268.0,4109.0,62.0
8,0.9401211142539978,0.5746000409126282,0.677251398563385,0.07373271882534027,0.19512194395065308,0.9540781378746033,0.10702341049909592,1.39371919631958,0.07373271889400922,0.9844413012729845,16.0,201.0,4176.0,66.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_9000
table: compare_n
table_extra: 9000
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 12901
run_name: CNN_20220216-1230
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_9000
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_9000\CNN
