epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9885621070861816,0.5,0.7371900677680969,0.0,0.0,1.0,0.0,1.0722196102142334,0.0,0.988562091503268,0.0,0.0,605.0,7.0
1,0.9869281053543091,0.4991735517978668,0.8229043483734131,0.0,0.0,0.9983471035957336,0.0,1.0805773735046387,0.0,0.9885433715220949,0.0,1.0,604.0,7.0
2,0.9084967374801636,0.7419126033782959,0.8774498701095581,0.07017543911933899,0.5714285969734192,0.9123966693878174,0.125,1.083118200302124,0.07017543859649122,0.9945945945945946,4.0,53.0,552.0,3.0
3,0.8235294222831726,0.7695395946502686,0.8979929089546204,0.045045044273138046,0.7142857313156128,0.8247933983802795,0.08474575728178024,1.0818827152252197,0.04504504504504504,0.9960079840319361,5.0,106.0,499.0,2.0
4,0.75,0.8735537528991699,0.9048405885696411,0.04374999925494194,1.0,0.7471074461936951,0.08383233100175858,1.0809701681137085,0.04375,1.0,7.0,153.0,452.0,0.0
5,0.7712418437004089,0.8842974901199341,0.9152302145957947,0.0476190485060215,1.0,0.7685950398445129,0.09090908616781235,1.0774650573730469,0.047619047619047616,1.0,7.0,140.0,465.0,0.0
6,0.779411792755127,0.8884297609329224,0.9185360074043274,0.04929577559232712,1.0,0.7768595218658447,0.0939597338438034,1.074770212173462,0.04929577464788732,1.0,7.0,135.0,470.0,0.0
7,0.8447712659835815,0.8508855104446411,0.9187721014022827,0.05999999865889549,0.8571428656578064,0.844628095626831,0.11214952915906906,1.069682002067566,0.06,0.998046875,6.0,94.0,511.0,1.0
8,0.8660130500793457,0.8616292476654053,0.9225502014160156,0.06896551698446274,0.8571428656578064,0.8661156892776489,0.12765957415103912,1.066017508506775,0.06896551724137931,0.9980952380952381,6.0,81.0,524.0,1.0
9,0.9215686321258545,0.6779220700263977,0.9251475930213928,0.06382978707551956,0.4285714328289032,0.9272727370262146,0.1111111119389534,1.059748888015747,0.06382978723404255,0.9929203539823008,3.0,44.0,561.0,4.0
10,0.9117646813392639,0.6729633808135986,0.9249114990234375,0.056603774428367615,0.4285714328289032,0.9173553586006165,0.10000000149011612,1.0570096969604492,0.05660377358490566,0.9928443649373881,3.0,50.0,555.0,4.0
11,0.9509803652763367,0.6927981376647949,0.9237308502197266,0.1034482792019844,0.4285714328289032,0.9570248126983643,0.1666666716337204,1.0513465404510498,0.10344827586206896,0.9931389365351629,3.0,26.0,579.0,4.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_I
table: compare_stages
table_extra: I & 4078
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 8017
run_name: CNN_20220215-2130
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_I
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_I\CNN
