epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9801587462425232,0.5,0.8167341947555542,0.0,0.0,1.0,0.0,1.373006820678711,0.0,0.9801587301587301,0.0,0.0,741.0,15.0
1,0.5687830448150635,0.7473684549331665,0.8492127656936646,0.04129793494939804,0.9333333373069763,0.5614035129547119,0.07909604907035828,1.357116460800171,0.04129793510324484,0.9976019184652278,14.0,325.0,416.0,1.0
2,0.5185185074806213,0.7217273712158203,0.8556905388832092,0.037135276943445206,0.9333333373069763,0.5101214647293091,0.0714285671710968,1.3440942764282227,0.03713527851458886,0.9973614775725593,14.0,363.0,378.0,1.0
3,0.523809552192688,0.7244264483451843,0.8560503721237183,0.037533510476350784,0.9333333373069763,0.5155195593833923,0.07216494530439377,1.330707311630249,0.03753351206434316,0.9973890339425587,14.0,359.0,382.0,1.0
4,0.5449735522270203,0.7352226972579956,0.8551506996154785,0.03921568766236305,0.9333333373069763,0.5371119976043701,0.07526881992816925,1.317455768585205,0.0392156862745098,0.9974937343358395,14.0,343.0,398.0,1.0
5,0.5476190447807312,0.7365722060203552,0.8493027687072754,0.039436619728803635,0.9333333373069763,0.5398110747337341,0.07567567378282547,1.3038450479507446,0.03943661971830986,0.9975062344139651,14.0,341.0,400.0,1.0
6,0.5555555820465088,0.7406207919120789,0.8494826555252075,0.04011461138725281,0.9333333373069763,0.5479082465171814,0.07692307233810425,1.2902532815933228,0.04011461318051576,0.9975429975429976,14.0,335.0,406.0,1.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_II
table: compare_stages
table_extra: II & 5535
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 9532
run_name: CNN_20220215-2135
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_II
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_II\CNN
