epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9816849827766418,0.5,0.5733208656311035,0.0,0.0,1.0,0.0,1.4516102075576782,0.0,0.9816849816849816,0.0,0.0,536.0,10.0
1,0.9816849827766418,0.5,0.6300373077392578,0.0,0.0,1.0,0.0,1.4275327920913696,0.0,0.9816849816849816,0.0,0.0,536.0,10.0
2,0.9816849827766418,0.5,0.6417911052703857,0.0,0.0,1.0,0.0,1.415890097618103,0.0,0.9816849816849816,0.0,0.0,536.0,10.0
3,0.9816849827766418,0.5,0.6499999761581421,0.0,0.0,1.0,0.0,1.410793423652649,0.0,0.9816849816849816,0.0,0.0,536.0,10.0
4,0.9578754305839539,0.6350746154785156,0.657835841178894,0.15789473056793213,0.30000001192092896,0.9701492786407471,0.2068965584039688,1.4058879613876343,0.15789473684210525,0.9867172675521821,3.0,16.0,520.0,7.0
5,0.9084249138832092,0.6589552164077759,0.6645522713661194,0.0833333358168602,0.4000000059604645,0.9179104566574097,0.13793103396892548,1.4022884368896484,0.08333333333333333,0.9879518072289156,4.0,44.0,492.0,6.0
6,0.8882783651351929,0.6486940383911133,0.6679105162620544,0.06779661029577255,0.4000000059604645,0.8973880410194397,0.11594202369451523,1.3998762369155884,0.06779661016949153,0.9876796714579056,4.0,55.0,481.0,6.0
7,0.8974359035491943,0.6533582210540771,0.6688433289527893,0.07407407462596893,0.4000000059604645,0.9067164063453674,0.1250000149011612,1.3978588581085205,0.07407407407407407,0.9878048780487805,4.0,50.0,486.0,6.0
8,0.8754578828811646,0.6421641707420349,0.6720149517059326,0.06060606241226196,0.4000000059604645,0.8843283653259277,0.10526315867900848,1.395289659500122,0.06060606060606061,0.9875,4.0,62.0,474.0,6.0
9,0.877289354801178,0.6430970430374146,0.6723880767822266,0.0615384615957737,0.4000000059604645,0.8861940503120422,0.1066666692495346,1.3932490348815918,0.06153846153846154,0.9875259875259875,4.0,61.0,475.0,6.0
10,0.8827838897705078,0.6458955407142639,0.6763060092926025,0.06451612710952759,0.4000000059604645,0.891791045665741,0.1111111119389534,1.3914715051651,0.06451612903225806,0.987603305785124,4.0,58.0,478.0,6.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_III
table: compare_stages
table_extra: III & 3809
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 8527
run_name: CNN_20220215-2140
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_III
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_III\CNN
