epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9745006561279297,0.4984782636165619,0.6301640868186951,0.0,0.0,0.9969565272331238,0.0,1.3318144083023071,0.0,0.9774083546462063,0.0,7.0,2293.0,53.0
1,0.9723756909370422,0.49739131331443787,0.7025389671325684,0.0,0.0,0.9947826266288757,0.0,1.3275187015533447,0.0,0.9773601025202905,0.0,12.0,2288.0,53.0
2,0.9638758897781372,0.5206931829452515,0.7184741497039795,0.07894736528396606,0.056603774428367615,0.9847826361656189,0.06593406945466995,1.3234148025512695,0.07894736842105263,0.978401727861771,3.0,35.0,2265.0,50.0
3,0.9430513978004456,0.5745570063591003,0.7257916927337646,0.09900990128517151,0.18867924809455872,0.9604347944259644,0.12987013161182404,1.318766474723816,0.09900990099009901,0.9809058614564832,10.0,91.0,2209.0,43.0
4,0.9481512904167175,0.549515962600708,0.7295078039169312,0.08433734625577927,0.1320754736661911,0.9669564962387085,0.10294117778539658,1.3147947788238525,0.08433734939759036,0.9797356828193833,7.0,76.0,2224.0,46.0
5,0.9328516721725464,0.5969893336296082,0.7335767149925232,0.09923664480447769,0.24528302252292633,0.9486956596374512,0.14130434393882751,1.3103957176208496,0.09923664122137404,0.981998199819982,13.0,118.0,2182.0,40.0
6,0.9354016184806824,0.5982937216758728,0.7393929362297058,0.10400000214576721,0.24528302252292633,0.9513043761253357,0.14606741070747375,1.3061201572418213,0.104,0.9820466786355476,13.0,112.0,2188.0,40.0
7,0.9430513978004456,0.5837735533714294,0.7414519786834717,0.10679611563682556,0.2075471729040146,0.9599999785423279,0.14102564752101898,1.302542805671692,0.10679611650485436,0.9813333333333333,11.0,92.0,2208.0,42.0
8,0.9434764385223389,0.5747743844985962,0.7441263198852539,0.10000000149011612,0.18867924809455872,0.960869550704956,0.13071896135807037,1.2986717224121094,0.1,0.9809143364403018,10.0,90.0,2210.0,43.0
9,0.9298767447471619,0.6046841740608215,0.7451107501983643,0.10000000149011612,0.2641509473323822,0.9452173709869385,0.14507772028446198,1.293714165687561,0.1,0.98237686398554,14.0,126.0,2174.0,39.0
10,0.9192520380020142,0.6268991231918335,0.7450040578842163,0.09941520541906357,0.3207547068595886,0.9330434799194336,0.1517857164144516,1.2893446683883667,0.09941520467836257,0.9835013748854262,17.0,154.0,2146.0,36.0
11,0.9264768362045288,0.6305947303771973,0.7452993988990784,0.11038961261510849,0.3207547068595886,0.9404347538948059,0.1642511934041977,1.2860455513000488,0.11038961038961038,0.9836289222373806,17.0,137.0,2163.0,36.0
12,0.9243518710136414,0.6387243866920471,0.7453978657722473,0.11180124431848526,0.3396226465702057,0.9378260970115662,0.1682243049144745,1.2819393873214722,0.11180124223602485,0.9840328467153284,18.0,143.0,2157.0,35.0
13,0.9235019087791443,0.6290730237960815,0.7456849813461304,0.10559006035327911,0.3207547068595886,0.9373912811279297,0.15887852013111115,1.2782543897628784,0.10559006211180125,0.9835766423357665,17.0,144.0,2156.0,36.0
14,0.9256268739700317,0.6301599740982056,0.7444298267364502,0.10897435992956161,0.3207547068595886,0.9395652413368225,0.16267941892147064,1.2752681970596313,0.10897435897435898,0.9836140191169777,17.0,139.0,2161.0,36.0
15,0.9154270887374878,0.6433756947517395,0.7442002296447754,0.10326086729764938,0.35849055647850037,0.928260862827301,0.16033755242824554,1.2703574895858765,0.10326086956521739,0.9843245735361917,19.0,165.0,2135.0,34.0
16,0.9175520539283752,0.6352460980415344,0.7450041174888611,0.10169491171836853,0.3396226465702057,0.9308695793151855,0.156521737575531,1.2671663761138916,0.1016949152542373,0.9839154411764706,18.0,159.0,2141.0,35.0
17,0.9235019087791443,0.6382895708084106,0.7463412880897522,0.11042945086956024,0.3396226465702057,0.936956524848938,0.1666666716337204,1.264701008796692,0.11042944785276074,0.9840182648401826,18.0,145.0,2155.0,35.0
18,0.9116021990776062,0.6322026252746582,0.7465545535087585,0.09424083679914474,0.3396226465702057,0.9247826337814331,0.14754098653793335,1.2597209215164185,0.09424083769633508,0.9838112858464385,18.0,173.0,2127.0,35.0
19,0.9154270887374878,0.6341591477394104,0.7470303773880005,0.09890110045671463,0.3396226465702057,0.9286956787109375,0.1531914919614792,1.256778359413147,0.0989010989010989,0.9838783970520497,18.0,164.0,2136.0,35.0
20,0.9120271801948547,0.632420003414154,0.7462756037712097,0.09473684430122375,0.3396226465702057,0.9252173900604248,0.14814814925193787,1.2539259195327759,0.09473684210526316,0.9838187702265372,18.0,172.0,2128.0,35.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_female
table: compare_sexes
table_extra: Female
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 15879
run_name: CNN_20220213-1936
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_female
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_female\CNN
