epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.20797720551490784,0.49645543098449707,0.5569206476211548,0.013649852015078068,0.7931034564971924,0.19980742037296295,0.026837805286049843,1.4049814939498901,0.013649851632047478,0.9857482185273159,23.0,1662.0,415.0,6.0
1,0.20655269920825958,0.5127338767051697,0.589593768119812,0.014201183803379536,0.8275862336158752,0.1978815644979477,0.027923213317990303,1.4022610187530518,0.014201183431952662,0.9879807692307693,24.0,1666.0,411.0,5.0
2,0.25546059012413025,0.5205286145210266,0.5997045040130615,0.014511041343212128,0.7931034564971924,0.24795377254486084,0.028500620275735855,1.3998850584030151,0.014511041009463722,0.9884836852207294,23.0,1562.0,515.0,6.0
3,0.5565052032470703,0.5541480779647827,0.607955813407898,0.01707577332854271,0.5517241358757019,0.5565719604492188,0.03312629461288452,1.3980836868286133,0.017075773745997867,0.9888793840889649,16.0,921.0,1156.0,13.0
4,0.6657170057296753,0.57551509141922,0.6066774129867554,0.019914651289582253,0.48275861144065857,0.668271541595459,0.0382513664662838,1.3973028659820557,0.01991465149359886,0.9893086243763364,14.0,689.0,1388.0,15.0
5,0.6813865303993225,0.5834592580795288,0.6055816411972046,0.020895522087812424,0.48275861144065857,0.6841598749160767,0.040057223290205,1.3958156108856201,0.020895522388059702,0.9895543175487466,14.0,656.0,1421.0,15.0
6,0.6937322020530701,0.5897182822227478,0.6087692975997925,0.021739130839705467,0.48275861144065857,0.6966779232025146,0.04160475358366966,1.3938238620758057,0.021739130434782608,0.9897400820793434,14.0,630.0,1447.0,15.0
7,0.7184235453605652,0.6022363305091858,0.6097986698150635,0.02364864945411682,0.48275861144065857,0.7217140197753906,0.04508856683969498,1.3926186561584473,0.02364864864864865,0.9900924702774109,14.0,578.0,1499.0,15.0
8,0.7298195362091064,0.6080138683319092,0.6095994114875793,0.02464788779616356,0.48275861144065857,0.7332691550254822,0.04690117761492729,1.391655683517456,0.02464788732394366,0.9902470741222367,14.0,554.0,1523.0,15.0
9,0.7132003903388977,0.5995882749557495,0.6104460954666138,0.023217247799038887,0.48275861144065857,0.7164179086685181,0.04430380091071129,1.389995813369751,0.02321724709784411,0.9900199600798403,14.0,589.0,1488.0,15.0
10,0.7635327577590942,0.5741038918495178,0.6117742657661438,0.022403258830308914,0.37931033968925476,0.7688974738121033,0.042307689785957336,1.3902162313461304,0.02240325865580448,0.9888544891640867,11.0,480.0,1597.0,18.0
11,0.7416903972625732,0.5800308585166931,0.6132684946060181,0.022263450548052788,0.4137931168079376,0.746268630027771,0.0422535203397274,1.3877323865890503,0.022263450834879406,0.9891512444160817,12.0,527.0,1550.0,17.0
12,0.7905982732772827,0.5708249807357788,0.613600492477417,0.023148147389292717,0.3448275923728943,0.7968223690986633,0.043383944779634476,1.3889063596725464,0.023148148148148147,0.9886499402628435,10.0,422.0,1655.0,19.0
13,0.7744539380073547,0.5626400709152222,0.6141483783721924,0.021459227427840233,0.3448275923728943,0.78045254945755,0.04040404036641121,1.3870620727539062,0.02145922746781116,0.9884146341463415,10.0,456.0,1621.0,19.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_male
table: compare_sexes
table_extra: Male
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 15730
run_name: CNN_20220213-1917
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_male
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_male\CNN
