epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.7068965435028076,0.6666445136070251,0.7718185782432556,0.035149384289979935,0.625,0.7082890272140503,0.06655573844909668,1.2931221723556519,0.0351493848857645,0.9910780669144982,20.0,549.0,1333.0,12.0
1,0.36050155758857727,0.6594547033309937,0.7847868204116821,0.024720892310142517,0.96875,0.3501594066619873,0.04821150377392769,1.2834272384643555,0.024720893141945772,0.9984848484848485,31.0,1223.0,659.0,1.0
2,0.41327065229415894,0.6402099132537842,0.7908807396888733,0.024411508813500404,0.875,0.4054197669029236,0.04749787971377373,1.2680059671401978,0.024411508282476024,0.9947848761408083,28.0,1119.0,763.0,4.0
3,0.42842215299606323,0.647914469242096,0.79280686378479,0.025044722482562065,0.875,0.4208289086818695,0.048695649951696396,1.2501500844955444,0.025044722719141325,0.9949748743718593,28.0,1090.0,792.0,4.0
4,0.43155694007873535,0.6495084762573242,0.7945835590362549,0.025179855525493622,0.875,0.4240170121192932,0.04895104467868805,1.2345726490020752,0.025179856115107913,0.9950124688279302,28.0,1084.0,798.0,4.0
5,0.4519331157207489,0.6598697900772095,0.7969081997871399,0.026095060631632805,0.875,0.4447396397590637,0.05067873373627663,1.219380497932434,0.0260950605778192,0.995243757431629,28.0,1045.0,837.0,4.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_PSYCHIATRY_60_nonmet
table: compare_stages
table_extra: I+II+III & 13422
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 13939
run_name: CNN_20220215-2153
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_nonmet
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_PSYCHIATRY_60_nonmet\CNN
