epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.765642523765564,0.50050288438797,0.4977944791316986,0.2448979616165161,0.0117647061124444,0.9892410635948181,0.0224508885294199,0.0,0.2448979616165161,0.7714285850524902,12.0,37.0,3402.0,1008.0,0.0
1,0.6694325804710388,0.5022638440132141,0.5047701001167297,0.2329411804676056,0.19411765038967133,0.8104100227355957,0.21176472306251526,0.0,0.2329411804676056,0.7722360491752625,198.0,652.0,2787.0,822.0,1.0
2,0.571877121925354,0.5055660605430603,0.514251172542572,0.2339916229248047,0.38333335518836975,0.6277987360954285,0.2905983030796051,0.0,0.2339916229248047,0.7743902206420898,391.0,1280.0,2159.0,629.0,2.0
3,0.5577483773231506,0.5133018493652344,0.5266498923301697,0.24017466604709625,0.4313725531101227,0.5952311754226685,0.30855539441108704,0.0,0.24017466604709625,0.7792158126831055,440.0,1392.0,2047.0,580.0,3.0
4,0.5216416120529175,0.52471923828125,0.5414973497390747,0.24646924436092377,0.5303921699523926,0.5190462470054626,0.3365474045276642,0.0,0.24646924436092377,0.7884276509284973,541.0,1654.0,1785.0,479.0,4.0
5,0.5054945349693298,0.5356289148330688,0.5578213334083557,0.2521957457065582,0.591176450252533,0.4800814092159271,0.35356202721595764,0.0,0.2521957457065582,0.7983558773994446,603.0,1788.0,1651.0,417.0,5.0
6,0.5907154083251953,0.5495009422302246,0.5725135803222656,0.27272728085517883,0.4735293984413147,0.6254725456237793,0.3461124897003174,0.0,0.27272728085517883,0.8002232313156128,483.0,1288.0,2151.0,537.0,6.0
7,0.5741197466850281,0.5573614835739136,0.5853793025016785,0.27496159076690674,0.5264706015586853,0.5882524251937866,0.36125126481056213,0.0,0.27496159076690674,0.8072625994682312,537.0,1416.0,2023.0,483.0,7.0
8,0.5703072547912598,0.5645443797111511,0.5973345041275024,0.27887463569641113,0.5539215803146362,0.575167179107666,0.37097832560539246,0.0,0.27887463569641113,0.8129881024360657,565.0,1461.0,1978.0,455.0,8.0
9,0.6393810510635376,0.5696722865104675,0.6081930994987488,0.30241936445236206,0.44117647409439087,0.6981680989265442,0.35885167121887207,0.0,0.30241936445236206,0.8081454038619995,450.0,1038.0,2401.0,570.0,9.0
10,0.5534873008728027,0.5905342102050781,0.61829674243927,0.2902807891368866,0.658823549747467,0.5222448110580444,0.40299853682518005,0.0,0.2902807891368866,0.8376865386962891,672.0,1643.0,1796.0,348.0,10.0
11,0.5651491284370422,0.5911984443664551,0.6274506449699402,0.29329735040664673,0.6392157673835754,0.5431811809539795,0.40209683775901794,0.0,0.29329735040664673,0.8354203104972839,652.0,1571.0,1868.0,368.0,11.0
12,0.5983404517173767,0.596165657043457,0.6379852294921875,0.3052046597003937,0.5921568870544434,0.6001744866371155,0.402800977230072,0.0,0.3052046597003937,0.8322580456733704,604.0,1375.0,2064.0,416.0,12.0
13,0.6079838871955872,0.5982798337936401,0.6458759903907776,0.3096234202384949,0.5803921818733215,0.6161674857139587,0.40381988883018494,0.0,0.3096234202384949,0.8319591879844666,592.0,1320.0,2119.0,428.0,13.0
14,0.6268221735954285,0.6056655049324036,0.6517378091812134,0.32111111283302307,0.5666666626930237,0.6446641683578491,0.4099290668964386,0.0,0.32111111283302307,0.8337721228599548,578.0,1222.0,2217.0,442.0,14.0
15,0.5920609831809998,0.6079557538032532,0.6557267308235168,0.3096712529659271,0.6372548937797546,0.5786566138267517,0.41680026054382324,0.0,0.3096712529659271,0.8432203531265259,650.0,1449.0,1990.0,370.0,15.0
16,0.6333258748054504,0.61746746301651,0.6627289652824402,0.3305785059928894,0.5882353186607361,0.6466996073722839,0.42328041791915894,0.0,0.3305785059928894,0.8411497473716736,600.0,1215.0,2224.0,420.0,16.0
17,0.6369141340255737,0.621862530708313,0.668057382106781,0.33462175726890564,0.5941176414489746,0.6496073603630066,0.4281172752380371,0.0,0.33462175726890564,0.8436555862426758,606.0,1205.0,2234.0,414.0,17.0
18,0.5821933150291443,0.6205227971076965,0.6704117655754089,0.312916100025177,0.6911764740943909,0.5498691201210022,0.43079742789268494,0.0,0.312916100025177,0.8572075963020325,705.0,1548.0,1891.0,315.0,18.0
19,0.6315317153930664,0.6290621161460876,0.6762462258338928,0.3357933461666107,0.6245098114013672,0.6336144208908081,0.4367500841617584,0.0,0.3357933461666107,0.8505074381828308,637.0,1260.0,2179.0,383.0,19.0
20,0.6319802403450012,0.6348698735237122,0.6804813742637634,0.3388687074184418,0.6401961445808411,0.6295434832572937,0.4431625008583069,0.0,0.3388687074184418,0.8550552725791931,653.0,1274.0,2165.0,367.0,20.0
21,0.5826418995857239,0.6211583018302917,0.6825276613235474,0.31335997581481934,0.6921568512916565,0.5501599311828613,0.431408554315567,0.0,0.31335997581481934,0.8576609492301941,706.0,1547.0,1892.0,314.0,21.0
22,0.623458206653595,0.6331378221511841,0.6872776746749878,0.3341720998287201,0.6509804129600525,0.6152951121330261,0.44163617491722107,0.0,0.3341720998287201,0.8559870719909668,664.0,1323.0,2116.0,356.0,22.0
23,0.6501458287239075,0.6369919180870056,0.6916123628616333,0.3491620123386383,0.6127451062202454,0.6612387299537659,0.44483980536460876,0.0,0.3491620123386383,0.8520044684410095,625.0,1165.0,2274.0,395.0,23.0
24,0.5835388898849487,0.6338081359863281,0.6928828358650208,0.3195342719554901,0.7264705896377563,0.5411456823348999,0.4438454508781433,0.0,0.3195342719554901,0.8696261644363403,741.0,1578.0,1861.0,279.0,24.0
25,0.6160573959350586,0.6417872309684753,0.6960630416870117,0.3350810408592224,0.6892156600952148,0.5943588018417358,0.45093005895614624,0.0,0.3350810408592224,0.865734875202179,703.0,1395.0,2044.0,317.0,25.0
