epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.7712491750717163,0.5,0.5352133512496948,0.0,0.0,1.0,0.0,1.0994027853012085,0.0,0.771249159004261,0.0,0.0,3439.0,1020.0
1,0.7712491750717163,0.5,0.5451003313064575,0.0,0.0,1.0,0.0,1.0991084575653076,0.0,0.771249159004261,0.0,0.0,3439.0,1020.0
2,0.7586902976036072,0.5090983510017395,0.5506654977798462,0.3205128312110901,0.04901960864663124,0.9691770672798157,0.08503402024507523,1.0988969802856445,0.32051282051282054,0.7745758772949105,50.0,106.0,3333.0,970.0
3,0.556851327419281,0.542373538017273,0.5554336309432983,0.2619521915912628,0.5156862735748291,0.5690608024597168,0.34742406010627747,1.0987745523452759,0.26195219123505975,0.7984496124031008,526.0,1482.0,1957.0,494.0
4,0.4050235450267792,0.5229040384292603,0.5587456822395325,0.24021635949611664,0.7401960492134094,0.30561208724975586,0.36271917819976807,1.0986552238464355,0.2402163538020999,0.7986322188449848,755.0,2388.0,1051.0,265.0
5,0.3794572651386261,0.5211560726165771,0.5616486072540283,0.2387077510356903,0.7823529243469238,0.25995928049087524,0.3658033311367035,1.0985901355743408,0.23870774753215673,0.8010752688172043,798.0,2545.0,894.0,222.0
6,0.40053823590278625,0.5241339206695557,0.5656167268753052,0.24066519737243652,0.751960813999176,0.2963070571422577,0.3646303713321686,1.0985734462738037,0.2406652023846878,0.8011006289308176,767.0,2420.0,1019.0,253.0
7,0.4068176746368408,0.5264808535575867,0.5678673982620239,0.24198158085346222,0.7470588088035583,0.3059028685092926,0.3655552864074707,1.0985220670700073,0.24198158145442997,0.8030534351145038,762.0,2387.0,1052.0,258.0
8,0.39201614260673523,0.5230915546417236,0.5701436400413513,0.23992617428302765,0.7647058963775635,0.2814771831035614,0.3652540147304535,1.0984333753585815,0.23992617656105814,0.8013245033112583,780.0,2471.0,968.0,240.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnic_SOCIALWORK_60
table: see_counselling
table_extra: 
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 1e-05
batch_size: 64
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: LSTM_20220213-0003
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_SOCIALWORK_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dsplnic_SOCIALWORK_60\LSTM
