epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.8246243596076965,0.8192360401153564,0.8939632177352905,0.8812684416770935,0.8385964632034302,0.7998756766319275,0.8594030737876892,0.2974221110343933,0.8812684365781711,0.7366914710933028,2390.0,322.0,1287.0,460.0
1,0.8306795358657837,0.8262732625007629,0.9041318297386169,0.8872458338737488,0.8421052694320679,0.810441255569458,0.8640864491462708,0.2823469936847687,0.8872458410351202,0.7434435575826682,2400.0,305.0,1304.0,450.0
2,0.834267795085907,0.8312453031539917,0.9085479974746704,0.8925250768661499,0.8421052694320679,0.8203853368759155,0.866582453250885,0.2759612202644348,0.8925251022685013,0.7457627118644068,2400.0,289.0,1320.0,450.0
3,0.8367347121238708,0.8337163925170898,0.911063015460968,0.8941307663917542,0.8445613980293274,0.8228713274002075,0.8686395287513733,0.2724315822124481,0.8941307578008916,0.7492925863044708,2407.0,285.0,1324.0,443.0
4,0.842789888381958,0.835476279258728,0.9125306010246277,0.8888888955116272,0.8617543578147888,0.809198260307312,0.8751113414764404,0.2719595730304718,0.8888888888888888,0.7676886792452831,2456.0,307.0,1302.0,394.0
5,0.8403229713439941,0.8370646238327026,0.9132428169250488,0.8959259390830994,0.8487719297409058,0.8253573775291443,0.8717117309570312,0.27107253670692444,0.8959259259259259,0.7549744172825469,2419.0,281.0,1328.0,431.0
6,0.8445839881896973,0.8390448689460754,0.9135110378265381,0.8937568664550781,0.8589473962783813,0.8191423416137695,0.8760064244270325,0.2732991576194763,0.8937568455640745,0.7662790697674419,2448.0,291.0,1318.0,402.0
7,0.8452568054199219,0.8387593030929565,0.9136693477630615,0.8921568393707275,0.8621052503585815,0.8154132962226868,0.8768736124038696,0.2768971025943756,0.8921568627450981,0.7695014662756599,2457.0,297.0,1312.0,393.0
8,0.8457053303718567,0.8377569913864136,0.913803219795227,0.8894092440605164,0.8663157820701599,0.809198260307312,0.8777106404304504,0.28075554966926575,0.8894092219020173,0.7736185383244206,2469.0,307.0,1302.0,381.0
9,0.8441354632377625,0.836122989654541,0.9135503172874451,0.8882882595062256,0.8649122714996338,0.807333767414093,0.876444399356842,0.2860291302204132,0.8882882882882883,0.7713776722090261,2465.0,310.0,1299.0,385.0
10,0.8405472040176392,0.8348044157028198,0.9132459163665771,0.8907563090324402,0.8554385900497437,0.8141703009605408,0.8727403283119202,0.29179465770721436,0.8907563025210085,0.7607433217189314,2438.0,299.0,1310.0,412.0
11,0.840995728969574,0.8370497226715088,0.9132105112075806,0.8948727250099182,0.8512280583381653,0.8228713274002075,0.8725048899650574,0.2999950051307678,0.8948727406860937,0.7574370709382151,2426.0,285.0,1324.0,424.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results
data_version: ppv4
target: surv_mo_36
table: cnn_tuning
table_extra: 
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.2
lr: 0.0001
weight_decay: 0.0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21696
run_name: CNN_20220820-1410
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36\CNN
