epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.6653958559036255,0.6977869272232056,0.7973108291625977,0.8471370339393616,0.5814034938812256,0.8141703009605408,0.689554750919342,0.46772804856300354,0.8471370143149284,0.5233719536556133,1657.0,299.0,1310.0,1193.0
1,0.7293115258216858,0.751169741153717,0.8337811231613159,0.87494295835495,0.672631561756134,0.8297079205513,0.7605633735656738,0.419064998626709,0.8749429484253766,0.5886243386243386,1917.0,274.0,1335.0,933.0
2,0.7602601647377014,0.7744330763816833,0.8526778221130371,0.880068302154541,0.7235087752342224,0.8253573775291443,0.7941460013389587,0.37726160883903503,0.8800682885189928,0.6275992438563327,2062.0,281.0,1328.0,788.0
3,0.7802197933197021,0.7888293266296387,0.8651083111763,0.8816326260566711,0.75789475440979,0.8197638392448425,0.8150944113731384,0.34947746992111206,0.8816326530612245,0.6565455450472872,2160.0,290.0,1319.0,690.0
4,0.7898631691932678,0.7951552867889404,0.8734644055366516,0.8809239268302917,0.7761403322219849,0.8141703009605408,0.8252192139625549,0.3321903347969055,0.8809239346873755,0.6724845995893224,2212.0,299.0,1310.0,638.0
5,0.7963668704032898,0.7974014282226562,0.8791990280151367,0.8760650753974915,0.793684184551239,0.8011187314987183,0.8328424096107483,0.32156655192375183,0.8760650658404338,0.6867341502397443,2262.0,320.0,1289.0,588.0
6,0.8021978139877319,0.8026394248008728,0.8831661939620972,0.8787528872489929,0.8010526299476624,0.8042262196540833,0.8381057381629944,0.31497296690940857,0.8787528868360277,0.6953250940354648,2283.0,315.0,1294.0,567.0
7,0.8078044652938843,0.8072960376739502,0.8864526748657227,0.8804887533187866,0.8091228008270264,0.8054692149162292,0.8432985544204712,0.3100167512893677,0.8804887361588393,0.7043478260869566,2306.0,313.0,1296.0,544.0
8,0.8095985651016235,0.8107292652130127,0.8890209197998047,0.8852522373199463,0.8066666722297668,0.8147917985916138,0.8441343903541565,0.3064018487930298,0.8852522140931844,0.7040816326530612,2299.0,298.0,1311.0,551.0
9,0.8145323991775513,0.8151301145553589,0.8910830616950989,0.887399435043335,0.812982439994812,0.8172777891159058,0.848562479019165,0.3032563626766205,0.8873994638069705,0.7115800865800865,2317.0,294.0,1315.0,533.0
10,0.8147566914558411,0.8161174654960632,0.8928602933883667,0.8892307877540588,0.8112280964851379,0.8210068345069885,0.848440408706665,0.30055755376815796,0.8892307692307693,0.7105970952124798,2312.0,288.0,1321.0,538.0
11,0.8169993162155151,0.8174659013748169,0.8944145441055298,0.8887614607810974,0.8157894611358643,0.8191423416137695,0.8507134318351746,0.2981269359588623,0.8887614678899083,0.7151383613673359,2325.0,291.0,1318.0,525.0
12,0.8185691833496094,0.8190999031066895,0.8957540988922119,0.8899503350257874,0.8171929717063904,0.8210068345069885,0.8520212769508362,0.2960308790206909,0.8899503247993886,0.7171552660152009,2329.0,288.0,1321.0,521.0
13,0.8199147582054138,0.8209644556045532,0.8968970775604248,0.8919954299926758,0.8171929717063904,0.8247358798980713,0.8529573082923889,0.2941931188106537,0.8919954040597472,0.7180735930735931,2329.0,282.0,1327.0,521.0
14,0.8203632831573486,0.8217211961746216,0.8979263305664062,0.8929804563522339,0.8168420791625977,0.8266003727912903,0.8532160520553589,0.29257771372795105,0.8929804372842347,0.7181425485961123,2328.0,279.0,1330.0,522.0
15,0.8199147582054138,0.8212350606918335,0.8989105224609375,0.8925968408584595,0.8164912462234497,0.8259788751602173,0.852849543094635,0.29114723205566406,0.8925968546221711,0.7176025917926566,2327.0,280.0,1329.0,523.0
16,0.8228302597999573,0.8236510753631592,0.8998180031776428,0.8934301137924194,0.8207017779350281,0.8266003727912903,0.8555231094360352,0.28969451785087585,0.8934300993124522,0.7224334600760456,2339.0,279.0,1330.0,511.0
17,0.8235030174255371,0.8241773843765259,0.9006136655807495,0.8935520648956299,0.8217543959617615,0.8266003727912903,0.8561505675315857,0.28837692737579346,0.8935520793590233,0.7236126224156693,2342.0,279.0,1330.0,508.0
18,0.8237273097038269,0.8242174983024597,0.9013094902038574,0.8932926654815674,0.8224561214447021,0.8259788751602173,0.8564121127128601,0.2872389853000641,0.8932926829268293,0.7242506811989101,2344.0,280.0,1329.0,506.0
19,0.8214846253395081,0.8224631547927856,0.9020060300827026,0.8928844928741455,0.8189473748207092,0.8259788751602173,0.8543192744255066,0.2862078547477722,0.8928844682478959,0.7203252032520325,2334.0,280.0,1329.0,516.0
20,0.821260392665863,0.8230996131896973,0.9026918411254883,0.8946558833122253,0.8164912462234497,0.8297079205513,0.8537883162498474,0.28529855608940125,0.8946559015763168,0.7185145317545748,2327.0,274.0,1335.0,523.0
21,0.8228302597999573,0.8240569829940796,0.903315544128418,0.8943338394165039,0.8196491003036499,0.8284648656845093,0.8553643226623535,0.28419986367225647,0.8943338437978561,0.721710882512182,2336.0,276.0,1333.0,514.0
22,0.8226059675216675,0.8237462043762207,0.9039410352706909,0.8939915895462036,0.8196491003036499,0.8278433680534363,0.8552077412605286,0.2832255959510803,0.8939915805587447,0.7215601300108342,2336.0,277.0,1332.0,514.0
23,0.8228302597999573,0.8241922855377197,0.9045214653015137,0.8946360349655151,0.819298267364502,0.8290863633155823,0.855311393737793,0.2823103070259094,0.8946360153256705,0.7214710654407788,2335.0,275.0,1334.0,515.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results
data_version: ppv4
target: surv_mo_36
table: cnn_tuning
table_extra: 
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0.0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21696
run_name: CNN_20220820-1425
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36\CNN
