epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.7963668704032898,0.794289231300354,0.8722886443138123,0.8694825172424316,0.8017544150352478,0.786824107170105,0.834246039390564,0.3324175775051117,0.869482496194825,0.6914254505734572,2285.0,343.0,1266.0,565.0
1,0.8185691833496094,0.8130108118057251,0.8903921842575073,0.8769856095314026,0.8329824805259705,0.7930391430854797,0.8544178605079651,0.3040260672569275,0.8769855929072774,0.728310502283105,2374.0,333.0,1276.0,476.0
2,0.8291096687316895,0.8242332935333252,0.8980384469032288,0.885239839553833,0.8417543768882751,0.80671226978302,0.8629496097564697,0.2925656735897064,0.885239852398524,0.7421383647798742,2399.0,311.0,1298.0,451.0
3,0.8309037685394287,0.8286137580871582,0.9024094343185425,0.8919222354888916,0.8368421196937561,0.8203853368759155,0.8635047674179077,0.28560394048690796,0.8919222139117428,0.7394957983193278,2385.0,289.0,1320.0,465.0
4,0.8320251107215881,0.8307087421417236,0.9051388502120972,0.8947764039039612,0.83543860912323,0.8259788751602173,0.8640899658203125,0.2812790274620056,0.8947763998496806,0.739154616240267,2381.0,280.0,1329.0,469.0
5,0.832473635673523,0.8316008448600769,0.9074185490608215,0.8960452079772949,0.8347368240356445,0.8284648656845093,0.8643051981925964,0.27785512804985046,0.896045197740113,0.7389135254988913,2379.0,276.0,1333.0,471.0
6,0.834492027759552,0.8326385617256165,0.908907413482666,0.8952096104621887,0.8392982482910156,0.8259788751602173,0.8663527965545654,0.2755143344402313,0.8952095808383234,0.7437045327364298,2392.0,280.0,1329.0,458.0
7,0.8335949778556824,0.8336958885192871,0.9102417230606079,0.8989402055740356,0.8333333134651184,0.834058403968811,0.8648943901062012,0.27358752489089966,0.8989401968205905,0.7385800770500826,2375.0,267.0,1342.0,475.0
8,0.832473635673523,0.8337658643722534,0.911055326461792,0.9008768796920776,0.82912278175354,0.8384089469909668,0.8635118007659912,0.2725107669830322,0.900876858558902,0.7347494553376906,2363.0,260.0,1349.0,487.0
9,0.836286187171936,0.8351246118545532,0.9118139743804932,0.8978978991508484,0.8392982482910156,0.830950915813446,0.8676096796989441,0.27128562331199646,0.8978978978978979,0.7448467966573816,2392.0,272.0,1337.0,458.0
10,0.8374074697494507,0.8347839117050171,0.9125936627388,0.8954223990440369,0.8442105054855347,0.8253573775291443,0.8690626621246338,0.27030763030052185,0.8954224041682174,0.7494356659142212,2406.0,281.0,1328.0,444.0
11,0.836286187171936,0.8341773748397827,0.9131185412406921,0.895817756652832,0.8417543768882751,0.8266003727912903,0.8679450154304504,0.26983538269996643,0.8958177744585512,0.746771476698484,2399.0,279.0,1330.0,451.0
12,0.8398743867874146,0.8367137908935547,0.9134774804115295,0.8958487510681152,0.8480702042579651,0.8253573775291443,0.871304988861084,0.2696392238140106,0.8958487768717569,0.7541169789892107,2417.0,281.0,1328.0,433.0
13,0.840995728969574,0.8375909328460693,0.9137393832206726,0.8960414528846741,0.8498245477676392,0.8253573775291443,0.8723212480545044,0.26959580183029175,0.8960414354421014,0.7562642369020501,2422.0,281.0,1328.0,428.0
14,0.8421170711517334,0.8399566411972046,0.914252519607544,0.8994787931442261,0.8477193117141724,0.832193911075592,0.8728323578834534,0.26917335391044617,0.8994787788533135,0.7552171460800903,2416.0,270.0,1339.0,434.0
15,0.8403229713439941,0.8373352885246277,0.9145802855491638,0.8965133428573608,0.8480702042579651,0.8266003727912903,0.8716191649436951,0.26936060190200806,0.896513353115727,0.7543959160521838,2417.0,279.0,1330.0,433.0
16,0.8400986790657043,0.8372951745986938,0.9146430492401123,0.8967694044113159,0.8473684191703796,0.8272218704223633,0.8713693022727966,0.2700568437576294,0.8967694021537319,0.7536806342015855,2415.0,278.0,1331.0,435.0
17,0.8396501541137695,0.8378914594650269,0.9149152636528015,0.8987672924995422,0.8442105054855347,0.831572413444519,0.8706350326538086,0.2703213691711426,0.8987672768023908,0.7508417508417509,2406.0,271.0,1338.0,444.0
18,0.8403229713439941,0.8366587162017822,0.9149112701416016,0.8950480222702026,0.8498245477676392,0.8234928250312805,0.8718501925468445,0.27190962433815,0.8950480413895048,0.7558471192241871,2422.0,284.0,1325.0,428.0
19,0.8414442539215088,0.8365887403488159,0.9149937629699707,0.8932110071182251,0.8540350794792175,0.8191423416137695,0.8731839060783386,0.2729659080505371,0.893211009174312,0.7600922722029988,2434.0,291.0,1318.0,416.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results
data_version: ppv4
target: surv_mo_36
table: cnn_tuning
table_extra: 
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 5e-05
weight_decay: 0.0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21696
run_name: CNN_20220820-1451
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36\CNN
