epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.7974882125854492,0.8066680431365967,0.8876649737358093,0.8952497243881226,0.7736842036247253,0.8396519422531128,0.8300395607948303,0.309481143951416,0.8952496954933008,0.6768537074148296,2205.0,258.0,1351.0,645.0
1,0.8098228573799133,0.8178056478500366,0.8995252847671509,0.9010416865348816,0.7891228199005127,0.8464884757995605,0.8413767218589783,0.2914293706417084,0.9010416666666666,0.6938359653591442,2249.0,247.0,1362.0,601.0
2,0.8246243596076965,0.8280314207077026,0.9049626588821411,0.9004647731781006,0.8157894611358643,0.8402734398841858,0.8560383319854736,0.2818959057331085,0.9004647560030984,0.7202983484283431,2325.0,257.0,1352.0,525.0
3,0.8329221606254578,0.8331695795059204,0.9080902338027954,0.8988252878189087,0.832280695438385,0.834058403968811,0.8642739653587341,0.2767413556575775,0.898825312618416,0.7373626373626374,2372.0,267.0,1342.0,478.0
4,0.832473635673523,0.8351190090179443,0.9098793268203735,0.903956949710846,0.8256140351295471,0.8446239829063416,0.8630111813545227,0.27445146441459656,0.9039569727237803,0.7322198275862069,2353.0,250.0,1359.0,497.0
5,0.832473635673523,0.836201548576355,0.9111940264701843,0.9064553380012512,0.8228070139884949,0.8495960235595703,0.862608015537262,0.2732912302017212,0.9064553536915346,0.7302350427350427,2345.0,242.0,1367.0,505.0
6,0.8356133699417114,0.8367632627487183,0.9121173620223999,0.9026245474815369,0.8326315879821777,0.8408949375152588,0.8662164211273193,0.2717733681201935,0.9026245720806391,0.739344262295082,2373.0,256.0,1353.0,477.0
7,0.8374074697494507,0.840467095375061,0.9128067493438721,0.9081828594207764,0.8294736742973328,0.8514605164527893,0.8670456409454346,0.272318959236145,0.9081828659239339,0.7381465517241379,2364.0,239.0,1370.0,486.0
8,0.836286187171936,0.8402664661407471,0.9132264852523804,0.9095826745033264,0.8259649276733398,0.8545680642127991,0.865759551525116,0.2733432948589325,0.9095826893353941,0.7349011223944415,2354.0,234.0,1375.0,496.0
9,0.8392016291618347,0.8352402448654175,0.9133636355400085,0.8936877250671387,0.8494736552238464,0.8210068345069885,0.8710198998451233,0.27412503957748413,0.893687707641196,0.7548571428571429,2421.0,288.0,1321.0,429.0
10,0.8394258618354797,0.8406928777694702,0.9137502908706665,0.9053951501846313,0.8361403346061707,0.8452454805374146,0.8693907856941223,0.275287926197052,0.9053951367781155,0.7443897099069513,2383.0,249.0,1360.0,467.0
11,0.8400986790657043,0.8368892073631287,0.9133855700492859,0.8958873748779297,0.848421037197113,0.8253573775291443,0.8715083599090576,0.2785470485687256,0.8958873656909967,0.7545454545454545,2418.0,281.0,1328.0,432.0
12,0.8380802869796753,0.8362574577331543,0.9136240482330322,0.8976083993911743,0.8428069949150085,0.8297079205513,0.86934494972229,0.2813619375228882,0.8976083707025411,0.7487380818844643,2402.0,274.0,1335.0,448.0
13,0.842789888381958,0.8377766609191895,0.9137368202209473,0.8937339782714844,0.8557894825935364,0.8197638392448425,0.8743502497673035,0.28577864170074463,0.8937339684866251,0.7624277456647399,2439.0,290.0,1319.0,411.0
14,0.840771496295929,0.83687424659729,0.9137518405914307,0.8948339223861694,0.8508771657943726,0.8228713274002075,0.8723021149635315,0.2896729111671448,0.8948339483394834,0.7570040022870211,2425.0,285.0,1324.0,425.0
15,0.8405472040176392,0.8356163501739502,0.9137229323387146,0.8924770355224609,0.8533333539962769,0.8178992867469788,0.8724663257598877,0.29708704352378845,0.8924770642201835,0.7589388696655133,2432.0,293.0,1316.0,418.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results
data_version: ppv4
target: surv_mo_36
table: cnn_tuning
table_extra: 
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 0.0001
weight_decay: 0.0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21696
run_name: CNN_20220820-1513
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36\CNN
