epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.8116169571876526,0.7778033018112183,0.8769088387489319,0.8225288987159729,0.8992982506752014,0.6563082933425903,0.8592022061347961,0.3314240574836731,0.8225288831835686,0.7862993298585257,2563.0,553.0,1056.0,287.0
1,0.8284368515014648,0.8039512634277344,0.8930611610412598,0.8476158976554871,0.8919298052787781,0.7159726619720459,0.8692083954811096,0.30662333965301514,0.8476158719573191,0.7890410958904109,2542.0,457.0,1152.0,308.0
2,0.8351648449897766,0.8140857219696045,0.8999596834182739,0.8576259613037109,0.8898245692253113,0.7383468151092529,0.8734285831451416,0.29583612084388733,0.8576259722691918,0.7909454061251664,2536.0,421.0,1188.0,314.0
3,0.8392016291618347,0.8200851678848267,0.9032951593399048,0.8636208772659302,0.8887719511985779,0.7513983845710754,0.8760159611701965,0.2895837128162384,0.8636208660075009,0.7922673656618611,2533.0,400.0,1209.0,317.0
4,0.8385288119316101,0.8183410167694092,0.9060940146446228,0.8612618446350098,0.8908771872520447,0.7458048462867737,0.875819206237793,0.2870761752128601,0.8612618724559024,0.7941760423560555,2539.0,409.0,1200.0,311.0
5,0.8389773368835449,0.8197743892669678,0.9078348875045776,0.8633264899253845,0.8887719511985779,0.7507768869400024,0.8758644461631775,0.2853774130344391,0.8633265167007498,0.7921311475409836,2533.0,401.0,1208.0,317.0
6,0.8376317620277405,0.8221046328544617,0.9095181822776794,0.869353711605072,0.8778947591781616,0.7663145065307617,0.8736034035682678,0.27903032302856445,0.8693537178596248,0.7798861480075902,2502.0,376.0,1233.0,348.0
7,0.8385288119316101,0.8232122659683228,0.9108215570449829,0.8703059554100037,0.8782455921173096,0.7681789994239807,0.8742577433586121,0.27789631485939026,0.8703059805285118,0.7807959570435882,2503.0,373.0,1236.0,347.0
8,0.8416685461997986,0.8262096643447876,0.9118767380714417,0.8719639182090759,0.8817543983459473,0.7706649899482727,0.8768317699432373,0.2767307758331299,0.8719639139486468,0.7863031071655041,2513.0,369.0,1240.0,337.0
9,0.840995728969574,0.8220299482345581,0.9124608039855957,0.8649846315383911,0.890175461769104,0.7538843750953674,0.8773993253707886,0.28142884373664856,0.8649846573474258,0.7948885976408913,2537.0,396.0,1213.0,313.0
10,0.8405472040176392,0.8230321407318115,0.9131091833114624,0.8673995137214661,0.8859649300575256,0.7600994110107422,0.8765839338302612,0.2792586386203766,0.8673995190656132,0.7900516795865633,2525.0,386.0,1223.0,325.0
11,0.840771496295929,0.8283495306968689,0.9138160943984985,0.8772919774055481,0.8729824423789978,0.78371661901474,0.8751319050788879,0.2733840048313141,0.8772919605077574,0.7769562538508934,2488.0,348.0,1261.0,362.0
12,0.8416685461997986,0.8281040787696838,0.9138193726539612,0.8756131529808044,0.8768420815467834,0.7793660759925842,0.8762272000312805,0.2757749557495117,0.8756131744919411,0.7813084112149533,2499.0,355.0,1254.0,351.0
13,0.8452568054199219,0.8275282382965088,0.9140880703926086,0.8698630332946777,0.8912280797958374,0.763828456401825,0.8804159760475159,0.28085440397262573,0.8698630136986302,0.7985705003248863,2540.0,380.0,1229.0,310.0
14,0.8436869382858276,0.8276532888412476,0.914258599281311,0.872105062007904,0.8852631449699402,0.7700434923171997,0.8786348104476929,0.2808223366737366,0.8721050812305565,0.7911877394636015,2523.0,370.0,1239.0,327.0
15,0.8445839881896973,0.8271372318267822,0.9138137102127075,0.8699828386306763,0.8898245692253113,0.764449954032898,0.8797919154167175,0.28587114810943604,0.8699828473413379,0.7966321243523317,2536.0,379.0,1230.0,314.0
16,0.8416685461997986,0.8264803290367126,0.9131454825401306,0.8724808692932129,0.8810526132583618,0.7719080448150635,0.8767458200454712,0.2861817181110382,0.8724808895066019,0.7855787476280834,2511.0,367.0,1242.0,339.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results
data_version: ppv4
target: surv_mo_36
table: cnn_tuning
table_extra: 
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.8
lr: 0.0001
weight_decay: 0.0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21696
run_name: CNN_20220820-1710
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36\CNN
