epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.8010764718055725,0.7819970846176147,0.8672183752059937,0.8398613333702087,0.850772500038147,0.7132216095924377,0.8452817797660828,0.34661009907722473,0.8398613518197574,0.729987293519695,2423.0,462.0,1149.0,425.0
1,0.7999551296234131,0.811180591583252,0.8901454210281372,0.9018077254295349,0.7707163095474243,0.8516449332237244,0.8311246037483215,0.30535078048706055,0.9018077239112572,0.6775308641975308,2195.0,239.0,1372.0,653.0
2,0.82798832654953,0.8266552090644836,0.9008301496505737,0.8919020891189575,0.8314606547355652,0.8218497633934021,0.8606215119361877,0.2868529260158539,0.8919020715630885,0.7339246119733924,2368.0,287.0,1324.0,480.0
3,0.8326979279518127,0.8314204812049866,0.9038187265396118,0.8951127529144287,0.8360252976417542,0.826815664768219,0.8645606637001038,0.2832716405391693,0.8951127819548872,0.7404113396331296,2381.0,279.0,1332.0,467.0
4,0.8326979279518127,0.832903265953064,0.9069387912750244,0.8984078764915466,0.8321629166603088,0.8336436748504639,0.8640174865722656,0.27865278720855713,0.8984078847611827,0.7375068643602416,2370.0,268.0,1343.0,478.0
5,0.8347163200378418,0.8355618119239807,0.9096806049346924,0.901178240776062,0.8325140476226807,0.8386095762252808,0.8654863834381104,0.2746482491493225,0.9011782592170278,0.7390590809628009,2371.0,260.0,1351.0,477.0
6,0.834492027759552,0.8371387124061584,0.9105750322341919,0.9051459431648254,0.8275983333587646,0.8466790914535522,0.8646368980407715,0.2725955843925476,0.9051459293394777,0.7353099730458221,2357.0,247.0,1364.0,491.0
7,0.8454810380935669,0.8387314081192017,0.9112899303436279,0.8915488123893738,0.863061785697937,0.8144009709358215,0.8770740628242493,0.27387285232543945,0.8915487849111353,0.7708578143360753,2458.0,299.0,1312.0,390.0
8,0.8421170711517334,0.8367719650268555,0.9099556803703308,0.8923865556716919,0.8560393452644348,0.8175046443939209,0.8738350868225098,0.27515003085136414,0.8923865300146413,0.7625940938042849,2438.0,294.0,1317.0,410.0
9,0.8380802869796753,0.8353643417358398,0.9109543561935425,0.8954613208770752,0.8451545238494873,0.8255741596221924,0.8695809841156006,0.27337130904197693,0.8954613095238095,0.7509881422924901,2407.0,281.0,1330.0,441.0
10,0.8392016291618347,0.8355680704116821,0.9117820858955383,0.8941916227340698,0.848665714263916,0.822470486164093,0.8708340525627136,0.2728392481803894,0.8941916389197189,0.7545558086560364,2417.0,286.0,1325.0,431.0
11,0.8392016291618347,0.8359725475311279,0.911580502986908,0.8950685858726501,0.8476123809814453,0.8243327140808105,0.8706942796707153,0.2747916281223297,0.8950685947348906,0.753688989784336,2414.0,283.0,1328.0,434.0
12,0.8383045792579651,0.8262383937835693,0.909700870513916,0.8761938214302063,0.8697331547737122,0.7827436327934265,0.8729515075683594,0.28287822008132935,0.8761938450654404,0.772671568627451,2477.0,350.0,1261.0,371.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results
data_version: ppv4
target: surv_mo_36
table: survival_dif_lengths
table_extra: 36
dataset: SCAR
debug: False
bidirectional: True
num_layers: 1
hidden_dim: 512
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.2
lr: 5e-05
batch_size: 16
embed_droprate: 0.2
wdrop: 0.3
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 21689
run_name: LSTM_20220929-1840
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36\LSTM
