epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.8033191561698914,0.7866024971008301,0.8709428310394287,0.845776379108429,0.846666693687439,0.7265382409095764,0.8462212681770325,0.3488296568393707,0.84577637574483,0.727895392278954,2413.0,440.0,1169.0,437.0
1,0.8232787847518921,0.8164243698120117,0.8901091814041138,0.8773792386054993,0.8410526514053345,0.7917961478233337,0.8588319420814514,0.3038868308067322,0.8773792093704246,0.7376954255935148,2397.0,335.0,1274.0,453.0
2,0.8360618948936462,0.8162758946418762,0.8992973566055298,0.8604967594146729,0.8873684406280518,0.7451833486557007,0.8737260103225708,0.29690122604370117,0.86049676760803,0.7888157894736842,2529.0,410.0,1199.0,321.0
3,0.8369589447975159,0.8223901987075806,0.9040389060974121,0.8707649111747742,0.8747368454933167,0.7700434923171997,0.8727463483810425,0.28626561164855957,0.8707649318896262,0.7763157894736842,2493.0,370.0,1239.0,357.0
4,0.8403229713439941,0.823533296585083,0.90723717212677,0.8686206936836243,0.8838596343994141,0.763206958770752,0.8761739134788513,0.2839818596839905,0.8686206896551724,0.7876844130853111,2519.0,381.0,1228.0,331.0
5,0.836510419845581,0.8132439255714417,0.9074456095695496,0.8545637130737305,0.8968421220779419,0.7296457290649414,0.8751926422119141,0.29705435037612915,0.8545636910732196,0.7997275204359673,2556.0,435.0,1174.0,294.0
6,0.8412200212478638,0.8190931081771851,0.9080560803413391,0.8593959808349609,0.898596465587616,0.7395898103713989,0.8785591125488281,0.2931039035320282,0.8593959731543624,0.8045977011494253,2561.0,419.0,1190.0,289.0
7,0.8421170711517334,0.824530839920044,0.9073179364204407,0.8682223558425903,0.8877192735671997,0.761342465877533,0.8778625726699829,0.28788092732429504,0.8682223747426219,0.7928802588996764,2530.0,384.0,1225.0,320.0
8,0.842789888381958,0.8242453336715698,0.9085026383399963,0.8668487668037415,0.8908771872520447,0.7576134204864502,0.8786987066268921,0.2911430597305298,0.8668487538409013,0.7967320261437908,2539.0,390.0,1219.0,311.0
9,0.8380802869796753,0.8197492361068726,0.9063572287559509,0.8643835783004761,0.8856140375137329,0.7538843750953674,0.8748700022697449,0.29948690533638,0.8643835616438356,0.788174139051332,2524.0,396.0,1213.0,326.0
10,0.8385288119316101,0.8191529512405396,0.9056113958358765,0.8627384305000305,0.8887719511985779,0.7495338916778564,0.8755617141723633,0.3035440742969513,0.8627384196185286,0.7918581746552856,2533.0,403.0,1206.0,317.0
11,0.8351648449897766,0.8123266100883484,0.900981068611145,0.8545088768005371,0.8943859934806824,0.7302672266960144,0.8739928007125854,0.3157598674297333,0.8545088836741536,0.7960704607046071,2549.0,434.0,1175.0,301.0
12,0.8331464529037476,0.8180545568466187,0.9007213711738586,0.8674110174179077,0.8722807168960571,0.763828456401825,0.8698390126228333,0.30807992815971375,0.8674110258199581,0.7715003138731952,2486.0,380.0,1229.0,364.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results
data_version: ppv4
target: surv_mo_36
table: lstm_tuning
table_extra: 
dataset: SCAR
debug: False
bidirectional: True
num_layers: 1
hidden_dim: 512
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.2
lr: 5e-05
batch_size: 16
embed_droprate: 0.1
wdrop: 0.3
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 21696
run_name: LSTM_20220830-0644
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36\LSTM
