epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.7517380714416504,0.7719610929489136,0.8660776615142822,0.888542115688324,0.6992982625961304,0.8446239829063416,0.7826428413391113,0.35885849595069885,0.8885421310744539,0.6132671480144405,1993.0,250.0,1359.0,857.0
1,0.7739403247833252,0.7937948703765869,0.8871246576309204,0.9046573042869568,0.722456157207489,0.8651336431503296,0.8033554553985596,0.3133702576160431,0.9046572934973638,0.6376546037562987,2059.0,217.0,1392.0,791.0
2,0.7970396876335144,0.8132182359695435,0.8993346691131592,0.9122509360313416,0.7550877332687378,0.8713486790657043,0.8262622356414795,0.30108460783958435,0.9122509537939805,0.6676190476190477,2152.0,207.0,1402.0,698.0
3,0.8201390504837036,0.8262817859649658,0.9027608036994934,0.9037854671478271,0.8042105436325073,0.8483530282974243,0.85109543800354,0.28907060623168945,0.9037854889589906,0.7098283931357254,2292.0,244.0,1365.0,558.0
4,0.8217089176177979,0.8317045569419861,0.9072083234786987,0.9141474962234497,0.7957894802093506,0.8676196336746216,0.850872278213501,0.28243178129196167,0.9141475211608222,0.7057633973710818,2268.0,213.0,1396.0,582.0
5,0.8102713823318481,0.8273578882217407,0.9104220867156982,0.9242167472839355,0.765964925289154,0.8887507915496826,0.8376822471618652,0.28639474511146545,0.9242167654530059,0.681926561754888,2183.0,179.0,1430.0,667.0
6,0.8284368515014648,0.8338555097579956,0.9112594127655029,0.9077043533325195,0.8143859505653381,0.8533250689506531,0.8585168123245239,0.27499303221702576,0.9077043410246383,0.7218717139852786,2321.0,236.0,1373.0,529.0
7,0.8161022663116455,0.8286716938018799,0.9109576344490051,0.9166666865348816,0.7835087776184082,0.8738346695899963,0.8448732495307922,0.2770988941192627,0.9166666666666666,0.6950074147305981,2233.0,203.0,1406.0,617.0
8,0.8266427516937256,0.8338051438331604,0.9120850563049316,0.9106366038322449,0.808070182800293,0.8595401048660278,0.8562929034233093,0.27686700224876404,0.9106366152629498,0.716580310880829,2303.0,226.0,1383.0,547.0
9,0.8322494029998779,0.8342670202255249,0.9110865592956543,0.9023736715316772,0.8270175457000732,0.8415164947509766,0.8630538582801819,0.27827298641204834,0.9023736600306279,0.7330806713589605,2357.0,255.0,1354.0,493.0
10,0.8284368515014648,0.8349379897117615,0.9130297899246216,0.9102715253829956,0.8115789294242859,0.8582970499992371,0.8580968379974365,0.2723374366760254,0.910271546635183,0.7200208550573514,2313.0,228.0,1381.0,537.0
11,0.8217089176177979,0.8333283066749573,0.9124348163604736,0.9181929230690002,0.7915789484977722,0.8750776648521423,0.8501978516578674,0.2812795341014862,0.9181929181929182,0.7032967032967034,2256.0,201.0,1408.0,594.0
12,0.8039919137954712,0.8244752883911133,0.9104553461074829,0.9288194179534912,0.7508772015571594,0.8980733156204224,0.8304229378700256,0.30938875675201416,0.9288194444444444,0.6705336426914154,2140.0,164.0,1445.0,710.0
13,0.8349405527114868,0.836913526058197,0.9097443222999573,0.9040519595146179,0.8298245668411255,0.8440024852752686,0.8653494119644165,0.28314515948295593,0.9040519877675841,0.7368421052631579,2365.0,251.0,1358.0,485.0
14,0.8116169571876526,0.826380729675293,0.9090742468833923,0.9190992712974548,0.7733333110809326,0.8794282078742981,0.8399389982223511,0.2963314950466156,0.9190992493744787,0.6865599223677826,2204.0,194.0,1415.0,646.0
15,0.8219331502914429,0.8306621313095093,0.9083726406097412,0.9111999869346619,0.7992982268333435,0.8620260953903198,0.851588785648346,0.28828710317611694,0.9112,0.708014293006636,2278.0,222.0,1387.0,572.0
16,0.8078044652938843,0.8231276869773865,0.9055880904197693,0.9178196787834167,0.7680701613426208,0.8781852126121521,0.8362941741943359,0.3039144277572632,0.9178197064989518,0.6812921890067503,2189.0,196.0,1413.0,661.0
17,0.8134110569953918,0.825078010559082,0.9046597480773926,0.9125102162361145,0.7831578850746155,0.8669981360435486,0.842900276184082,0.3044796884059906,0.9125102207686018,0.6929955290611028,2232.0,214.0,1395.0,618.0
18,0.8143081665039062,0.8230735063552856,0.9025427103042603,0.9060240983963013,0.7915789484977722,0.8545680642127991,0.8449438810348511,0.3077598810195923,0.9060240963855422,0.6983240223463687,2256.0,234.0,1375.0,594.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results
data_version: ppv4
target: surv_mo_36
table: lstm_tuning
table_extra: 
dataset: SCAR
debug: False
bidirectional: True
num_layers: 1
hidden_dim: 512
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.2
lr: 5e-05
batch_size: 16
embed_droprate: 0.2
wdrop: 0.3
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 21696
run_name: LSTM_20220901-1638
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36\LSTM
