epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.7822381854057312,0.7862135171890259,0.8691167831420898,0.8726695775985718,0.7719298005104065,0.8004971742630005,0.8192142844200134,0.3652316927909851,0.8726695755652519,0.6646026831785345,2200.0,321.0,1288.0,650.0
1,0.7983852624893188,0.807234525680542,0.886336088180542,0.8950992226600647,0.7754386067390442,0.8390304446220398,0.8309832811355591,0.31533655524253845,0.8950992304576751,0.678391959798995,2210.0,259.0,1350.0,640.0
2,0.8075801730155945,0.8171337842941284,0.8935126066207886,0.9032388925552368,0.7828069925308228,0.8514605164527893,0.8387218117713928,0.3052420914173126,0.9032388663967611,0.6887883358471594,2231.0,239.0,1370.0,619.0
3,0.8219331502914429,0.8298503160476685,0.9038835167884827,0.9092356562614441,0.8014035224914551,0.8582970499992371,0.8519209027290344,0.28553393483161926,0.9092356687898089,0.70929635336415,2284.0,228.0,1381.0,566.0
4,0.8356133699417114,0.836492657661438,0.9072898626327515,0.9020128846168518,0.8333333134651184,0.8396519422531128,0.8663140535354614,0.2786710858345032,0.9020129130269654,0.73986856516977,2375.0,258.0,1351.0,475.0
5,0.8403229713439941,0.8361174464225769,0.910502552986145,0.8938835859298706,0.8512280583381653,0.8210068345069885,0.8720344305038452,0.2735764980316162,0.8938835666912307,0.7570200573065903,2426.0,288.0,1321.0,424.0
6,0.8378559947013855,0.837029218673706,0.9118338823318481,0.8996617794036865,0.8399999737739563,0.834058403968811,0.868807852268219,0.2710231840610504,0.8996617812852311,0.746384872080089,2394.0,267.0,1342.0,456.0
7,0.8421170711517334,0.8373856544494629,0.9129763841629028,0.8939059972763062,0.8543859720230103,0.8203853368759155,0.8736993074417114,0.2698749005794525,0.893906020558003,0.760806916426513,2435.0,289.0,1320.0,415.0
8,0.8414442539215088,0.8378065228462219,0.9139533042907715,0.8958256244659424,0.8508771657943726,0.8247358798980713,0.8727730512619019,0.26807624101638794,0.8958256372367935,0.757420091324201,2425.0,282.0,1327.0,425.0
9,0.8403229713439941,0.8428831100463867,0.9137241244316101,0.9089518189430237,0.8336842060089111,0.8520820140838623,0.8696925640106201,0.26901471614837646,0.9089517980107116,0.7430894308943089,2376.0,238.0,1371.0,474.0
10,0.8383045792579651,0.8395451307296753,0.9139727354049683,0.9045990109443665,0.8350877165794373,0.8440024852752686,0.86845463514328,0.2677573561668396,0.9045990117825922,0.7428884026258206,2380.0,251.0,1358.0,470.0
11,0.8398743867874146,0.8429381847381592,0.9137650728225708,0.909823477268219,0.8319298028945923,0.8539465665817261,0.8691348433494568,0.2697332203388214,0.9098234842670759,0.7415002698327037,2371.0,235.0,1374.0,479.0
12,0.836286187171936,0.836071789264679,0.912230372428894,0.8999999761581421,0.8368421196937561,0.8353014588356018,0.8672727346420288,0.27441534399986267,0.9,0.7429519071310116,2385.0,265.0,1344.0,465.0
13,0.8389773368835449,0.8276225924491882,0.9124492406845093,0.8782824873924255,0.8684210777282715,0.786824107170105,0.873323917388916,0.27707889676094055,0.8782824698367636,0.7714808043875686,2475.0,343.0,1266.0,375.0
14,0.8389773368835449,0.8308701515197754,0.9103984832763672,0.8848375678062439,0.8600000143051147,0.8017402291297913,0.8722420930862427,0.28835800290107727,0.8848375451263538,0.7637655417406749,2451.0,319.0,1290.0,399.0
15,0.8356133699417114,0.8187665939331055,0.9106940031051636,0.8656303882598877,0.8792982697486877,0.7582349181175232,0.8724108338356018,0.29203811287879944,0.8656303972366148,0.7800511508951407,2506.0,389.0,1220.0,344.0
16,0.8358376026153564,0.8278726935386658,0.9095112085342407,0.8831403851509094,0.856491208076477,0.7992541790008545,0.8696116209030151,0.2875592112541199,0.8831403762662807,0.7587020648967552,2441.0,323.0,1286.0,409.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results
data_version: ppv4
target: surv_mo_36
table: survival_dif_lengths
table_extra: 36
dataset: SCAR
debug: False
bidirectional: True
num_layers: 1
hidden_dim: 512
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.2
lr: 5e-05
batch_size: 16
embed_droprate: 0.2
wdrop: 0.3
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 21696
run_name: LSTM_20220909-1806
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_36\LSTM
