epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.8710217475891113,0.5,0.46157747507095337,0.8710217475891113,1.0,0.0,0.9310653209686279,0.0,0.8710217475891113,0.0,4160.0,616.0,0.0,0.0,0.0
1,0.7615159153938293,0.5387893319129944,0.5802104473114014,0.8815357685089111,0.838942289352417,0.23863635957241058,0.859711766242981,0.0,0.8815357685089111,0.1799265593290329,3490.0,469.0,147.0,670.0,1.0
2,0.64405357837677,0.6290225386619568,0.6907619833946228,0.9180829524993896,0.6492788195610046,0.6087662577629089,0.76063072681427,0.0,0.9180829524993896,0.20447109639644623,2701.0,241.0,375.0,1459.0,2.0
3,0.6878140568733215,0.7156858444213867,0.7850360870361328,0.9488731622695923,0.6781250238418579,0.7532467246055603,0.7909715175628662,0.0,0.9488731622695923,0.2573488652706146,2821.0,152.0,464.0,1339.0,3.0
4,0.6683416962623596,0.76535964012146,0.8413363695144653,0.976331353187561,0.6346153616905212,0.8961039185523987,0.7692307829856873,0.0,0.976331353187561,0.2664092779159546,2640.0,64.0,552.0,1520.0,4.0
5,0.7202680110931396,0.7813373804092407,0.8603837490081787,0.9719251394271851,0.6990384459495544,0.8636363744735718,0.8131991028785706,0.0,0.9719251394271851,0.29820626974105835,2908.0,84.0,532.0,1252.0,5.0
6,0.7208961248397827,0.794144868850708,0.8750191330909729,0.9776951670646667,0.6954326629638672,0.8928571343421936,0.8127545714378357,0.0,0.9776951670646667,0.30269676446914673,2893.0,66.0,550.0,1267.0,6.0
7,0.7386934757232666,0.8071272373199463,0.8846040964126587,0.9795783758163452,0.7149038314819336,0.899350643157959,0.8265702724456787,0.0,0.9795783758163452,0.318390816450119,2974.0,62.0,554.0,1186.0,7.0
8,0.7973199486732483,0.8151957392692566,0.8936828374862671,0.9707964658737183,0.7911057472229004,0.8392857313156128,0.8717880845069885,0.0,0.9707964658737183,0.3730158805847168,3291.0,99.0,517.0,869.0,8.0
9,0.7527219653129578,0.8179460763931274,0.8988116979598999,0.9812601208686829,0.7300480604171753,0.9058441519737244,0.8372157216072083,0.0,0.9812601208686829,0.3319452702999115,3037.0,58.0,558.0,1123.0,9.0
10,0.7841289639472961,0.8214535713195801,0.9023531675338745,0.9759659171104431,0.7711538672447205,0.8717532753944397,0.8615549802780151,0.0,0.9759659171104431,0.36064472794532776,3208.0,79.0,537.0,952.0,10.0
11,0.7835008502006531,0.8293908834457397,0.9047120809555054,0.9794478416442871,0.7675480842590332,0.8912337422370911,0.8606469035148621,0.0,0.9794478416442871,0.36213719844818115,3193.0,67.0,549.0,967.0,11.0
12,0.82097989320755,0.8260115385055542,0.9073149561882019,0.9706636071205139,0.8192307949066162,0.8327922224998474,0.8885413408279419,0.0,0.9706636071205139,0.4055335819721222,3408.0,103.0,513.0,752.0,12.0
13,0.8377302885055542,0.830786406993866,0.9094920754432678,0.9694868326187134,0.8401442170143127,0.8214285969734192,0.9001930952072144,0.0,0.9694868326187134,0.4321092963218689,3495.0,110.0,506.0,665.0,13.0
14,0.7598408460617065,0.8275645971298218,0.910469651222229,0.9839383363723755,0.7362980842590332,0.9188311696052551,0.8422934412956238,0.0,0.9839383363723755,0.3403487801551819,3063.0,50.0,566.0,1097.0,14.0
15,0.7485343217849731,0.825914740562439,0.911555290222168,0.9858784675598145,0.7216346263885498,0.9301947951316833,0.8333101868629456,0.0,0.9858784675598145,0.3310225307941437,3002.0,43.0,573.0,1158.0,15.0
16,0.7908291220664978,0.8349806070327759,0.9130291938781738,0.9802491664886475,0.7754807472229004,0.8944805264472961,0.865924060344696,0.0,0.9802491664886475,0.37104377150535583,3226.0,65.0,551.0,934.0,16.0
17,0.8050670027732849,0.8369302749633789,0.9132398962974548,0.9780870676040649,0.7939903736114502,0.8798701167106628,0.8764760494232178,0.0,0.9780870676040649,0.38741958141326904,3303.0,74.0,542.0,857.0,17.0
18,0.7719849348068237,0.8303868174552917,0.9115208983421326,0.9824065566062927,0.751682698726654,0.9090909361839294,0.8516955375671387,0.0,0.9824065566062927,0.3515379726886749,3127.0,56.0,560.0,1033.0,18.0
19,0.8387772440910339,0.8306958675384521,0.9118014574050903,0.9692690968513489,0.8415865302085876,0.8198052048683167,0.900926411151886,0.0,0.9692690968513489,0.4338487982749939,3501.0,111.0,505.0,659.0,19.0
20,0.8329145908355713,0.8314794301986694,0.9102362394332886,0.9706047177314758,0.8334134817123413,0.8295454382896423,0.8967925906181335,0.0,0.9706047177314758,0.4244185984134674,3467.0,105.0,511.0,693.0,20.0
21,0.8136515617370605,0.8314856886863708,0.9098787307739258,0.9741879105567932,0.8074519038200378,0.8555194735527039,0.8830178380012512,0.0,0.9741879105567932,0.39683735370635986,3359.0,89.0,527.0,801.0,21.0
22,0.8216080665588379,0.8291380405426025,0.909421443939209,0.9717627167701721,0.8189904093742371,0.8392857313156128,0.8888599276542664,0.0,0.9717627167701721,0.4070866107940674,3407.0,99.0,517.0,753.0,22.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results
data_version: ppv4
target: surv_mo_6
table: bert_tuning
table_extra: 
dataset: SCAR
debug: False
max_tokens: 512
lr: 5e-05
weight_decay: 0.001
batch_size: 8
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
count_tokens: False
device: cuda:0
run_name: BERT_20220927-0648
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_6
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_6\BERT
