epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.12897822260856628,0.5,0.44208937883377075,0.0,0.0,1.0,0.0,0.0,0.0,0.12897822260856628,0.0,0.0,616.0,4160.0,0.0
1,0.214405357837677,0.5151551961898804,0.5705605149269104,0.9031620621681213,0.1098557710647583,0.9204545617103577,0.19588512182235718,0.0,0.9031620621681213,0.13278688490390778,457.0,49.0,567.0,3703.0,1.0
2,0.41813233494758606,0.643166184425354,0.7494208812713623,0.9771941900253296,0.3399038314819336,0.9464285969734192,0.5043694972991943,0.0,0.9771941900253296,0.17512767016887665,1414.0,33.0,583.0,2746.0,2.0
3,0.5613484382629395,0.7184628248214722,0.8239412903785706,0.9800093173980713,0.5067307949066162,0.9301947951316833,0.6680399775505066,0.0,0.9800093173980713,0.2182857096195221,2108.0,43.0,573.0,2052.0,3.0
4,0.679648220539093,0.7753075361251831,0.8482849597930908,0.9785298109054565,0.6463942527770996,0.9042207598686218,0.7785176634788513,0.0,0.9785298109054565,0.2746548354625702,2689.0,59.0,557.0,1471.0,4.0
5,0.6693885922431946,0.7756415605545044,0.8641397953033447,0.9813502430915833,0.6324519515037537,0.9188311696052551,0.7691857814788818,0.0,0.9813502430915833,0.2701670527458191,2631.0,50.0,566.0,1529.0,5.0
6,0.6963986754417419,0.7925293445587158,0.8794002532958984,0.9828938245773315,0.6629807949066162,0.9220778942108154,0.7918460965156555,0.0,0.9828938245773315,0.28832486271858215,2758.0,48.0,568.0,1402.0,6.0
7,0.7208961248397827,0.8059003353118896,0.890755295753479,0.9832478761672974,0.6913461685180664,0.9204545617103577,0.8118560314178467,0.0,0.9832478761672974,0.3063209056854248,2876.0,49.0,567.0,1284.0,7.0
8,0.7393215894699097,0.8150942325592041,0.8974021673202515,0.9830957651138306,0.7129807472229004,0.9172077775001526,0.8265291452407837,0.0,0.9830957651138306,0.3212052285671234,2966.0,51.0,565.0,1194.0,8.0
9,0.7610971331596375,0.8241368532180786,0.9032537937164307,0.982114315032959,0.739182710647583,0.9090909361839294,0.8435056805610657,0.0,0.982114315032959,0.3404255211353302,3075.0,56.0,560.0,1085.0,9.0
10,0.7357621192932129,0.8192744851112366,0.9047284722328186,0.98591548204422,0.7067307829856873,0.9318181872367859,0.8232988119125366,0.0,0.98591548204422,0.31995540857315063,2940.0,42.0,574.0,1220.0,10.0
11,0.7100083827972412,0.8120973110198975,0.9059140086174011,0.9890729784965515,0.6745192408561707,0.9496753215789795,0.8020580410957336,0.0,0.9890729784965515,0.3017019033432007,2806.0,31.0,585.0,1354.0,11.0
12,0.7629815936088562,0.8307504653930664,0.9092844724655151,0.984635055065155,0.7394230961799622,0.9220778942108154,0.8445909023284912,0.0,0.984635055065155,0.34382566809654236,3076.0,48.0,568.0,1084.0,12.0
13,0.783710241317749,0.8336601257324219,0.910645604133606,0.9812250137329102,0.7663461565971375,0.9009740352630615,0.8605749607086182,0.0,0.9812250137329102,0.3634577691555023,3188.0,61.0,555.0,972.0,13.0
14,0.8042294979095459,0.8323005437850952,0.9123259782791138,0.9763663411140442,0.7944711446762085,0.8701298832893372,0.876076877117157,0.0,0.9763663411140442,0.3853342831134796,3305.0,80.0,536.0,855.0,14.0
15,0.839405357837677,0.8324394226074219,0.9111263751983643,0.9698144793510437,0.8418269157409668,0.823051929473877,0.9012996554374695,0.0,0.9698144793510437,0.43519312143325806,3502.0,109.0,507.0,658.0,15.0
16,0.7742881178855896,0.8330919146537781,0.9117223024368286,0.9830721020698547,0.7538461685180664,0.9123376607894897,0.8533333539962769,0.0,0.9830721020698547,0.35435056686401367,3136.0,54.0,562.0,1024.0,16.0
17,0.7881072163581848,0.8299606442451477,0.9104493260383606,0.9787104725837708,0.7735576629638672,0.8863636255264282,0.864124596118927,0.0,0.9787104725837708,0.36693549156188965,3218.0,70.0,546.0,942.0,17.0
18,0.8088358640670776,0.8294128179550171,0.910317063331604,0.9742915630340576,0.801682710647583,0.8571428656578064,0.8795990943908691,0.0,0.9742915630340576,0.39024388790130615,3335.0,88.0,528.0,825.0,18.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results
data_version: ppv4
target: surv_mo_6
table: bert_tuning
table_extra: 
dataset: SCAR
debug: False
max_tokens: 512
lr: 5e-05
weight_decay: 0.0
batch_size: 8
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
count_tokens: False
device: cuda:0
run_name: BERT_20220928-0901
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_6
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_6\BERT
