epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.5694102048873901,0.5002602934837341,0.48606976866722107,0.5693135857582092,1.0,0.7255575060844421,0.0,0.0
1,0.5328549146652222,0.5347775816917419,0.5525683164596558,0.6039287447929382,0.5208826065063477,0.5593399405479431,0.0,1.0
2,0.5862300992012024,0.5708447694778442,0.5877176523208618,0.6251354217529297,0.682033121585846,0.6523459553718567,0.0,2.0
3,0.5828661322593689,0.5692816972732544,0.6104341745376587,0.6250922679901123,0.6674546599388123,0.6455792188644409,0.0,3.0
4,0.5927338004112244,0.5680789947509766,0.6161169409751892,0.6177430152893066,0.7462568879127502,0.6759458184242249,0.0,4.0
5,0.5909397006034851,0.5843466520309448,0.6260912418365479,0.6431435346603394,0.6319937109947205,0.637519896030426,0.0,5.0
6,0.5969948172569275,0.5980181694030762,0.6366502642631531,0.6641559600830078,0.5906225442886353,0.6252346038818359,0.0,6.0
7,0.5846602320671082,0.6007871627807617,0.6434608697891235,0.693566620349884,0.4842395484447479,0.5703016519546509,0.0,7.0
8,0.610675036907196,0.6049734354019165,0.649128794670105,0.6618240475654602,0.6461780667304993,0.6539074778556824,0.0,8.0
9,0.5886970162391663,0.6063580513000488,0.6516393423080444,0.7039397358894348,0.478723406791687,0.5698873996734619,0.0,9.0
10,0.6198699474334717,0.6131772398948669,0.6565037965774536,0.6675944328308105,0.6615445017814636,0.6645556688308716,0.0,10.0
11,0.6008073687553406,0.6114281415939331,0.6587958931922913,0.6937627792358398,0.5346729755401611,0.603916347026825,0.0,11.0
12,0.6030499935150146,0.6125123500823975,0.6558907628059387,0.6925776600837708,0.5441292524337769,0.6094439625740051,0.0,12.0
13,0.6200941801071167,0.6138805150985718,0.6532895565032959,0.6688000559806824,0.6587864756584167,0.6637555360794067,0.0,13.0
14,0.6158331632614136,0.5897626280784607,0.6493425369262695,0.6320000290870667,0.7781717777252197,0.6975102424621582,0.0,14.0
15,0.6147118210792542,0.6006101369857788,0.6477746367454529,0.6493080854415894,0.7025216221809387,0.6748674511909485,0.0,15.0
16,0.5669432878494263,0.5902224779129028,0.6429874300956726,0.6977198719978333,0.42198577523231506,0.525902271270752,0.0,16.0
17,0.580399215221405,0.5877425670623779,0.6314452290534973,0.6629213690757751,0.5346729755401611,0.5919302105903625,0.0,17.0
18,0.6005830764770508,0.5924382209777832,0.6333651542663574,0.6484895944595337,0.6513002514839172,0.6498918533325195,0.0,18.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: need_emots_1
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
