epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6203184570531509,0.5919942947366608,0.5919942947366608,0.6203184570531509,0.6203184570531509,0.6203184570531509,0.0
1,0.6263736263736264,0.5975665460225806,0.5975665460225807,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0
2,0.6283920161471181,0.598643564206159,0.598643564206159,0.6283920161471181,0.6283920161471181,0.6283920161471181,0.0
3,0.6189728638708231,0.5897365766532978,0.5897365766532978,0.6189728638708231,0.6189728638708231,0.6189728638708231,0.0
4,0.6243552366001346,0.5955403940274409,0.595540394027441,0.6243552366001346,0.6243552366001346,0.6243552366001346,0.0
5,0.6216640502354788,0.5931130522461501,0.5931130522461501,0.6216640502354788,0.6216640502354788,0.6216640502354788,0.0
6,0.6292890782686701,0.601962609768274,0.6019626097682739,0.6292890782686701,0.6292890782686701,0.6292890782686701,0.0
7,0.6281677506167302,0.6011041333623766,0.6011041333623766,0.6281677506167302,0.6281677506167302,0.6281677506167302,0.0
8,0.6227853778874187,0.59390825306461,0.59390825306461,0.6227853778874187,0.6227853778874187,0.6227853778874187,0.0
9,0.6232339089481946,0.597276216706478,0.597276216706478,0.6232339089481946,0.6232339089481946,0.6232339089481946,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
