epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5701377908290038,0.5597908315168325,0.5597908315168326,0.5701377908290038,0.5701377908290038,0.5701377908290038,0.5897801934386329
1,0.5868533995934041,0.5657641602771765,0.5657641602771765,0.5868533995934041,0.5868533995934041,0.5868533995934041,0.5794238876953399
2,0.608086740456291,0.5778800156336303,0.5778800156336303,0.608086740456291,0.608086740456291,0.608086740456291,0.5755167208987174
3,0.6123785859498532,0.5844001676577817,0.5844001676577816,0.6123785859498532,0.6123785859498532,0.6123785859498532,0.5721175042416552
4,0.6112491529252315,0.5804007095903331,0.5804007095903332,0.6112491529252315,0.6112491529252315,0.6112491529252315,0.574095784116992
5,0.6150892252089452,0.5902999276174572,0.5902999276174572,0.6150892252089452,0.6150892252089452,0.6150892252089452,0.577204300559682
6,0.6107973797153828,0.5874915140937843,0.5874915140937843,0.6107973797153828,0.6107973797153828,0.6107973797153828,0.5870719382659995
7,0.604698441382426,0.5828404466489879,0.5828404466489879,0.604698441382426,0.604698441382426,0.604698441382426,0.6045013376705938
8,0.6028913485430314,0.5771580632446109,0.5771580632446109,0.6028913485430314,0.6028913485430314,0.6028913485430314,0.6293758942926531
9,0.606731420826745,0.5822576194176681,0.5822576194176681,0.606731420826745,0.606731420826745,0.606731420826745,0.6537241768493927
10,0.6101197199006099,0.5855526067913056,0.5855526067913056,0.6101197199006099,0.6101197199006099,0.6101197199006099,0.6773174152099829

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
