epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.6122449040412903,0.6219183206558228,0.6657945513725281,0.7029603719711304,0.5520094633102417,0.6184065341949463,0.0,0.0
1,0.6209912300109863,0.6236536502838135,0.665539026260376,0.6909909844398499,0.6044129133224487,0.6448087096214294,0.0,1.0
2,0.6187486052513123,0.6226959824562073,0.6652477383613586,0.6923783421516418,0.5941686630249023,0.6395250558853149,0.0,2.0
3,0.6225610971450806,0.6174396276473999,0.6643106937408447,0.6732873916625977,0.6544523239135742,0.6637362241744995,0.0,3.0
4,0.6158331632614136,0.6175405979156494,0.6642017364501953,0.6835781335830688,0.6052009463310242,0.6420063376426697,0.0,4.0
5,0.6162816882133484,0.6159730553627014,0.6624279022216797,0.6789268851280212,0.6182032823562622,0.6471437811851501,0.0,5.0
6,0.6160573959350586,0.6176743507385254,0.6625902652740479,0.683555543422699,0.6059889793395996,0.6424394249916077,0.0,6.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1
dataset: SCAR
debug: False
load_ckpt: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_1\Longformer\default\version_38\Longformer--epoch=22_val_bal_val_bal=0.62.ckpt
lr: 0.0001
weight_decay: 0
max_tokens: 4096
attention_window: 512
pretrained_file: allenai/longformer-base-4096
