epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.5351881980895996,0.5,0.5151075124740601,0.5351881980895996,1.0,0.6972281336784363,0.0,0.0
1,0.5139116048812866,0.5280451774597168,0.5242171883583069,0.58152174949646,0.32721713185310364,0.4187866747379303,0.0,1.0
2,0.5548281669616699,0.5530753135681152,0.574589729309082,0.5851393342018127,0.5779816508293152,0.5815384387969971,0.0,2.0
3,0.5564647912979126,0.5652539134025574,0.591231644153595,0.6206896305084229,0.4403669834136963,0.5152057409286499,0.0,3.0
4,0.509001612663269,0.5343390703201294,0.6008635759353638,0.6551724076271057,0.17431192100048065,0.2753623127937317,0.0,4.0
5,0.5891980528831482,0.5847223997116089,0.6100917458534241,0.6091954112052917,0.6483180522918701,0.6281481385231018,0.0,5.0
6,0.579378068447113,0.5746220350265503,0.609962522983551,0.6000000238418579,0.642201840877533,0.6203840970993042,0.0,6.0
7,0.5810147523880005,0.5810128450393677,0.5926260948181152,0.6148867607116699,0.5810397267341614,0.597484290599823,0.0,7.0
8,0.5351881980895996,0.5344952344894409,0.5700348615646362,0.5686901211738586,0.5443425178527832,0.5562500357627869,0.0,8.0
9,0.5613747835159302,0.5538668036460876,0.5830210447311401,0.5790884494781494,0.6605504751205444,0.6171428561210632,0.0,9.0
10,0.5482814908027649,0.5467276573181152,0.5606560111045837,0.5794392228126526,0.5688073635101318,0.5740741491317749,0.0,10.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_I
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
