epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5728314238952537,0.56480165396046,0.56480165396046,0.5728314238952537,0.5728314238952537,0.5728314238952537,0.0
1,0.574468085106383,0.5656361717706853,0.5656361717706853,0.574468085106383,0.574468085106383,0.574468085106383,0.0
2,0.563011456628478,0.5537752508937417,0.5537752508937416,0.563011456628478,0.563011456628478,0.563011456628478,0.0
3,0.5695581014729951,0.5603544816298403,0.5603544816298403,0.5695581014729951,0.5695581014729951,0.5695581014729951,0.0
4,0.5761047463175123,0.569480337683594,0.569480337683594,0.5761047463175123,0.5761047463175123,0.5761047463175123,0.0
5,0.5728314238952537,0.5620235172502908,0.5620235172502908,0.5728314238952537,0.5728314238952537,0.5728314238952537,0.0
6,0.5597381342062193,0.5530322608433476,0.5530322608433476,0.5597381342062193,0.5597381342062193,0.5597381342062193,0.0
7,0.5973813420621932,0.5877374337769737,0.5877374337769737,0.5973813420621932,0.5973813420621932,0.5973813420621932,0.0
8,0.5793780687397708,0.5716123960890727,0.5716123960890727,0.5793780687397708,0.5793780687397708,0.5793780687397708,0.0
9,0.5646481178396072,0.5576194168066503,0.5576194168066503,0.5646481178396072,0.5646481178396072,0.5646481178396072,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_I
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
