epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5373134328358209,0.5067204301075269,0.5067204301075269,0.5373134328358209,0.5373134328358209,0.5373134328358209,0.6462007204168722
1,0.560530679933665,0.5372859418558343,0.5372859418558343,0.560530679933665,0.560530679933665,0.560530679933665,0.6449060079298521
2,0.5737976782752903,0.5623257666268419,0.5623257666268419,0.5737976782752903,0.5737976782752903,0.5737976782752903,0.643374154442235
3,0.5837479270315091,0.5730784547988849,0.573078454798885,0.5837479270315091,0.5837479270315091,0.5837479270315091,0.6419595495650643
4,0.5737976782752903,0.5660593389088012,0.5660593389088013,0.5737976782752903,0.5737976782752903,0.5737976782752903,0.6405772723649678
5,0.560530679933665,0.5552070888092393,0.5552070888092393,0.560530679933665,0.560530679933665,0.560530679933665,0.639564689837004
6,0.5638474295190713,0.5605336519315014,0.5605336519315014,0.5638474295190713,0.5638474295190713,0.5638474295190713,0.6385384209846195
7,0.5638474295190713,0.5625248904818798,0.5625248904818797,0.5638474295190713,0.5638474295190713,0.5638474295190713,0.6375867489137148
8,0.5638474295190713,0.5617781760254879,0.5617781760254879,0.5638474295190713,0.5638474295190713,0.5638474295190713,0.6367713377663964

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_I
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
