epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.4112318754196167,0.48725923895835876,0.4801848530769348,0.546875,0.10574018210172653,0.17721518874168396,0.0,0.0
1,0.510869562625885,0.5387623310089111,0.5454471111297607,0.6502463221549988,0.3987915515899658,0.49438202381134033,0.0,1.0
2,0.5561594367027283,0.5675042271614075,0.5487006306648254,0.670634925365448,0.5105740427970886,0.5797598361968994,0.0,2.0
3,0.5561594367027283,0.5682560801506042,0.568946361541748,0.671999990940094,0.5075528621673584,0.5783132314682007,0.0,3.0
4,0.5398550629615784,0.544886589050293,0.5840111970901489,0.6441947817802429,0.5196374654769897,0.5752508640289307,0.0,4.0
5,0.5416666865348816,0.5524121522903442,0.5910377502441406,0.6547619104385376,0.4984894394874573,0.5660377144813538,0.0,5.0
6,0.6014492511749268,0.5466227531433105,0.5808396339416504,0.6281754970550537,0.8217522501945496,0.7120418548583984,0.0,6.0
7,0.5597826242446899,0.5539842247962952,0.5907369256019592,0.6476510167121887,0.5830815434455872,0.6136724948883057,0.0,7.0
8,0.5289855003356934,0.5531162023544312,0.5801013708114624,0.6651162505149841,0.43202418088912964,0.523809552192688,0.0,8.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_IV
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
