epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.625,0.557237768451559,0.557237768451559,0.625,0.625,0.625,0.0
1,0.6123188405797102,0.5451600114830966,0.5451600114830966,0.6123188405797102,0.6123188405797102,0.6123188405797102,0.0
2,0.592391304347826,0.5247843501797651,0.5247843501797652,0.592391304347826,0.592391304347826,0.592391304347826,0.0
3,0.6286231884057971,0.5610107859086,0.5610107859086,0.6286231884057971,0.6286231884057971,0.6286231884057971,0.0
4,0.6141304347826086,0.5436631078180749,0.5436631078180749,0.6141304347826086,0.6141304347826086,0.6141304347826086,0.0
5,0.6032608695652174,0.5338477942885265,0.5338477942885265,0.6032608695652174,0.6032608695652174,0.6032608695652174,0.0
6,0.6195652173913043,0.5466910910308813,0.5466910910308813,0.6195652173913043,0.6195652173913043,0.6195652173913043,0.0
7,0.6213768115942029,0.5549684898360925,0.5549684898360925,0.6213768115942029,0.6213768115942029,0.6213768115942029,0.0
8,0.6032608695652174,0.5345996637093136,0.5345996637093136,0.6032608695652174,0.6032608695652174,0.6032608695652174,0.0
9,0.6268115942028986,0.5557408647865374,0.5557408647865374,0.6268115942028986,0.6268115942028986,0.6268115942028986,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_IV
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
