epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5533088235294118,0.544478527607362,0.544478527607362,0.5533088235294118,0.5533088235294118,0.5533088235294118,0.5269700538586167
1,0.5588235294117647,0.5346428772443294,0.5346428772443294,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.5260261836297372
2,0.5606617647058824,0.5528930038836044,0.5528930038836044,0.5606617647058824,0.5606617647058824,0.5606617647058824,0.5245851874351501
3,0.5569852941176471,0.5551443687735689,0.5551443687735689,0.5569852941176471,0.5569852941176471,0.5569852941176471,0.523240323014119
4,0.5569852941176471,0.555904204423932,0.5559042044239321,0.5569852941176471,0.5569852941176471,0.5569852941176471,0.5221269415581927
5,0.5569852941176471,0.556664040074295,0.556664040074295,0.5569852941176471,0.5569852941176471,0.5569852941176471,0.5212372006738887
6,0.5551470588235294,0.5543704620926437,0.5543704620926436,0.5551470588235294,0.5551470588235294,0.5551470588235294,0.5204257991384057
7,0.5496323529411765,0.5490093994484155,0.5490093994484155,0.5496323529411765,0.5496323529411765,0.5496323529411765,0.5196576087790377

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_IV
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
