epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.3923076923076923,0.5,0.5,0.3923076923076923,0.3923076923076923,0.39230769230769236,0.5248506121775683
1,0.4,0.5002482005460412,0.5002482005460411,0.4,0.4,0.4000000000000001,0.5250006177846123
2,0.5480769230769231,0.54650657731447,0.54650657731447,0.5480769230769231,0.5480769230769231,0.5480769230769231,0.5249411726699156
3,0.5557692307692308,0.550229585505088,0.550229585505088,0.5557692307692308,0.5557692307692308,0.5557692307692308,0.5245315046871409
4,0.551923076923077,0.5488024323653512,0.5488024323653512,0.551923076923077,0.551923076923077,0.551923076923077,0.5239129785229178
5,0.5403846153846154,0.5427835691238521,0.5427835691238521,0.5403846153846154,0.5403846153846154,0.5403846153846154,0.5235976997543784
6,0.5423076923076923,0.5478406552494415,0.5478406552494416,0.5423076923076923,0.5423076923076923,0.5423076923076923,0.5243535041809082
7,0.5403846153846154,0.5471270786795731,0.5471270786795731,0.5403846153846154,0.5403846153846154,0.5403846153846154,0.5257753063650692
8,0.551923076923077,0.5618329610325142,0.5618329610325143,0.551923076923077,0.551923076923077,0.551923076923077,0.5265210428658653

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_IV
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
