epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.6299341917037964,0.5,0.48868000507354736,0.6299341917037964,1.0,0.7729566097259521,0.0,0.0
1,0.4490131437778473,0.5122425556182861,0.53776615858078,0.6518987417221069,0.26892951130867004,0.38077637553215027,0.0,1.0
2,0.5345394611358643,0.5507919788360596,0.5579460263252258,0.6824817657470703,0.48825064301490784,0.5692541599273682,0.0,2.0
3,0.5394737124443054,0.5556252002716064,0.5657557249069214,0.6872727274894714,0.4934725761413574,0.5744680762290955,0.0,3.0
4,0.5559210777282715,0.5567623972892761,0.5830577611923218,0.6816720366477966,0.5535247921943665,0.6109510064125061,0.0,4.0
5,0.5921052694320679,0.560731053352356,0.592979371547699,0.6744186282157898,0.6814621686935425,0.6779221296310425,0.0,5.0
6,0.5625,0.5949869751930237,0.6065331697463989,0.7407407164573669,0.4699738919734955,0.5750798583030701,0.0,6.0
7,0.5871710777282715,0.5586481094360352,0.5883609056472778,0.6736842393875122,0.6684073209762573,0.6710354089736938,0.0,7.0
8,0.5246710777282715,0.5603771209716797,0.5903220176696777,0.7043478488922119,0.4229764938354492,0.5285481214523315,0.0,8.0
9,0.5986841917037964,0.5485349893569946,0.5675543546676636,0.6620046496391296,0.7415143847465515,0.6995074152946472,0.0,9.0
10,0.6052631735801697,0.5280882120132446,0.552352786064148,0.6462167501449585,0.8250652551651001,0.7247706651687622,0.0,10.0
11,0.5427631735801697,0.5123991966247559,0.5272758603096008,0.6392573118209839,0.6292428374290466,0.6342105865478516,0.0,11.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_met
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
