epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6447368421052632,0.5355845662895271,0.5355845662895271,0.6447368421052632,0.6447368421052632,0.6447368421052632,0.0
1,0.618421052631579,0.5137800986364955,0.5137800986364955,0.618421052631579,0.618421052631579,0.618421052631579,0.0
2,0.6348684210526315,0.5295851465042065,0.5295851465042066,0.6348684210526315,0.6348684210526315,0.6348684210526315,0.0
3,0.6447368421052632,0.5438352190310415,0.5438352190310415,0.6447368421052632,0.6447368421052632,0.6447368421052632,0.0
4,0.6134868421052632,0.508946910356832,0.508946910356832,0.6134868421052632,0.6134868421052632,0.6134868421052632,0.0
5,0.6414473684210527,0.5320568610385843,0.5320568610385843,0.6414473684210527,0.6414473684210527,0.6414473684210527,0.0
6,0.6299342105263158,0.5256686974180447,0.5256686974180447,0.6299342105263158,0.6299342105263158,0.6299342105263158,0.0
7,0.6348684210526315,0.5314186248912097,0.5314186248912097,0.6348684210526315,0.6348684210526315,0.6348684210526315,0.0
8,0.6299342105263158,0.5284189149985494,0.5284189149985495,0.6299342105263158,0.6299342105263158,0.6299342105263158,0.0
9,0.6365131578947368,0.5345575863069335,0.5345575863069335,0.6365131578947368,0.6365131578947368,0.6365131578947368,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_met
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
